,file,reference_row,dl_width,dl_height_abs,dl_midpoint_height
0,Basler_acA2500-14um__23891378__20220704_170832835_0018.tiff,679,1159,595,595
1,Basler_acA2500-14um__23891378__20220704_170832835_0023.tiff,679,1158,585,584
2,Basler_acA2500-14um__23891378__20220704_170832835_0028.tiff,679,1156,575,574
3,Basler_acA2500-14um__23891378__20220704_170832835_0033.tiff,679,1154,565,565
4,Basler_acA2500-14um__23891378__20220704_170832835_0038.tiff,679,1154,555,555
5,Basler_acA2500-14um__23891378__20220704_170832835_0043.tiff,679,1153,547,547
6,Basler_acA2500-14um__23891378__20220704_170832835_0048.tiff,679,1153,538,538
7,Basler_acA2500-14um__23891378__20220704_170832835_0053.tiff,679,1153,530,530
8,Basler_acA2500-14um__23891378__20220704_170832835_0058.tiff,679,1152,520,520
9,Basler_acA2500-14um__23891378__20220704_170832835_0063.tiff,679,1152,512,512
10,Basler_acA2500-14um__23891378__20220704_170832835_0068.tiff,679,1152,505,505
11,Basler_acA2500-14um__23891378__20220704_170832835_0073.tiff,679,1151,495,495
12,Basler_acA2500-14um__23891378__20220704_170832835_0078.tiff,679,1151,486,486
13,Basler_acA2500-14um__23891378__20220704_170832835_0083.tiff,679,1151,478,478
14,Basler_acA2500-14um__23891378__20220704_170832835_0088.tiff,679,1151,471,471
15,Basler_acA2500-14um__23891378__20220704_170832835_0093.tiff,679,1151,462,462
16,Basler_acA2500-14um__23891378__20220704_170832835_0098.tiff,679,1151,453,453
17,Basler_acA2500-14um__23891378__20220704_170832835_0103.tiff,679,1151,442,442
18,Basler_acA2500-14um__23891378__20220704_170832835_0108.tiff,679,1151,428,428
19,Basler_acA2500-14um__23891378__20220704_170832835_0113.tiff,679,1151,419,418
20,Basler_acA2500-14um__23891378__20220704_170832835_0118.tiff,679,1150,407,407
21,Basler_acA2500-14um__23891378__20220704_170832835_0123.tiff,679,1151,393,393
22,Basler_acA2500-14um__23891378__20220704_170832835_0128.tiff,679,1150,377,377
23,Basler_acA2500-14um__23891378__20220704_170832835_0133.tiff,679,1150,361,359
24,Basler_acA2500-14um__23891378__20220704_170832835_0138.tiff,679,1150,331,331
25,Basler_acA2500-14um__23891378__20220704_170832835_0143.tiff,679,1150,303,297
26,Basler_acA2500-14um__23891378__20220704_170832835_0148.tiff,679,1150,286,281
27,Basler_acA2500-14um__23891378__20220704_170832835_0153.tiff,679,1150,272,266
28,Basler_acA2500-14um__23891378__20220704_170832835_0158.tiff,679,1150,260,256
29,Basler_acA2500-14um__23891378__20220704_170832835_0163.tiff,679,1150,250,247
30,Basler_acA2500-14um__23891378__20220704_170832835_0168.tiff,679,1150,241,239
31,Basler_acA2500-14um__23891378__20220704_170832835_0173.tiff,679,1150,233,233
32,Basler_acA2500-14um__23891378__20220704_170832835_0178.tiff,679,1150,228,227
33,Basler_acA2500-14um__23891378__20220704_170832835_0183.tiff,679,1150,223,222
34,Basler_acA2500-14um__23891378__20220704_170832835_0188.tiff,679,1150,217,217
35,Basler_acA2500-14um__23891378__20220704_170832835_0193.tiff,679,1150,213,212
36,Basler_acA2500-14um__23891378__20220704_170832835_0198.tiff,679,1150,209,207
37,Basler_acA2500-14um__23891378__20220704_170832835_0203.tiff,679,1150,206,203
38,Basler_acA2500-14um__23891378__20220704_170832835_0208.tiff,679,1150,202,199
39,Basler_acA2500-14um__23891378__20220704_170832835_0213.tiff,679,1150,199,195
40,Basler_acA2500-14um__23891378__20220704_170832835_0218.tiff,679,1150,195,191
41,Basler_acA2500-14um__23891378__20220704_170832835_0223.tiff,679,1150,193,188
42,Basler_acA2500-14um__23891378__20220704_170832835_0228.tiff,679,1150,190,184
43,Basler_acA2500-14um__23891378__20220704_170832835_0233.tiff,679,1150,188,181
44,Basler_acA2500-14um__23891378__20220704_170832835_0238.tiff,679,1150,185,178
45,Basler_acA2500-14um__23891378__20220704_170832835_0243.tiff,679,1150,183,174
46,Basler_acA2500-14um__23891378__20220704_170832835_0248.tiff,679,1150,179,170
47,Basler_acA2500-14um__23891378__20220704_170832835_0253.tiff,679,1150,176,167
48,Basler_acA2500-14um__23891378__20220704_170832835_0258.tiff,679,1150,176,167
49,Basler_acA2500-14um__23891378__20220704_170832835_0263.tiff,679,1150,171,162
