,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221121_120658791_0013.tiff,556,203.5,298.0,362.0,410.5,448.5,479.5,503.5,523.0,537.5,547.5,554.0,83.0,153.5,237.5,268.5
1,Basler_acA2500-14um__23891378__20221121_120658791_0014.tiff,554,200.5,296.0,360.0,408.5,446.5,477.5,501.5,521.0,535.5,545.5,552.0,74.5,150.0,235.5,266.5
2,Basler_acA2500-14um__23891378__20221121_120658791_0015.tiff,554,201.0,296.5,360.5,409.0,446.5,477.5,502.0,521.5,535.5,545.5,552.0,78.5,151.0,236.0,267.0
3,Basler_acA2500-14um__23891378__20221121_120658791_0016.tiff,553,200.0,295.0,359.0,407.5,445.5,476.0,501.0,519.5,534.5,544.5,551.0,76.0,149.5,234.5,265.5
4,Basler_acA2500-14um__23891378__20221121_120658791_0017.tiff,553,200.5,295.5,359.5,407.5,445.5,476.5,500.0,519.5,534.5,544.5,550.5,81.0,150.5,235.5,266.0
5,Basler_acA2500-14um__23891378__20221121_120658791_0018.tiff,552,199.5,294.5,358.0,406.5,444.5,475.0,499.0,518.0,532.5,543.0,549.0,80.0,150.0,234.0,265.0
6,Basler_acA2500-14um__23891378__20221121_120658791_0019.tiff,550,198.5,292.5,356.5,404.5,443.0,473.5,498.0,516.5,531.0,541.5,547.5,80.5,149.0,232.5,263.5
7,Basler_acA2500-14um__23891378__20221121_120658791_0020.tiff,549,198.5,293.0,356.5,404.5,442.5,473.0,497.5,517.0,531.0,540.5,547.5,81.0,149.0,232.5,263.0
8,Basler_acA2500-14um__23891378__20221121_120658791_0021.tiff,546,192.5,288.0,352.0,400.5,438.5,469.0,494.0,512.5,527.5,537.5,543.5,68.5,142.0,227.5,258.5
9,Basler_acA2500-14um__23891378__20221121_120658791_0022.tiff,545,192.0,287.0,351.0,399.5,438.0,468.5,492.5,511.5,526.0,536.5,542.5,71.0,142.0,226.5,257.0
10,Basler_acA2500-14um__23891378__20221121_120658791_0023.tiff,544,193.5,287.5,351.5,399.0,437.0,467.5,492.5,511.0,525.5,535.5,542.0,79.0,145.0,227.5,258.0
11,Basler_acA2500-14um__23891378__20221121_120658791_0024.tiff,543,192.0,286.0,349.5,398.0,435.5,466.0,490.5,509.5,524.0,534.0,540.5,78.0,143.5,225.5,256.5
12,Basler_acA2500-14um__23891378__20221121_120658791_0025.tiff,541,190.0,284.0,347.5,395.5,434.0,464.5,488.5,508.0,522.5,532.5,538.5,76.5,141.5,224.0,254.5
13,Basler_acA2500-14um__23891378__20221121_120658791_0026.tiff,539,188.0,282.5,345.5,394.0,432.0,463.0,486.5,506.0,520.5,530.5,537.0,75.0,139.5,222.0,252.5
14,Basler_acA2500-14um__23891378__20221121_120658791_0027.tiff,537,186.0,280.0,344.0,392.0,430.0,461.0,485.5,504.0,519.0,528.5,535.0,73.0,137.5,220.0,250.0
