,file,reflection_row,dl_reflection_width,dl_height_midpoint,11l,11r,10l,10r,9l,9r,8l,8r,7l,7r,6l,6r,5l,5r,4l,4r,3l,3r,2l,2r,1l,1r,edge_4_r,edge_4_l,edge_3_r,edge_3_l,edge_2_r,edge_2_l,edge_1_r,edge_1_l
0,Basler_acA2500-14um__23891378__20221129_144902408_0013.tiff,1544,762,259,64,65,107,109,142,143,169,170,191,193,210,211,225,226,237,237,246,246,253,253,257,257,27,27,45,46,78,79,92,93
1,Basler_acA2500-14um__23891378__20221129_144902408_0014.tiff,1544,760,254,60,62,104,105,137,139,165,166,187,188,205,206,220,221,232,233,241,241,248,248,252,252,23,23,42,43,74,76,88,90
2,Basler_acA2500-14um__23891378__20221129_144902408_0015.tiff,1544,760,250,58,60,101,102,134,136,161,163,183,185,202,203,216,218,228,229,237,238,244,245,248,249,22,22,40,41,72,73,85,87
3,Basler_acA2500-14um__23891378__20221129_144902408_0016.tiff,1544,760,247,57,58,99,101,132,134,159,160,181,182,199,200,214,215,226,226,234,235,241,241,245,246,22,22,39,40,70,72,84,86
4,Basler_acA2500-14um__23891378__20221129_144902408_0017.tiff,1544,762,244,56,57,97,98,130,131,156,158,178,179,196,197,211,212,222,223,232,232,238,238,242,243,22,21,39,39,69,70,83,84
5,Basler_acA2500-14um__23891378__20221129_144902408_0018.tiff,1544,761,242,55,56,96,97,128,129,154,155,176,177,194,195,209,209,220,220,229,229,235,236,240,240,22,21,38,38,68,69,81,82
6,Basler_acA2500-14um__23891378__20221129_144902408_0019.tiff,1544,760,237,52,53,92,93,124,125,150,151,172,173,190,190,204,205,216,216,224,225,231,231,235,235,19,18,35,35,65,66,77,79
7,Basler_acA2500-14um__23891378__20221129_144902408_0020.tiff,1544,760,234,50,51,90,90,122,123,148,148,169,170,187,187,201,202,213,213,221,222,228,228,232,232,18,17,34,34,63,63,76,76
8,Basler_acA2500-14um__23891378__20221129_144902408_0021.tiff,1544,762,231,50,50,89,90,120,121,146,146,167,168,185,185,199,199,210,211,219,219,225,226,230,230,19,18,34,34,62,63,75,75
9,Basler_acA2500-14um__23891378__20221129_144902408_0022.tiff,1544,762,228,48,49,87,87,118,118,143,144,164,165,182,182,196,196,207,207,216,216,222,222,226,226,19,17,33,33,60,61,73,73
10,Basler_acA2500-14um__23891378__20221129_144902408_0023.tiff,1544,762,225,47,46,85,85,116,115,141,141,162,162,179,179,193,193,204,204,213,213,219,219,223,223,18,16,32,30,59,58,71,70
11,Basler_acA2500-14um__23891378__20221129_144902408_0024.tiff,1544,762,222,44,45,82,82,112,113,137,138,158,159,176,176,190,190,201,201,210,210,216,216,220,220,17,16,30,30,56,56,68,68
12,Basler_acA2500-14um__23891378__20221129_144902408_0025.tiff,1544,762,219,43,42,79,79,110,110,135,135,155,156,173,173,187,187,198,198,207,207,213,213,217,217,16,15,29,28,54,54,66,66
13,Basler_acA2500-14um__23891378__20221129_144902408_0026.tiff,1544,762,216,42,40,78,76,108,107,132,132,153,152,170,170,184,184,195,195,204,203,210,210,214,214,16,14,28,26,53,51,65,63
14,Basler_acA2500-14um__23891378__20221129_144902408_0027.tiff,1544,762,212,40,39,75,75,105,104,129,129,150,150,167,167,181,181,192,192,200,200,207,206,211,211,15,13,27,25,51,50,62,61
15,Basler_acA2500-14um__23891378__20221129_144902408_0028.tiff,1544,761,209,39,38,73,72,102,102,126,126,147,147,164,164,178,178,189,189,197,197,204,204,208,208,14,13,26,25,49,48,60,59
16,Basler_acA2500-14um__23891378__20221129_144902408_0029.tiff,1544,761,207,38,35,71,68,100,98,124,122,145,143,162,160,176,174,187,186,195,194,201,201,205,205,14,12,26,23,47,45,58,56
17,Basler_acA2500-14um__23891378__20221129_144902408_0030.tiff,1544,761,203,37,34,70,66,98,95,122,119,142,140,159,157,172,171,183,182,192,191,198,197,201,201,15,12,25,23,47,44,57,54
18,Basler_acA2500-14um__23891378__20221129_144902408_0031.tiff,1544,761,200,35,35,66,66,94,94,118,118,138,138,155,155,168,168,179,179,188,188,194,194,198,198,13,12,24,23,44,44,54,54
