,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221216_105919015_0021.tiff,507,226.0,297.0,347.5,386.5,417.5,442.0,462.0,478.0,490.0,499.0,504.5,152.0,193.0,253.0,276.5
1,Basler_acA2500-14um__23891378__20221216_105919015_0022.tiff,506,224.5,296.0,346.0,385.0,416.0,440.5,461.0,477.0,489.0,498.0,503.5,149.5,191.5,251.5,275.0
2,Basler_acA2500-14um__23891378__20221216_105919015_0023.tiff,505,223.5,295.0,345.5,384.5,415.0,440.0,460.5,476.0,488.0,497.0,502.5,148.0,190.5,251.5,274.5
3,Basler_acA2500-14um__23891378__20221216_105919015_0024.tiff,504,222.0,293.5,344.0,382.5,413.5,438.5,458.5,474.5,487.0,495.5,501.0,146.5,189.0,249.5,273.0
4,Basler_acA2500-14um__23891378__20221216_105919015_0025.tiff,503,220.5,292.0,342.5,381.5,412.5,437.5,457.0,473.0,485.0,494.0,499.5,144.5,187.5,248.0,271.5
5,Basler_acA2500-14um__23891378__20221216_105919015_0026.tiff,501,219.5,291.0,341.0,380.5,411.0,435.5,456.0,472.0,484.0,493.0,498.5,144.5,187.0,246.5,270.0
6,Basler_acA2500-14um__23891378__20221216_105919015_0027.tiff,500,219.0,290.0,340.5,379.0,409.5,434.5,455.0,470.5,483.0,492.0,497.0,145.0,186.5,246.0,269.0
7,Basler_acA2500-14um__23891378__20221216_105919015_0028.tiff,498,216.5,287.5,338.5,377.0,408.0,432.5,453.0,469.0,481.0,489.5,495.0,142.5,184.0,243.5,267.0
8,Basler_acA2500-14um__23891378__20221216_105919015_0029.tiff,496,214.5,285.5,336.0,374.5,405.5,430.5,451.0,467.0,479.0,487.5,493.0,140.0,181.5,241.5,265.0
9,Basler_acA2500-14um__23891378__20221216_105919015_0030.tiff,494,212.5,283.5,334.0,373.0,404.0,429.0,449.0,465.0,477.0,485.5,491.5,138.5,180.0,239.5,263.0
10,Basler_acA2500-14um__23891378__20221216_105919015_0031.tiff,492,210.5,281.5,332.0,371.0,402.0,427.0,447.0,463.0,475.0,484.0,489.5,135.0,177.0,237.5,261.0
11,Basler_acA2500-14um__23891378__20221216_105919015_0032.tiff,490,208.0,279.5,330.5,369.0,400.0,425.0,445.0,461.0,473.0,482.0,488.0,133.5,175.5,235.0,259.0
12,Basler_acA2500-14um__23891378__20221216_105919015_0033.tiff,489,206.0,277.5,328.5,367.0,398.5,423.5,443.5,459.0,471.0,480.0,486.0,131.0,173.5,233.0,256.5
