,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221216_121626110_0012.tiff,379,144.5,202.0,244.5,277.5,303.5,325.0,342.0,355.5,365.5,373.0,377.0,87.0,117.5,163.5,182.5
1,Basler_acA2500-14um__23891378__20221216_121626110_0013.tiff,377,143.0,200.0,242.5,275.5,302.5,323.5,340.5,354.0,364.0,371.0,376.0,85.0,115.5,161.5,180.5
2,Basler_acA2500-14um__23891378__20221216_121626110_0014.tiff,375,140.5,198.0,240.5,274.0,300.0,321.5,338.5,352.0,362.0,369.0,374.0,83.5,114.0,160.0,178.5
3,Basler_acA2500-14um__23891378__20221216_121626110_0015.tiff,373,139.5,196.5,238.5,272.0,298.5,319.5,336.5,350.0,360.0,367.5,372.0,82.0,112.5,158.0,177.0
4,Basler_acA2500-14um__23891378__20221216_121626110_0016.tiff,371,137.0,194.5,236.5,269.5,295.5,317.0,334.0,347.5,357.5,365.0,369.0,80.5,110.5,156.0,174.5
5,Basler_acA2500-14um__23891378__20221216_121626110_0017.tiff,368,134.5,191.5,233.5,267.0,293.0,314.0,331.0,345.0,355.0,362.0,366.0,77.5,107.5,153.5,171.5
6,Basler_acA2500-14um__23891378__20221216_121626110_0018.tiff,366,132.5,189.5,231.5,264.0,290.5,312.0,329.0,342.5,352.5,360.0,364.0,76.0,106.0,151.5,169.5
7,Basler_acA2500-14um__23891378__20221216_121626110_0019.tiff,363,130.5,187.0,229.0,262.0,288.5,309.5,326.5,340.0,350.5,357.0,361.5,73.5,104.0,149.0,167.0
8,Basler_acA2500-14um__23891378__20221216_121626110_0020.tiff,361,127.5,184.5,227.0,259.5,285.5,307.0,324.0,337.5,347.5,355.0,359.0,72.0,101.5,146.5,165.0
9,Basler_acA2500-14um__23891378__20221216_121626110_0021.tiff,358,125.5,182.0,224.5,257.0,283.5,304.0,321.5,335.0,345.0,352.0,357.0,69.5,99.5,144.5,162.5
10,Basler_acA2500-14um__23891378__20221216_121626110_0022.tiff,356,123.0,179.5,222.0,254.5,280.5,302.0,319.0,332.5,342.5,350.0,354.0,67.5,97.0,141.5,160.5
11,Basler_acA2500-14um__23891378__20221216_121626110_0023.tiff,353,121.0,177.5,219.5,252.5,278.5,300.0,317.0,330.5,340.5,347.5,352.0,64.5,94.5,139.5,157.5
12,Basler_acA2500-14um__23891378__20221216_121626110_0024.tiff,351,118.0,175.0,216.5,249.5,276.0,297.5,314.5,327.5,338.0,345.0,349.5,62.0,92.0,137.0,155.0
13,Basler_acA2500-14um__23891378__20221216_121626110_0025.tiff,349,116.0,172.5,214.5,247.5,274.0,295.0,312.5,325.5,335.5,343.0,347.0,60.5,90.0,134.5,153.0
14,Basler_acA2500-14um__23891378__20221216_121626110_0026.tiff,346,114.0,170.0,212.0,245.5,271.5,293.0,309.5,323.5,333.5,340.5,345.0,58.0,87.0,132.5,151.0
15,Basler_acA2500-14um__23891378__20221216_121626110_0027.tiff,344,111.0,167.5,209.5,242.5,269.0,290.0,307.5,320.5,330.5,338.0,342.0,56.0,85.0,130.0,148.0
16,Basler_acA2500-14um__23891378__20221216_121626110_0028.tiff,342,109.0,165.0,207.5,240.5,266.5,288.0,305.0,318.5,328.5,336.0,340.0,53.5,82.0,127.5,146.0
17,Basler_acA2500-14um__23891378__20221216_121626110_0029.tiff,339,106.5,163.0,205.0,238.5,264.0,285.5,303.0,316.5,326.5,333.5,338.0,51.5,80.0,125.0,143.5
18,Basler_acA2500-14um__23891378__20221216_121626110_0030.tiff,337,103.5,160.0,202.5,235.5,262.0,283.5,300.5,314.5,324.5,331.5,336.0,50.0,77.0,122.5,141.0
19,Basler_acA2500-14um__23891378__20221216_121626110_0031.tiff,335,101.0,158.0,200.5,233.5,260.0,281.5,298.5,311.5,322.0,329.5,334.0,47.5,75.0,120.0,138.5
20,Basler_acA2500-14um__23891378__20221216_121626110_0032.tiff,333,99.0,155.5,198.0,231.5,258.0,279.5,296.5,309.5,320.0,327.0,332.0,45.5,73.0,117.5,136.0
21,Basler_acA2500-14um__23891378__20221216_121626110_0033.tiff,331,95.5,153.0,196.0,229.0,255.5,277.0,294.5,307.5,318.0,325.0,329.5,43.0,70.5,114.5,133.0
22,Basler_acA2500-14um__23891378__20221216_121626110_0034.tiff,329,92.5,150.5,193.0,226.5,253.0,275.0,292.0,305.5,315.5,323.0,327.0,41.0,68.0,111.5,130.5
23,Basler_acA2500-14um__23891378__20221216_121626110_0035.tiff,327,90.5,148.0,191.0,224.5,251.0,272.5,290.0,303.5,313.5,321.0,325.5,39.5,65.5,109.5,128.0
24,Basler_acA2500-14um__23891378__20221216_121626110_0036.tiff,325,88.5,145.0,188.5,222.0,249.0,270.5,287.5,301.5,311.5,319.0,323.5,37.5,63.0,106.5,125.0
25,Basler_acA2500-14um__23891378__20221216_121626110_0037.tiff,323,85.0,143.0,186.0,219.5,246.5,269.0,286.0,300.0,310.0,317.5,322.0,35.5,60.0,103.5,122.5
26,Basler_acA2500-14um__23891378__20221216_121626110_0038.tiff,321,83.0,140.0,184.0,217.5,244.5,266.0,284.0,297.5,307.5,315.0,319.5,34.5,58.5,101.0,120.5
27,Basler_acA2500-14um__23891378__20221216_121626110_0039.tiff,320,79.5,137.0,181.0,215.0,242.5,264.5,282.0,295.5,306.0,313.5,318.0,32.5,55.5,98.0,116.5
28,Basler_acA2500-14um__23891378__20221216_121626110_0040.tiff,318,77.0,134.0,178.0,212.5,240.5,262.5,280.0,294.0,304.5,311.5,316.5,31.5,54.0,95.0,114.0
29,Basler_acA2500-14um__23891378__20221216_121626110_0041.tiff,316,75.5,131.5,176.0,210.5,238.0,260.0,277.5,291.5,302.5,309.5,314.0,31.0,53.0,93.0,111.0
30,Basler_acA2500-14um__23891378__20221216_121626110_0042.tiff,314,72.5,128.5,173.0,208.5,236.0,258.5,276.5,290.5,301.0,308.5,313.0,30.0,50.5,90.0,108.0
31,Basler_acA2500-14um__23891378__20221216_121626110_0043.tiff,312,71.0,126.0,170.5,205.5,233.5,256.0,274.0,288.0,298.5,306.0,310.5,29.5,49.5,88.0,106.0
32,Basler_acA2500-14um__23891378__20221216_121626110_0044.tiff,310,69.5,123.5,167.5,203.0,231.0,254.0,271.5,285.5,296.0,303.5,308.0,28.5,49.0,86.0,104.0
33,Basler_acA2500-14um__23891378__20221216_121626110_0045.tiff,308,68.0,120.5,165.5,200.5,229.0,251.5,270.0,284.0,294.5,302.5,307.0,28.0,47.5,84.0,101.0
34,Basler_acA2500-14um__23891378__20221216_121626110_0046.tiff,306,67.0,118.0,162.5,198.5,226.5,249.0,267.5,281.5,292.5,300.0,304.0,28.0,47.0,82.5,99.0
35,Basler_acA2500-14um__23891378__20221216_121626110_0047.tiff,304,66.0,116.0,160.0,195.5,224.0,247.0,265.0,279.5,290.5,298.0,302.0,28.0,46.5,81.5,98.0
36,Basler_acA2500-14um__23891378__20221216_121626110_0048.tiff,302,65.5,114.5,157.0,193.0,221.5,244.5,263.0,277.0,288.0,295.0,300.0,27.5,46.0,80.5,96.5
37,Basler_acA2500-14um__23891378__20221216_121626110_0049.tiff,300,64.0,112.0,154.5,190.5,219.0,241.5,260.5,274.5,285.5,293.5,298.0,27.0,45.0,78.5,94.0
38,Basler_acA2500-14um__23891378__20221216_121626110_0050.tiff,298,63.0,110.0,152.0,188.0,217.0,240.0,258.5,273.0,284.0,292.0,296.5,27.0,44.5,77.5,93.5
39,Basler_acA2500-14um__23891378__20221216_121626110_0051.tiff,295,63.0,109.0,149.5,185.0,213.5,236.5,255.0,270.0,281.0,288.0,293.0,26.5,44.5,77.5,92.5
40,Basler_acA2500-14um__23891378__20221216_121626110_0052.tiff,293,62.0,108.0,147.5,182.5,211.0,234.0,253.0,267.5,278.5,286.0,291.0,26.0,44.5,76.0,91.5
41,Basler_acA2500-14um__23891378__20221216_121626110_0053.tiff,290,61.5,106.5,145.5,180.0,208.5,231.5,250.5,265.0,276.0,284.0,289.0,26.0,43.5,76.0,90.5
42,Basler_acA2500-14um__23891378__20221216_121626110_0054.tiff,288,61.5,105.5,143.0,177.0,205.5,229.0,248.0,262.5,273.5,281.5,286.5,26.0,43.5,75.0,89.0
43,Basler_acA2500-14um__23891378__20221216_121626110_0055.tiff,285,61.0,104.0,141.5,174.5,203.0,226.5,245.0,259.5,271.0,279.0,283.5,26.0,43.0,74.0,88.5
44,Basler_acA2500-14um__23891378__20221216_121626110_0056.tiff,282,60.5,103.0,139.5,172.0,200.0,223.5,242.5,257.0,268.0,276.0,281.0,25.0,43.0,73.5,87.5
