,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221216_123942652_0014.tiff,503,186.5,264.5,321.5,365.0,400.5,428.5,452.0,470.5,484.0,494.0,500.5,103.5,150.5,216.0,242.0
1,Basler_acA2500-14um__23891378__20221216_123942652_0015.tiff,503,186.0,264.5,321.0,365.0,400.0,428.5,451.5,470.0,484.0,494.0,500.5,102.5,150.0,215.5,241.5
2,Basler_acA2500-14um__23891378__20221216_123942652_0016.tiff,502,185.5,263.5,320.5,364.0,399.5,427.5,451.0,469.5,483.0,493.0,499.5,102.0,149.5,215.0,241.0
3,Basler_acA2500-14um__23891378__20221216_123942652_0017.tiff,501,184.0,262.5,319.0,362.5,397.5,426.5,449.0,467.5,481.5,491.5,498.0,101.0,148.5,213.5,239.5
4,Basler_acA2500-14um__23891378__20221216_123942652_0018.tiff,500,183.0,260.5,317.5,361.0,396.5,425.0,448.0,466.5,480.0,490.0,496.5,99.5,147.0,212.5,238.0
5,Basler_acA2500-14um__23891378__20221216_123942652_0019.tiff,498,181.0,259.0,315.5,359.0,394.5,423.0,446.0,464.5,478.5,488.5,494.5,97.0,145.0,210.5,236.0
6,Basler_acA2500-14um__23891378__20221216_123942652_0020.tiff,496,179.5,257.5,314.0,358.0,393.0,421.5,445.0,463.0,477.0,487.0,493.5,96.5,144.0,209.0,235.0
7,Basler_acA2500-14um__23891378__20221216_123942652_0021.tiff,494,178.0,256.0,312.5,356.0,391.5,419.5,443.0,461.0,475.0,485.0,491.5,95.0,142.0,207.5,233.0
8,Basler_acA2500-14um__23891378__20221216_123942652_0022.tiff,492,176.0,253.5,310.5,354.0,389.5,417.5,441.0,459.0,473.0,483.0,489.5,93.0,140.0,205.5,231.0
9,Basler_acA2500-14um__23891378__20221216_123942652_0023.tiff,491,174.5,252.0,308.5,352.5,387.5,416.0,439.0,457.5,471.5,481.5,488.0,91.0,139.0,203.5,229.5
