,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221129_123054302_0013.tiff,592,407.0,447.0,479.0,505.5,526.5,544.5,559.0,570.5,579.0,585.5,590.0,371.0,389.0,418.0,431.0
1,Basler_acA2500-14um__23891378__20221129_123054302_0014.tiff,587,399.0,440.5,472.5,500.0,521.0,539.5,554.0,566.0,574.5,581.0,585.5,363.0,380.5,409.0,423.5
2,Basler_acA2500-14um__23891378__20221129_123054302_0015.tiff,588,400.0,442.0,474.5,501.0,523.0,540.5,555.0,567.0,576.0,582.5,586.5,363.5,382.0,412.0,425.0
3,Basler_acA2500-14um__23891378__20221129_123054302_0016.tiff,589,403.5,444.0,476.0,502.5,524.0,542.0,556.5,568.0,576.5,583.5,587.5,367.0,384.0,414.5,427.5
4,Basler_acA2500-14um__23891378__20221129_123054302_0017.tiff,589,403.0,443.5,476.0,502.5,523.5,541.5,556.0,567.5,576.5,583.0,587.0,366.5,384.0,414.0,427.0
5,Basler_acA2500-14um__23891378__20221129_123054302_0018.tiff,588,402.0,443.0,475.0,501.5,523.0,540.5,555.5,566.5,576.0,582.0,586.0,366.0,383.0,413.0,426.0
6,Basler_acA2500-14um__23891378__20221129_123054302_0019.tiff,586,399.5,440.5,473.5,499.5,521.0,539.0,553.5,565.0,573.5,580.0,584.0,363.0,380.5,410.5,423.5
7,Basler_acA2500-14um__23891378__20221129_123054302_0020.tiff,586,399.5,440.5,473.0,499.0,520.5,538.0,552.5,564.0,573.0,580.0,584.0,363.0,380.5,410.5,423.5
8,Basler_acA2500-14um__23891378__20221129_123054302_0021.tiff,585,398.0,439.0,472.0,498.0,519.5,537.0,552.0,563.5,572.0,579.0,583.0,362.0,379.5,409.5,422.5
9,Basler_acA2500-14um__23891378__20221129_123054302_0022.tiff,583,396.0,437.5,470.0,496.0,518.0,536.0,550.0,562.0,571.0,577.0,581.0,359.5,377.5,407.5,421.0
10,Basler_acA2500-14um__23891378__20221129_123054302_0023.tiff,582,394.5,436.0,468.5,494.5,516.5,534.0,548.5,560.5,569.0,576.0,580.0,357.5,375.5,405.5,419.0
11,Basler_acA2500-14um__23891378__20221129_123054302_0024.tiff,580,392.0,433.5,466.5,493.0,514.5,532.0,547.0,559.0,567.5,574.0,578.0,355.5,373.0,403.5,417.0
