,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221121_143211774_0012.tiff,554,286.5,352.0,400.0,437.0,467.0,491.0,510.5,525.5,537.5,546.0,551.5,220.5,256.0,309.0,330.5
1,Basler_acA2500-14um__23891378__20221121_143211774_0013.tiff,553,286.0,351.5,399.5,436.5,466.0,490.0,509.5,525.5,537.0,545.5,551.0,219.0,255.5,308.5,330.0
2,Basler_acA2500-14um__23891378__20221121_143211774_0014.tiff,552,285.5,350.5,398.5,435.5,466.0,490.0,509.5,524.5,536.5,544.5,550.0,218.5,255.0,308.0,329.5
3,Basler_acA2500-14um__23891378__20221121_143211774_0015.tiff,552,285.5,350.5,398.5,435.5,465.0,489.0,508.5,524.5,536.0,544.0,549.5,218.5,254.5,308.0,329.0
4,Basler_acA2500-14um__23891378__20221121_143211774_0016.tiff,551,284.5,349.5,397.0,434.5,464.0,488.0,507.5,523.5,535.0,543.5,548.5,216.5,253.0,306.5,327.5
5,Basler_acA2500-14um__23891378__20221121_143211774_0017.tiff,549,281.5,346.5,394.5,431.5,462.0,486.0,505.5,520.5,532.5,541.0,546.0,213.0,250.0,303.5,325.0
6,Basler_acA2500-14um__23891378__20221121_143211774_0018.tiff,547,279.5,345.5,393.5,430.5,460.5,485.0,504.5,519.5,531.5,540.0,545.0,211.5,248.0,302.0,323.5
7,Basler_acA2500-14um__23891378__20221121_143211774_0019.tiff,546,277.5,344.0,391.5,429.0,459.0,483.0,502.5,518.5,529.5,538.5,543.5,209.5,246.5,300.5,322.0
8,Basler_acA2500-14um__23891378__20221121_143211774_0020.tiff,544,275.5,342.0,390.0,427.5,457.0,481.0,500.5,516.5,528.0,536.5,542.0,207.5,244.5,298.5,319.5
9,Basler_acA2500-14um__23891378__20221121_143211774_0021.tiff,542,273.5,339.5,388.0,425.5,455.0,479.5,499.0,514.5,526.5,534.5,540.0,205.0,242.5,296.5,317.5
10,Basler_acA2500-14um__23891378__20221121_143211774_0022.tiff,540,271.5,338.0,386.0,423.0,453.0,477.5,497.5,512.5,524.5,532.5,538.0,202.0,239.5,294.0,315.5
11,Basler_acA2500-14um__23891378__20221121_143211774_0023.tiff,539,269.5,335.5,384.0,421.5,451.0,475.5,495.0,510.5,522.5,531.0,536.0,199.5,237.5,292.0,313.5
12,Basler_acA2500-14um__23891378__20221121_143211774_0024.tiff,536,266.5,333.5,382.0,419.0,449.0,473.5,493.0,508.5,520.5,529.0,534.0,196.5,234.5,289.0,311.5
13,Basler_acA2500-14um__23891378__20221121_143211774_0025.tiff,535,264.5,331.5,379.5,417.0,447.0,471.5,491.5,506.5,518.5,527.0,532.5,193.5,232.0,287.5,309.5
14,Basler_acA2500-14um__23891378__20221121_143211774_0026.tiff,533,261.5,329.0,377.5,415.0,445.0,469.5,489.5,504.5,516.5,525.0,530.0,191.0,229.5,285.0,306.5
15,Basler_acA2500-14um__23891378__20221121_143211774_0027.tiff,531,259.5,327.0,375.5,413.0,443.0,467.5,487.5,502.5,514.5,523.0,528.5,188.0,227.0,282.5,304.5
16,Basler_acA2500-14um__23891378__20221121_143211774_0028.tiff,529,257.5,325.0,373.5,411.5,442.0,466.0,485.5,501.5,513.0,521.5,527.0,185.0,224.5,281.0,302.5
17,Basler_acA2500-14um__23891378__20221121_143211774_0029.tiff,527,255.0,323.0,371.5,409.0,439.5,464.0,483.5,499.5,511.0,519.5,525.0,182.0,222.0,278.5,300.5
