,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221121_150510308_0015.tiff,518,128.5,253.0,326.0,378.5,990.5,1006.5,481.0,495.0,505.5,512.5,516.5,,,175.0,214.5
1,Basler_acA2500-14um__23891378__20221121_150510308_0016.tiff,515,162.0,295.0,352.0,392.5,425.0,450.5,470.5,487.0,499.5,508.0,513.5,,,234.5,266.5
2,Basler_acA2500-14um__23891378__20221121_150510308_0017.tiff,514,,294.0,350.5,391.5,423.5,449.5,469.5,486.0,498.5,507.0,512.5,,,233.0,265.5
3,Basler_acA2500-14um__23891378__20221121_150510308_0018.tiff,514,,292.5,349.5,390.5,422.5,448.5,469.0,485.0,497.5,506.0,511.5,,,231.5,264.5
4,Basler_acA2500-14um__23891378__20221121_150510308_0019.tiff,512,,291.0,347.5,388.5,421.0,446.5,467.5,483.5,495.5,504.5,510.0,,,229.5,262.5
5,Basler_acA2500-14um__23891378__20221121_150510308_0020.tiff,510,,289.0,346.5,387.0,419.0,445.0,465.5,481.5,494.0,502.5,508.0,,,227.5,260.5
6,Basler_acA2500-14um__23891378__20221121_150510308_0021.tiff,508,,286.5,344.5,384.5,417.5,442.5,463.5,479.5,492.0,500.5,506.0,,,225.0,258.5
7,Basler_acA2500-14um__23891378__20221121_150510308_0022.tiff,506,,284.5,341.5,382.5,415.0,440.5,461.5,477.5,490.0,499.0,504.0,,,222.5,256.0
8,Basler_acA2500-14um__23891378__20221121_150510308_0023.tiff,504,,282.5,339.5,380.5,413.0,439.5,459.5,476.0,488.0,497.0,502.5,,,220.5,254.0
9,Basler_acA2500-14um__23891378__20221121_150510308_0024.tiff,502,,280.0,337.5,378.5,411.0,437.5,457.5,474.0,486.5,495.0,500.0,,,217.5,251.0
10,Basler_acA2500-14um__23891378__20221121_150510308_0025.tiff,500,,278.0,335.0,376.0,409.0,435.0,455.5,471.5,484.0,493.0,498.0,,,215.5,249.0
11,Basler_acA2500-14um__23891378__20221121_150510308_0026.tiff,498,,276.0,333.0,374.5,407.0,433.5,453.5,469.5,482.5,491.0,496.0,,,213.5,246.5
12,Basler_acA2500-14um__23891378__20221121_150510308_0027.tiff,497,,275.0,332.0,373.0,405.5,431.5,452.5,468.5,481.0,490.0,495.0,,,211.5,245.5
13,Basler_acA2500-14um__23891378__20221121_150510308_0028.tiff,494,,271.0,328.5,370.0,402.5,428.5,449.0,465.5,478.0,486.5,492.0,,,207.5,242.0
14,Basler_acA2500-14um__23891378__20221121_150510308_0029.tiff,493,,269.0,326.5,368.5,401.0,426.5,448.0,464.0,476.5,485.0,490.5,,,205.5,240.0
15,Basler_acA2500-14um__23891378__20221121_150510308_0030.tiff,490,,267.5,324.5,366.0,399.0,425.0,445.5,462.0,474.0,483.0,488.5,,,203.5,237.5
16,Basler_acA2500-14um__23891378__20221121_150510308_0031.tiff,489,,265.5,322.5,364.5,397.0,423.0,444.0,460.0,472.5,481.0,486.5,,,202.0,236.0
17,Basler_acA2500-14um__23891378__20221121_150510308_0032.tiff,487,,263.5,321.0,362.5,395.0,421.0,442.0,458.5,470.5,479.0,484.5,,,199.5,234.0
18,Basler_acA2500-14um__23891378__20221121_150510308_0033.tiff,485,,260.5,318.5,360.0,393.0,418.5,439.5,455.5,468.5,477.0,482.0,,,197.5,231.5
19,Basler_acA2500-14um__23891378__20221121_150510308_0034.tiff,482,,258.5,316.0,358.0,390.5,416.5,437.5,453.5,466.0,475.0,480.0,,,194.5,228.5
20,Basler_acA2500-14um__23891378__20221121_150510308_0035.tiff,481,,256.0,314.0,356.0,388.5,414.5,435.5,451.5,464.0,473.0,478.0,,,192.5,226.5
21,Basler_acA2500-14um__23891378__20221121_150510308_0036.tiff,478,,254.0,311.5,354.0,386.5,412.5,433.5,449.5,462.0,471.0,476.0,,,189.5,224.5
22,Basler_acA2500-14um__23891378__20221121_150510308_0037.tiff,476,,251.5,309.5,351.5,384.5,410.5,431.5,447.5,460.0,469.0,474.0,,,188.0,222.0
23,Basler_acA2500-14um__23891378__20221121_150510308_0038.tiff,474,,249.5,307.5,349.5,382.5,408.5,429.0,445.5,457.5,467.0,472.0,,,185.0,219.5
24,Basler_acA2500-14um__23891378__20221121_150510308_0039.tiff,472,,247.0,305.0,347.5,380.5,406.5,427.0,443.5,456.0,464.5,470.0,,,183.5,217.0
25,Basler_acA2500-14um__23891378__20221121_150510308_0040.tiff,470,,245.0,303.0,345.0,378.5,404.0,425.0,441.5,453.5,462.5,468.0,,,180.0,214.5
