,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221216_133435296_0012.tiff,525,266.0,327.5,374.5,410.5,439.5,463.5,483.0,498.0,509.5,518.0,523.5,204.0,235.5,284.0,304.5
1,Basler_acA2500-14um__23891378__20221216_133435296_0013.tiff,525,265.0,327.0,373.5,410.0,439.5,463.0,482.5,498.0,509.5,518.0,522.5,204.0,235.5,284.0,303.5
2,Basler_acA2500-14um__23891378__20221216_133435296_0014.tiff,524,264.5,326.5,373.0,409.0,438.5,462.5,481.5,497.0,508.5,517.0,521.5,203.5,235.0,283.0,303.5
3,Basler_acA2500-14um__23891378__20221216_133435296_0015.tiff,522,263.0,325.0,371.5,407.5,437.5,460.5,480.0,495.0,506.5,515.0,520.5,202.5,233.0,282.0,302.0
4,Basler_acA2500-14um__23891378__20221216_133435296_0016.tiff,521,261.0,323.0,369.5,405.5,435.5,459.0,478.5,493.5,505.5,513.0,518.5,199.5,231.0,280.0,300.0
5,Basler_acA2500-14um__23891378__20221216_133435296_0017.tiff,519,259.5,321.0,367.5,404.0,433.5,457.5,476.5,492.0,503.5,511.5,516.5,198.0,229.0,278.0,298.0
6,Basler_acA2500-14um__23891378__20221216_133435296_0018.tiff,517,257.5,319.5,365.5,402.0,431.5,455.5,475.0,490.0,501.5,510.0,515.0,196.5,228.0,276.0,296.0
7,Basler_acA2500-14um__23891378__20221216_133435296_0019.tiff,515,255.5,317.5,363.5,400.0,429.5,453.5,473.0,488.0,499.5,508.0,513.0,194.0,225.5,274.0,294.0
8,Basler_acA2500-14um__23891378__20221216_133435296_0020.tiff,513,253.0,315.0,361.5,398.0,427.5,451.5,470.5,486.0,497.5,506.0,510.5,192.0,223.5,272.0,292.0
9,Basler_acA2500-14um__23891378__20221216_133435296_0021.tiff,511,251.0,313.0,359.5,396.0,425.5,449.5,469.0,484.0,495.5,504.0,509.0,189.5,221.0,270.0,290.0
