,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221216_135803899_0011.tiff,458,289.5,327.5,357.5,381.5,401.0,416.5,429.5,439.5,447.5,453.0,456.5,256.5,273.0,301.5,314.0
1,Basler_acA2500-14um__23891378__20221216_135803899_0012.tiff,457,288.5,326.5,356.5,380.5,400.0,415.5,429.0,439.0,447.0,452.5,455.5,254.5,271.5,300.5,313.0
2,Basler_acA2500-14um__23891378__20221216_135803899_0013.tiff,456,287.0,325.5,355.0,378.5,398.5,414.5,427.0,437.5,445.5,451.0,454.5,252.5,270.5,299.0,311.5
3,Basler_acA2500-14um__23891378__20221216_135803899_0014.tiff,455,285.5,324.0,354.0,377.5,397.0,413.0,426.0,436.5,444.0,450.0,453.5,251.5,268.5,298.0,310.5
4,Basler_acA2500-14um__23891378__20221216_135803899_0015.tiff,453,283.5,322.0,352.0,375.5,395.5,411.5,424.5,434.5,442.5,448.0,451.5,249.5,266.5,296.0,308.5
5,Basler_acA2500-14um__23891378__20221216_135803899_0016.tiff,451,280.5,319.5,349.5,373.5,393.0,409.0,422.0,432.5,440.0,446.0,449.5,246.0,263.5,293.0,305.5
6,Basler_acA2500-14um__23891378__20221216_135803899_0017.tiff,449,278.5,317.5,347.5,371.5,391.0,407.0,420.0,430.5,438.0,444.0,447.5,244.0,261.5,291.0,303.5
7,Basler_acA2500-14um__23891378__20221216_135803899_0018.tiff,447,276.0,315.0,345.0,369.0,389.0,405.0,418.0,428.5,436.0,442.0,445.5,241.0,259.0,288.5,301.0
8,Basler_acA2500-14um__23891378__20221216_135803899_0019.tiff,445,273.0,312.5,343.0,366.5,386.5,402.5,416.0,426.5,434.0,439.5,443.5,238.0,256.0,285.5,298.5
9,Basler_acA2500-14um__23891378__20221216_135803899_0020.tiff,443,270.5,310.0,341.0,364.5,384.5,400.5,414.0,424.5,432.0,437.5,441.5,235.0,253.5,283.5,296.0
10,Basler_acA2500-14um__23891378__20221216_135803899_0021.tiff,440,268.0,307.5,338.0,362.5,382.0,398.5,411.0,421.5,430.0,435.5,439.0,232.0,250.5,280.5,293.5
11,Basler_acA2500-14um__23891378__20221216_135803899_0022.tiff,438,265.0,305.0,336.0,359.5,380.0,396.0,409.0,419.5,427.5,433.0,436.5,229.0,247.5,278.0,290.5
12,Basler_acA2500-14um__23891378__20221216_135803899_0023.tiff,436,262.5,302.5,333.5,357.5,377.5,394.0,407.0,417.5,425.0,431.0,434.5,226.0,244.5,275.0,288.0
13,Basler_acA2500-14um__23891378__20221216_135803899_0024.tiff,434,260.0,300.0,331.0,355.5,375.0,391.5,405.0,415.5,423.0,428.5,432.5,223.0,241.5,272.5,285.5
14,Basler_acA2500-14um__23891378__20221216_135803899_0025.tiff,432,257.0,297.5,328.5,352.5,373.0,389.5,402.5,413.0,421.0,426.5,430.5,220.0,239.0,270.0,283.0
15,Basler_acA2500-14um__23891378__20221216_135803899_0026.tiff,429,254.0,294.5,326.0,350.5,370.5,387.0,400.0,410.5,418.5,424.5,428.0,217.0,236.0,267.0,280.0
