,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221216_142011243_0011.tiff,633,392.0,446.5,488.0,521.5,550.0,572.5,590.5,605.5,617.0,624.5,630.5,343.5,368.5,410.0,428.0
1,Basler_acA2500-14um__23891378__20221216_142011243_0012.tiff,632,391.0,445.0,488.0,521.5,549.0,572.0,590.5,605.0,616.0,624.5,629.5,342.5,367.5,409.0,427.0
2,Basler_acA2500-14um__23891378__20221216_142011243_0013.tiff,632,391.0,446.0,488.0,521.5,549.0,572.0,590.5,605.0,616.0,624.5,629.5,343.0,368.0,409.5,427.0
3,Basler_acA2500-14um__23891378__20221216_142011243_0014.tiff,632,391.0,445.5,487.5,521.0,549.0,571.0,589.5,604.5,616.0,624.0,629.5,342.5,367.5,409.5,427.0
4,Basler_acA2500-14um__23891378__20221216_142011243_0015.tiff,631,389.5,444.0,486.0,520.0,547.5,570.0,588.5,603.5,615.0,623.0,628.5,340.5,365.5,407.5,425.5
5,Basler_acA2500-14um__23891378__20221216_142011243_0016.tiff,630,388.0,443.0,485.0,518.5,546.5,569.0,587.5,602.0,613.5,621.5,627.0,339.0,364.5,406.5,424.0
6,Basler_acA2500-14um__23891378__20221216_142011243_0017.tiff,629,386.5,441.0,483.5,517.5,545.0,567.5,586.5,601.5,612.5,621.0,626.5,337.5,363.0,404.5,422.5
7,Basler_acA2500-14um__23891378__20221216_142011243_0018.tiff,628,386.0,440.5,483.0,516.5,544.0,567.0,585.5,600.0,611.5,619.5,625.0,337.0,362.5,404.0,422.0
8,Basler_acA2500-14um__23891378__20221216_142011243_0019.tiff,626,384.0,439.0,481.0,515.5,543.0,565.5,584.0,599.0,610.0,618.5,623.5,335.0,360.5,402.5,420.0
9,Basler_acA2500-14um__23891378__20221216_142011243_0020.tiff,625,382.0,437.0,480.0,513.5,541.0,564.0,582.5,597.0,608.5,617.0,622.5,333.0,358.5,400.5,418.0
10,Basler_acA2500-14um__23891378__20221216_142011243_0021.tiff,623,380.5,435.0,478.0,511.5,539.5,562.5,581.0,596.0,607.0,615.5,620.5,330.5,356.5,398.5,416.5
11,Basler_acA2500-14um__23891378__20221216_142011243_0022.tiff,622,378.5,433.0,476.0,510.0,538.0,560.5,579.5,594.0,605.5,613.5,619.0,328.5,354.0,396.5,415.0
12,Basler_acA2500-14um__23891378__20221216_142011243_0023.tiff,620,376.0,431.5,474.0,508.5,536.0,559.0,577.5,592.5,604.0,612.0,617.5,326.0,352.0,394.5,413.0
13,Basler_acA2500-14um__23891378__20221216_142011243_0024.tiff,618,374.5,429.5,473.0,506.5,535.0,557.5,576.0,591.0,602.0,610.5,616.0,324.0,350.0,392.5,411.0
14,Basler_acA2500-14um__23891378__20221216_142011243_0025.tiff,617,372.5,428.0,471.0,504.5,533.0,555.5,574.5,589.0,600.5,608.5,614.5,321.5,348.0,390.5,409.0
15,Basler_acA2500-14um__23891378__20221216_142011243_0026.tiff,615,370.0,426.0,469.0,503.0,531.0,553.5,572.5,587.5,599.0,607.5,612.5,319.0,345.5,388.5,407.0
16,Basler_acA2500-14um__23891378__20221216_142011243_0027.tiff,614,368.0,424.0,467.0,501.5,529.5,552.5,571.0,586.0,597.5,605.5,611.0,317.0,344.0,386.5,405.0
17,Basler_acA2500-14um__23891378__20221216_142011243_0028.tiff,612,366.0,422.0,466.0,499.5,528.0,550.5,569.5,584.5,596.0,604.0,609.5,315.0,341.5,385.0,403.0
18,Basler_acA2500-14um__23891378__20221216_142011243_0029.tiff,611,364.0,420.5,464.0,498.0,526.0,549.5,568.0,583.0,594.0,602.5,607.5,312.5,339.0,382.5,401.0
19,Basler_acA2500-14um__23891378__20221216_142011243_0030.tiff,609,362.0,418.5,462.0,496.5,524.5,547.5,566.5,581.0,593.0,601.0,606.5,310.5,337.5,381.0,399.0
20,Basler_acA2500-14um__23891378__20221216_142011243_0031.tiff,607,360.0,416.5,460.0,494.5,523.0,546.0,564.5,580.0,591.0,599.5,604.5,308.0,335.5,379.0,397.5
21,Basler_acA2500-14um__23891378__20221216_142011243_0032.tiff,606,358.0,415.0,459.0,493.5,521.0,544.5,563.5,578.0,589.5,598.0,603.5,306.0,333.0,377.5,396.0
22,Basler_acA2500-14um__23891378__20221216_142011243_0033.tiff,604,356.5,413.5,457.0,491.5,520.0,542.5,561.5,576.5,588.0,596.5,601.5,303.5,331.0,375.5,394.0
23,Basler_acA2500-14um__23891378__20221216_142011243_0034.tiff,603,354.0,411.0,455.0,489.5,518.0,541.0,559.5,575.0,586.0,594.5,600.0,301.0,328.5,373.5,392.0
24,Basler_acA2500-14um__23891378__20221216_142011243_0035.tiff,601,352.0,409.5,453.0,487.5,516.0,539.5,558.5,573.0,585.0,593.5,598.5,299.0,326.5,371.5,390.0
