,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221216_144218814_0012.tiff,476,282.0,326.5,360.5,388.0,409.5,428.0,442.5,454.0,463.0,469.5,473.5,241.5,263.5,298.5,313.0
1,Basler_acA2500-14um__23891378__20221216_144218814_0013.tiff,475,280.5,325.5,360.0,387.0,409.0,427.0,441.5,453.5,462.0,468.5,473.0,239.5,261.5,297.5,312.0
2,Basler_acA2500-14um__23891378__20221216_144218814_0014.tiff,474,279.5,324.5,358.5,386.0,408.5,426.0,440.5,452.5,461.0,467.5,472.5,238.5,260.5,296.0,311.0
3,Basler_acA2500-14um__23891378__20221216_144218814_0015.tiff,474,279.0,324.0,358.5,385.0,407.5,425.5,440.0,451.5,461.0,467.0,471.5,238.5,260.5,296.0,311.0
4,Basler_acA2500-14um__23891378__20221216_144218814_0016.tiff,472,277.5,322.5,356.5,384.0,405.5,424.0,438.5,450.0,459.0,465.5,469.5,236.0,258.5,294.0,308.5
5,Basler_acA2500-14um__23891378__20221216_144218814_0017.tiff,469,274.0,318.5,353.5,381.0,403.0,421.0,435.5,447.5,456.0,463.0,467.5,232.5,254.5,290.5,306.0
6,Basler_acA2500-14um__23891378__20221216_144218814_0018.tiff,468,272.5,318.0,352.5,379.5,401.5,420.0,434.5,446.0,455.0,461.5,466.0,231.0,253.5,289.5,304.5
7,Basler_acA2500-14um__23891378__20221216_144218814_0019.tiff,466,270.0,315.5,350.5,377.0,399.5,418.0,432.5,444.0,453.0,459.5,463.5,228.0,251.0,287.0,302.0
8,Basler_acA2500-14um__23891378__20221216_144218814_0020.tiff,464,267.5,313.5,347.5,375.0,397.5,415.0,430.0,442.0,451.0,457.5,461.5,225.0,248.5,284.5,299.5
9,Basler_acA2500-14um__23891378__20221216_144218814_0021.tiff,462,264.5,310.5,345.5,373.0,395.0,413.0,428.0,439.5,449.0,455.5,459.5,222.0,245.5,282.0,297.0
10,Basler_acA2500-14um__23891378__20221216_144218814_0022.tiff,460,262.0,308.0,343.0,370.5,392.5,411.0,425.5,437.5,446.5,453.0,457.5,219.0,242.5,279.0,294.0
11,Basler_acA2500-14um__23891378__20221216_144218814_0023.tiff,457,259.0,305.5,340.5,368.0,390.5,409.0,423.5,435.5,444.0,451.0,455.5,215.5,239.0,276.0,291.5
12,Basler_acA2500-14um__23891378__20221216_144218814_0024.tiff,455,256.5,303.0,338.5,366.0,388.5,406.0,421.5,433.0,442.0,448.5,453.5,213.0,236.0,274.0,289.0
13,Basler_acA2500-14um__23891378__20221216_144218814_0025.tiff,453,254.0,300.5,335.5,363.5,386.0,404.0,419.5,431.0,440.0,446.5,451.0,210.0,233.5,271.0,286.5
