,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221216_150513840_0012.tiff,438,233.5,283.0,319.5,348.5,371.0,389.5,405.0,416.5,426.0,432.5,436.5,185.0,211.5,252.0,268.0
1,Basler_acA2500-14um__23891378__20221216_150513840_0013.tiff,437,232.0,281.5,318.5,347.5,370.0,388.5,404.0,415.5,425.0,431.5,435.5,183.0,210.0,250.5,267.0
2,Basler_acA2500-14um__23891378__20221216_150513840_0014.tiff,436,230.0,280.0,316.5,345.5,368.0,387.5,402.0,414.5,423.0,430.0,434.5,180.5,207.5,248.5,265.0
3,Basler_acA2500-14um__23891378__20221216_150513840_0015.tiff,434,228.5,278.5,315.5,344.0,367.0,385.5,401.0,413.0,422.0,428.5,432.5,179.5,206.5,247.5,264.0
4,Basler_acA2500-14um__23891378__20221216_150513840_0016.tiff,432,226.0,275.5,313.0,341.5,365.0,383.5,398.0,410.5,419.5,426.0,430.5,176.5,203.5,244.5,261.0
5,Basler_acA2500-14um__23891378__20221216_150513840_0017.tiff,430,223.0,273.5,310.5,339.5,363.0,381.5,396.5,408.5,417.5,424.0,428.5,173.5,201.0,242.0,258.5
6,Basler_acA2500-14um__23891378__20221216_150513840_0018.tiff,427,220.0,270.5,307.5,336.5,360.0,378.5,394.0,405.5,415.0,421.5,425.5,169.5,197.0,238.5,255.5
7,Basler_acA2500-14um__23891378__20221216_150513840_0019.tiff,426,217.5,268.5,305.5,334.5,358.0,376.5,392.0,404.0,413.0,419.5,423.5,167.0,195.0,236.5,253.5
8,Basler_acA2500-14um__23891378__20221216_150513840_0020.tiff,423,215.0,266.5,303.5,332.5,356.0,374.5,390.0,402.0,411.0,417.5,421.5,164.5,193.0,234.5,251.0
9,Basler_acA2500-14um__23891378__20221216_150513840_0021.tiff,421,212.5,263.5,300.5,330.0,353.0,372.0,387.0,399.5,408.5,415.0,419.0,161.5,189.5,231.5,248.0
10,Basler_acA2500-14um__23891378__20221216_150513840_0022.tiff,418,208.5,260.5,298.5,327.0,350.5,369.5,384.5,396.5,405.5,412.5,416.5,158.0,186.5,228.5,245.0
11,Basler_acA2500-14um__23891378__20221216_150513840_0023.tiff,416,206.0,257.5,295.5,325.0,348.0,367.5,382.5,394.5,403.5,410.0,414.5,154.5,183.0,225.5,243.0
12,Basler_acA2500-14um__23891378__20221216_150513840_0024.tiff,414,203.5,255.5,293.5,322.5,346.0,364.5,380.0,392.0,401.5,408.0,412.5,151.5,180.0,223.0,240.0
13,Basler_acA2500-14um__23891378__20221216_150513840_0025.tiff,412,201.0,252.5,290.5,320.0,343.0,362.5,378.0,389.5,399.0,406.0,409.5,148.5,177.0,220.0,237.5
14,Basler_acA2500-14um__23891378__20221216_150513840_0026.tiff,409,198.0,249.5,288.5,317.5,341.0,359.5,375.0,387.5,396.5,403.5,407.5,144.5,174.0,217.5,234.5
15,Basler_acA2500-14um__23891378__20221216_150513840_0027.tiff,407,194.5,247.5,285.5,314.5,338.0,357.5,372.5,384.5,394.0,401.5,404.5,141.0,171.0,214.5,231.5
16,Basler_acA2500-14um__23891378__20221216_150513840_0028.tiff,404,192.0,244.5,282.5,312.5,336.0,354.5,370.0,382.5,391.5,399.0,402.5,137.5,168.0,211.5,229.0
17,Basler_acA2500-14um__23891378__20221216_150513840_0029.tiff,402,189.0,241.5,280.0,309.5,333.0,352.5,368.0,380.0,389.0,397.0,400.0,134.5,165.0,209.0,226.0
18,Basler_acA2500-14um__23891378__20221216_150513840_0030.tiff,400,186.0,239.0,277.5,307.0,331.0,350.5,365.0,377.5,387.0,394.5,397.5,131.5,162.0,206.5,223.5
19,Basler_acA2500-14um__23891378__20221216_150513840_0031.tiff,397,183.0,236.5,274.5,305.0,328.0,347.5,363.0,375.0,384.5,391.5,395.5,127.5,159.0,203.5,221.0
20,Basler_acA2500-14um__23891378__20221216_150513840_0032.tiff,395,180.5,233.5,272.5,302.0,326.0,345.0,360.5,372.5,382.0,389.5,393.0,125.0,156.0,200.5,218.0
21,Basler_acA2500-14um__23891378__20221216_150513840_0033.tiff,392,177.0,231.0,269.5,299.5,323.0,342.5,358.0,370.5,379.5,386.5,390.5,121.0,152.5,197.5,215.0
22,Basler_acA2500-14um__23891378__20221216_150513840_0034.tiff,390,174.0,228.0,267.0,297.0,320.5,340.0,355.5,367.5,377.0,384.0,388.0,117.5,149.5,194.5,212.0
23,Basler_acA2500-14um__23891378__20221216_150513840_0035.tiff,387,171.0,225.0,264.5,294.5,318.5,337.5,353.0,365.0,374.5,381.5,385.5,114.0,146.5,191.5,209.5
24,Basler_acA2500-14um__23891378__20221216_150513840_0036.tiff,385,168.5,222.5,262.0,292.0,315.5,335.0,350.5,363.0,372.0,379.0,383.0,111.0,142.5,189.0,206.5
25,Basler_acA2500-14um__23891378__20221216_150513840_0037.tiff,382,165.5,220.0,259.0,289.0,313.5,332.5,348.0,360.5,369.5,376.5,380.5,107.5,140.5,186.0,204.0
26,Basler_acA2500-14um__23891378__20221216_150513840_0038.tiff,380,162.5,217.0,256.5,287.0,310.5,330.0,345.5,358.0,367.0,374.0,378.5,104.0,137.0,183.5,201.0
27,Basler_acA2500-14um__23891378__20221216_150513840_0039.tiff,378,159.5,214.5,254.0,284.0,308.5,327.5,343.0,355.5,365.0,371.5,375.5,100.0,134.0,180.5,198.5
28,Basler_acA2500-14um__23891378__20221216_150513840_0040.tiff,376,156.0,212.0,251.0,282.0,305.5,325.5,341.0,353.5,362.5,369.0,373.5,97.0,131.0,178.0,195.5
29,Basler_acA2500-14um__23891378__20221216_150513840_0041.tiff,373,153.0,209.0,249.0,279.0,303.5,323.0,338.5,351.0,360.5,367.0,371.5,92.5,128.0,175.0,193.0
30,Basler_acA2500-14um__23891378__20221216_150513840_0042.tiff,371,150.5,206.5,246.0,277.0,301.0,320.5,336.5,348.5,358.0,365.0,369.0,89.0,123.5,172.0,190.5
31,Basler_acA2500-14um__23891378__20221216_150513840_0043.tiff,369,147.0,203.5,243.5,274.5,298.5,318.5,334.0,346.5,355.5,362.5,366.5,84.5,120.0,169.0,187.0
32,Basler_acA2500-14um__23891378__20221216_150513840_0044.tiff,366,143.5,201.0,240.5,271.5,296.0,315.5,331.5,344.0,353.5,360.0,364.5,80.5,117.5,165.5,184.5
33,Basler_acA2500-14um__23891378__20221216_150513840_0045.tiff,364,141.0,198.0,238.5,269.5,293.5,313.5,329.0,341.5,351.0,358.0,362.5,76.5,114.0,163.0,181.5
34,Basler_acA2500-14um__23891378__20221216_150513840_0046.tiff,362,137.5,195.0,235.5,266.5,291.0,311.0,327.0,339.5,348.5,355.5,359.5,73.0,110.5,160.0,178.5
35,Basler_acA2500-14um__23891378__20221216_150513840_0047.tiff,359,135.0,192.5,233.5,264.0,289.0,308.5,324.0,337.0,346.5,353.0,357.5,69.0,107.0,157.0,176.0
36,Basler_acA2500-14um__23891378__20221216_150513840_0048.tiff,357,131.5,189.5,230.0,262.0,286.5,306.0,322.0,334.5,344.0,351.0,355.5,65.0,103.5,154.0,173.0
37,Basler_acA2500-14um__23891378__20221216_150513840_0049.tiff,355,128.0,187.0,228.0,259.0,283.5,303.5,319.5,332.0,341.5,348.5,352.5,61.0,100.0,151.0,170.0
38,Basler_acA2500-14um__23891378__20221216_150513840_0050.tiff,353,125.0,184.0,225.5,256.5,281.5,301.5,317.5,330.0,339.5,346.5,350.5,58.0,97.0,148.0,167.5
39,Basler_acA2500-14um__23891378__20221216_150513840_0051.tiff,350,121.5,181.5,222.5,254.5,279.0,299.0,315.0,327.5,337.0,344.0,348.5,55.0,93.5,145.0,164.5
40,Basler_acA2500-14um__23891378__20221216_150513840_0052.tiff,348,119.0,178.5,220.5,252.0,277.0,296.5,313.0,325.5,335.0,342.0,346.5,52.0,90.0,142.0,161.5
41,Basler_acA2500-14um__23891378__20221216_150513840_0053.tiff,346,116.0,175.5,217.5,249.5,274.5,294.5,310.0,323.0,332.5,339.5,343.5,49.5,87.0,139.0,159.0
42,Basler_acA2500-14um__23891378__20221216_150513840_0054.tiff,344,112.0,173.0,214.5,246.5,271.5,292.0,308.0,321.0,330.5,337.0,341.5,46.5,82.5,136.0,156.0
43,Basler_acA2500-14um__23891378__20221216_150513840_0055.tiff,342,108.5,170.0,212.5,244.5,269.5,290.0,306.5,319.0,328.5,335.0,339.5,44.0,78.5,132.5,153.0
44,Basler_acA2500-14um__23891378__20221216_150513840_0056.tiff,340,104.5,167.0,209.5,242.0,267.0,288.0,303.5,317.0,326.5,333.0,337.5,41.5,75.0,129.0,149.0
45,Basler_acA2500-14um__23891378__20221216_150513840_0057.tiff,337,101.5,164.0,207.0,239.5,265.0,285.0,301.5,315.0,324.5,331.0,335.5,40.0,71.5,125.5,146.5
46,Basler_acA2500-14um__23891378__20221216_150513840_0058.tiff,335,98.0,161.0,204.0,237.0,262.5,283.0,299.5,312.0,321.5,329.0,333.5,39.0,69.0,122.5,143.5
47,Basler_acA2500-14um__23891378__20221216_150513840_0059.tiff,333,95.5,158.0,202.0,234.5,260.0,280.5,297.0,310.0,319.5,326.0,331.0,37.5,67.0,120.0,141.0
48,Basler_acA2500-14um__23891378__20221216_150513840_0060.tiff,331,92.0,155.5,199.0,232.0,257.5,278.0,294.5,307.5,317.0,324.0,328.5,36.5,64.5,116.5,138.0
49,Basler_acA2500-14um__23891378__20221216_150513840_0061.tiff,328,88.0,152.5,196.5,229.5,255.0,276.0,292.0,305.5,315.0,322.0,326.5,34.5,61.0,113.0,134.0
