,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221216_152729402_0013.tiff,531,242.5,316.5,369.0,410.5,440.5,466.5,486.5,502.5,514.5,523.0,528.0,160.0,204.0,266.0,289.5
1,Basler_acA2500-14um__23891378__20221216_152729402_0014.tiff,530,240.5,315.5,367.5,409.0,439.5,465.0,485.5,501.5,513.5,522.0,527.0,155.0,201.0,264.0,288.0
2,Basler_acA2500-14um__23891378__20221216_152729402_0015.tiff,529,239.5,314.0,366.5,408.0,438.5,464.5,484.5,501.0,513.0,521.5,527.0,153.0,199.5,263.0,287.0
3,Basler_acA2500-14um__23891378__20221216_152729402_0016.tiff,528,239.5,315.0,367.0,408.0,438.5,464.5,484.5,500.5,512.5,521.0,526.0,157.0,201.5,263.5,287.5
4,Basler_acA2500-14um__23891378__20221216_152729402_0017.tiff,527,238.0,313.0,365.0,407.0,436.5,462.5,483.0,499.0,511.5,520.0,525.0,156.0,199.5,261.5,285.5
5,Basler_acA2500-14um__23891378__20221216_152729402_0018.tiff,525,234.5,310.0,362.5,405.0,434.5,460.0,481.0,497.0,509.0,517.0,523.0,149.0,195.5,258.5,282.5
6,Basler_acA2500-14um__23891378__20221216_152729402_0019.tiff,523,233.5,309.0,361.5,404.0,433.5,459.5,479.5,495.5,508.0,516.0,521.0,149.0,194.5,257.5,281.5
7,Basler_acA2500-14um__23891378__20221216_152729402_0020.tiff,522,233.5,308.5,361.0,403.0,432.5,458.0,478.5,494.5,507.0,515.0,520.5,151.5,194.5,257.0,281.0
8,Basler_acA2500-14um__23891378__20221216_152729402_0021.tiff,521,231.0,306.0,358.5,401.5,430.5,456.5,476.5,493.0,504.5,513.0,518.0,148.0,192.5,254.5,278.5
9,Basler_acA2500-14um__23891378__20221216_152729402_0022.tiff,518,229.0,304.0,356.5,399.5,428.5,454.5,474.5,490.5,503.0,511.5,516.5,146.0,190.0,252.5,276.5
10,Basler_acA2500-14um__23891378__20221216_152729402_0023.tiff,517,227.0,302.0,355.0,398.5,426.5,452.5,473.0,488.5,501.0,509.5,515.0,144.0,188.5,250.5,274.5
11,Basler_acA2500-14um__23891378__20221216_152729402_0024.tiff,515,224.5,299.5,352.5,396.0,424.5,450.5,471.0,487.0,499.0,507.5,513.0,142.0,185.5,247.5,272.5
12,Basler_acA2500-14um__23891378__20221216_152729402_0025.tiff,513,222.0,298.0,350.5,395.0,422.5,448.5,469.0,485.5,497.0,506.0,511.0,139.0,184.0,246.0,270.0
13,Basler_acA2500-14um__23891378__20221216_152729402_0026.tiff,511,220.0,295.0,348.0,392.5,420.5,446.5,467.0,483.0,495.0,504.0,509.0,136.0,180.5,243.5,268.0
14,Basler_acA2500-14um__23891378__20221216_152729402_0027.tiff,509,217.5,293.0,346.0,391.0,418.5,444.5,464.5,481.0,493.0,501.5,507.0,133.5,178.5,241.5,265.5
15,Basler_acA2500-14um__23891378__20221216_152729402_0028.tiff,507,215.0,291.0,344.0,389.0,416.5,442.5,463.0,479.0,491.0,500.0,505.0,131.5,175.5,238.5,263.5
16,Basler_acA2500-14um__23891378__20221216_152729402_0029.tiff,505,213.0,289.0,342.0,387.0,414.5,440.5,461.0,476.5,489.0,497.5,503.0,129.0,173.5,236.5,261.5
17,Basler_acA2500-14um__23891378__20221216_152729402_0030.tiff,503,210.5,287.0,340.0,385.5,412.5,438.5,459.0,475.0,487.0,496.0,501.0,125.5,171.5,234.5,259.0
18,Basler_acA2500-14um__23891378__20221216_152729402_0031.tiff,501,208.0,284.5,338.0,383.0,410.5,436.5,456.5,473.0,485.0,494.0,499.0,123.5,168.5,232.0,256.5
19,Basler_acA2500-14um__23891378__20221216_152729402_0032.tiff,499,205.5,282.5,336.0,380.5,408.5,434.5,454.5,471.0,483.0,492.0,497.0,121.0,166.5,229.5,254.5
20,Basler_acA2500-14um__23891378__20221216_152729402_0033.tiff,497,203.5,279.5,333.0,376.0,406.5,431.5,452.5,468.5,481.0,489.5,495.0,119.0,164.0,227.0,252.5
21,Basler_acA2500-14um__23891378__20221216_152729402_0034.tiff,495,201.0,278.0,331.0,372.5,404.0,429.5,450.5,466.5,479.0,487.5,493.0,116.5,161.5,225.0,249.5
22,Basler_acA2500-14um__23891378__20221216_152729402_0035.tiff,493,199.5,275.5,329.0,370.0,402.0,428.0,448.5,465.0,477.0,486.0,491.0,114.5,159.5,223.0,248.0
23,Basler_acA2500-14um__23891378__20221216_152729402_0036.tiff,491,196.5,273.5,327.0,367.5,400.0,425.5,446.5,462.5,475.0,483.5,489.0,111.5,156.5,220.5,245.5
24,Basler_acA2500-14um__23891378__20221216_152729402_0037.tiff,489,194.5,271.0,325.0,365.5,397.5,423.5,444.5,460.5,473.0,481.5,487.0,109.0,154.0,218.5,243.0
25,Basler_acA2500-14um__23891378__20221216_152729402_0038.tiff,487,191.5,269.0,322.5,363.5,396.0,421.5,442.5,458.5,471.0,479.5,485.0,106.5,152.0,216.0,241.0
26,Basler_acA2500-14um__23891378__20221216_152729402_0039.tiff,485,189.5,266.5,320.5,361.0,393.5,419.5,440.5,456.5,469.0,477.5,482.5,104.5,149.5,214.0,238.5
27,Basler_acA2500-14um__23891378__20221216_152729402_0040.tiff,483,187.5,264.5,318.5,360.0,391.5,417.5,438.5,454.5,467.0,476.0,481.0,102.0,148.0,211.5,236.5
28,Basler_acA2500-14um__23891378__20221216_152729402_0041.tiff,481,185.0,262.5,316.5,357.0,390.0,415.5,436.5,452.5,465.0,473.5,479.0,100.5,145.0,209.5,234.0
