,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221121_162104466_0012.tiff,513,197.5,278.5,335.0,379.0,414.0,441.0,464.0,481.5,495.0,505.0,510.5,105.5,155.5,223.5,249.5
1,Basler_acA2500-14um__23891378__20221121_162104466_0013.tiff,513,196.5,278.0,335.0,378.5,413.0,441.0,463.5,481.0,494.5,504.0,510.5,104.5,154.5,223.0,249.0
2,Basler_acA2500-14um__23891378__20221121_162104466_0014.tiff,512,195.5,277.0,334.0,377.0,412.0,440.0,462.5,480.0,493.5,503.0,509.5,103.5,153.5,222.0,247.5
3,Basler_acA2500-14um__23891378__20221121_162104466_0015.tiff,511,195.0,276.0,333.0,376.5,411.0,439.0,461.5,479.0,492.5,502.0,508.5,103.0,153.5,221.0,247.5
4,Basler_acA2500-14um__23891378__20221121_162104466_0016.tiff,510,194.0,274.5,331.5,375.0,409.5,437.5,460.0,478.0,491.5,501.0,507.5,102.0,152.0,219.5,245.5
5,Basler_acA2500-14um__23891378__20221121_162104466_0017.tiff,507,191.0,272.5,329.0,373.0,407.5,435.0,457.5,475.0,489.0,498.5,504.5,98.5,149.0,217.0,243.0
6,Basler_acA2500-14um__23891378__20221121_162104466_0018.tiff,506,189.5,271.0,328.0,371.0,405.5,434.0,456.5,474.0,487.5,497.0,503.5,97.5,147.5,215.5,241.5
7,Basler_acA2500-14um__23891378__20221121_162104466_0019.tiff,504,188.0,269.0,326.0,369.5,404.0,432.0,454.5,472.0,485.5,495.0,501.5,96.5,146.0,214.0,239.5
8,Basler_acA2500-14um__23891378__20221121_162104466_0020.tiff,502,186.0,267.0,324.0,367.5,402.0,430.0,452.5,470.0,483.5,493.0,499.5,95.0,144.0,212.0,238.0
9,Basler_acA2500-14um__23891378__20221121_162104466_0021.tiff,500,184.0,265.0,322.0,365.5,400.0,428.0,450.5,468.0,481.5,491.0,497.5,93.5,142.0,209.5,236.0
10,Basler_acA2500-14um__23891378__20221121_162104466_0022.tiff,498,182.0,263.0,320.0,363.0,399.0,426.0,448.0,466.0,479.5,489.0,495.5,91.0,140.0,208.0,233.5
11,Basler_acA2500-14um__23891378__20221121_162104466_0023.tiff,496,180.5,261.5,317.5,361.0,397.0,424.0,446.5,464.0,477.5,487.0,493.5,89.5,138.5,206.0,232.0
12,Basler_acA2500-14um__23891378__20221121_162104466_0024.tiff,494,178.0,259.0,315.5,359.0,395.0,422.0,444.5,462.0,475.5,485.0,491.5,87.5,136.0,203.5,230.0
13,Basler_acA2500-14um__23891378__20221121_162104466_0025.tiff,492,176.0,257.0,314.0,357.0,393.0,420.0,442.5,460.0,473.5,483.0,489.5,86.0,134.0,201.5,228.0
14,Basler_acA2500-14um__23891378__20221121_162104466_0026.tiff,490,174.0,255.0,312.0,355.5,391.5,418.0,440.5,458.0,471.5,481.0,487.5,84.0,132.5,200.5,226.0
15,Basler_acA2500-14um__23891378__20221121_162104466_0027.tiff,488,172.5,252.5,309.5,353.0,389.5,416.0,438.5,456.0,469.5,479.0,485.5,82.5,131.0,198.0,224.0
16,Basler_acA2500-14um__23891378__20221121_162104466_0028.tiff,486,170.0,251.0,308.0,351.0,388.0,414.0,436.5,454.0,467.5,477.0,483.5,80.5,128.5,196.0,222.0
17,Basler_acA2500-14um__23891378__20221121_162104466_0029.tiff,484,168.0,248.5,306.0,349.0,386.0,411.5,434.0,452.0,465.5,475.0,481.5,78.5,126.0,193.5,220.0
18,Basler_acA2500-14um__23891378__20221121_162104466_0030.tiff,482,166.0,247.0,304.0,347.0,384.0,410.0,432.5,450.0,463.5,473.0,479.5,76.5,124.0,192.0,218.0
19,Basler_acA2500-14um__23891378__20221121_162104466_0031.tiff,480,164.5,245.5,302.0,345.0,381.5,408.0,430.5,448.0,461.5,471.0,477.5,75.0,123.0,190.0,216.0
20,Basler_acA2500-14um__23891378__20221121_162104466_0032.tiff,478,162.5,242.5,300.0,343.0,380.5,406.0,428.5,446.0,459.5,469.0,475.5,73.5,121.5,188.0,214.0
21,Basler_acA2500-14um__23891378__20221121_162104466_0033.tiff,476,160.5,241.0,297.5,341.0,378.5,404.0,426.5,444.0,457.5,467.0,473.5,72.0,119.0,186.0,212.0
