,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221130_114706874_0013.tiff,532,279.5,342.5,387.0,422.0,450.5,473.5,491.5,506.5,517.5,525.5,530.0,214.5,249.5,300.5,321.0
1,Basler_acA2500-14um__23891378__20221130_114706874_0014.tiff,531,277.0,340.0,384.5,420.5,449.0,472.0,490.0,504.5,515.5,523.5,528.5,212.0,247.0,298.5,319.0
2,Basler_acA2500-14um__23891378__20221130_114706874_0015.tiff,530,277.0,340.0,385.5,420.5,449.0,472.0,490.0,504.5,515.5,523.5,528.0,213.0,247.5,298.5,319.0
3,Basler_acA2500-14um__23891378__20221130_114706874_0016.tiff,530,277.5,340.5,385.0,420.5,448.5,471.5,489.5,504.5,515.0,523.0,528.0,213.5,248.0,299.0,319.0
4,Basler_acA2500-14um__23891378__20221130_114706874_0017.tiff,528,276.5,338.0,383.5,419.0,447.0,469.5,488.0,502.5,513.5,521.0,526.0,211.5,246.0,297.0,318.0
5,Basler_acA2500-14um__23891378__20221130_114706874_0018.tiff,526,272.0,335.0,380.5,416.0,444.0,467.0,485.5,500.0,511.0,519.0,524.0,205.5,242.0,293.5,314.0
6,Basler_acA2500-14um__23891378__20221130_114706874_0019.tiff,524,270.5,334.0,379.0,415.0,443.0,465.5,484.5,498.5,509.5,517.5,522.5,204.5,240.5,292.0,312.5
7,Basler_acA2500-14um__23891378__20221130_114706874_0020.tiff,524,271.0,333.5,379.0,414.5,442.5,465.5,483.5,498.0,509.0,517.0,522.0,206.0,241.0,292.0,312.5
8,Basler_acA2500-14um__23891378__20221130_114706874_0021.tiff,522,268.5,331.5,377.0,412.0,440.5,463.5,481.5,496.0,507.0,515.0,520.0,203.0,238.5,290.0,310.5
9,Basler_acA2500-14um__23891378__20221130_114706874_0022.tiff,520,266.5,329.5,375.0,410.0,438.5,461.5,479.5,494.5,505.0,513.0,518.0,200.0,236.0,287.5,308.5
10,Basler_acA2500-14um__23891378__20221130_114706874_0023.tiff,518,263.5,327.0,373.0,408.0,436.5,459.5,477.5,492.5,503.0,511.0,516.0,197.0,233.0,285.0,306.0
11,Basler_acA2500-14um__23891378__20221130_114706874_0024.tiff,516,261.5,324.5,370.5,406.0,434.0,457.5,475.5,490.0,501.0,509.0,514.0,193.5,230.5,283.0,303.5
12,Basler_acA2500-14um__23891378__20221130_114706874_0025.tiff,514,258.5,322.5,368.5,404.0,432.5,455.5,473.5,488.5,499.5,507.0,512.0,191.0,228.0,281.0,301.0
13,Basler_acA2500-14um__23891378__20221130_114706874_0026.tiff,512,256.0,320.0,366.0,402.0,430.5,453.0,471.5,486.5,497.0,505.0,510.0,188.5,225.0,278.0,299.0
