,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221207_125803591_0016.tiff,542,252.5,325.0,377.0,417.5,449.0,475.5,496.0,512.5,525.0,534.0,539.5,174.5,217.5,277.5,301.0
1,Basler_acA2500-14um__23891378__20221207_125803591_0017.tiff,539,250.0,322.0,374.5,415.0,446.5,473.0,494.0,510.5,523.0,531.5,537.0,170.5,214.5,275.0,299.0
2,Basler_acA2500-14um__23891378__20221207_125803591_0018.tiff,538,248.5,321.5,373.0,413.5,445.5,471.5,493.0,509.5,521.5,530.5,536.0,170.0,213.0,274.0,297.5
3,Basler_acA2500-14um__23891378__20221207_125803591_0019.tiff,538,249.0,322.0,373.5,414.0,446.0,472.0,492.5,509.5,522.0,531.0,536.5,171.0,214.0,274.5,298.0
4,Basler_acA2500-14um__23891378__20221207_125803591_0020.tiff,537,247.5,320.5,372.5,412.5,445.0,470.5,491.5,508.0,520.5,529.5,535.0,169.0,213.0,272.5,297.0
5,Basler_acA2500-14um__23891378__20221207_125803591_0021.tiff,536,246.5,319.5,371.5,411.5,443.5,469.5,490.5,507.0,519.5,528.5,534.0,167.5,211.5,272.0,295.5
6,Basler_acA2500-14um__23891378__20221207_125803591_0022.tiff,534,243.5,316.5,369.0,409.5,441.5,467.5,488.5,505.0,517.5,526.0,531.5,164.0,208.5,269.5,293.0
7,Basler_acA2500-14um__23891378__20221207_125803591_0023.tiff,533,243.0,316.5,368.0,408.5,440.5,466.5,487.5,504.0,516.5,525.5,531.0,164.0,208.0,268.5,292.5
8,Basler_acA2500-14um__23891378__20221207_125803591_0024.tiff,531,242.0,314.5,366.5,407.0,439.0,465.0,486.0,502.0,515.0,524.0,529.0,163.0,206.0,267.5,290.5
9,Basler_acA2500-14um__23891378__20221207_125803591_0025.tiff,529,240.0,312.0,365.0,405.0,436.5,463.0,484.0,500.0,513.0,522.0,527.0,160.0,204.5,264.5,288.5
10,Basler_acA2500-14um__23891378__20221207_125803591_0026.tiff,527,237.0,310.5,362.5,403.0,435.0,461.0,481.5,498.0,511.0,520.0,525.0,157.5,202.0,262.5,286.5
11,Basler_acA2500-14um__23891378__20221207_125803591_0027.tiff,525,235.0,308.5,360.5,400.5,432.5,459.0,480.0,496.0,509.0,518.0,523.0,155.0,199.5,260.5,284.5
12,Basler_acA2500-14um__23891378__20221207_125803591_0028.tiff,524,233.0,306.0,359.0,399.0,431.0,457.0,478.0,494.0,507.0,516.0,521.0,152.5,197.0,258.5,282.5
13,Basler_acA2500-14um__23891378__20221207_125803591_0029.tiff,522,231.0,304.0,356.5,397.0,429.5,455.0,476.0,492.0,505.0,514.0,519.5,150.0,195.0,256.5,280.0
14,Basler_acA2500-14um__23891378__20221207_125803591_0030.tiff,520,228.5,302.0,354.5,395.0,427.5,453.0,474.0,491.0,503.0,512.0,517.5,147.5,193.0,254.5,278.0
15,Basler_acA2500-14um__23891378__20221207_125803591_0031.tiff,518,227.0,300.0,352.5,393.0,425.5,451.0,472.0,489.0,501.0,510.0,516.0,145.0,191.0,252.0,276.5
16,Basler_acA2500-14um__23891378__20221207_125803591_0032.tiff,516,224.5,298.0,351.0,391.0,423.5,449.5,470.5,487.0,499.5,508.5,514.0,142.0,188.0,250.0,274.0
17,Basler_acA2500-14um__23891378__20221207_125803591_0033.tiff,514,222.0,296.0,349.0,389.0,421.5,447.5,468.0,485.0,497.0,507.0,512.0,140.0,186.0,248.0,272.0
18,Basler_acA2500-14um__23891378__20221207_125803591_0034.tiff,512,220.0,294.0,346.5,387.0,419.5,445.5,466.5,483.0,496.0,505.0,510.0,137.5,183.5,246.0,270.0
19,Basler_acA2500-14um__23891378__20221207_125803591_0035.tiff,511,218.0,292.0,345.0,385.0,417.5,444.0,465.0,481.0,494.0,503.0,508.0,135.5,181.5,244.0,268.0
20,Basler_acA2500-14um__23891378__20221207_125803591_0036.tiff,509,216.0,290.0,343.0,383.5,415.5,442.0,463.0,479.5,492.0,501.0,506.5,133.0,179.5,242.0,266.0
21,Basler_acA2500-14um__23891378__20221207_125803591_0037.tiff,507,213.5,288.0,341.0,382.0,413.5,440.0,461.0,478.0,490.0,499.0,505.0,131.0,177.0,240.0,264.0
