,file,dl_reflection_width,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,dl_height_midpoint,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,11l_to_11r,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221219_115342237_0012.tiff,965,284.5,346.5,392.5,428.0,457.0,480.5,499.5,514.5,525.5,533.5,538.0,540,224.0,256.0,284.5,305.0,325.5
1,Basler_acA2500-14um__23891378__20221219_115342237_0013.tiff,964,284.0,346.5,392.5,428.0,457.0,480.5,499.5,514.5,525.5,533.5,538.0,540,224.0,256.0,284.0,305.5,325.5
2,Basler_acA2500-14um__23891378__20221219_115342237_0014.tiff,964,284.5,346.0,392.0,428.0,456.5,480.5,499.5,514.0,525.0,533.0,538.0,540,223.5,255.5,284.5,305.0,325.5
3,Basler_acA2500-14um__23891378__20221219_115342237_0015.tiff,964,283.0,345.5,391.0,427.0,456.0,479.5,498.5,513.5,524.0,532.0,537.0,539,222.5,254.5,283.0,304.0,324.5
4,Basler_acA2500-14um__23891378__20221219_115342237_0016.tiff,966,282.0,343.5,390.0,425.5,454.5,478.0,496.5,511.5,523.0,531.0,536.0,537,221.0,253.0,282.0,303.0,323.0
5,Basler_acA2500-14um__23891378__20221219_115342237_0017.tiff,964,279.0,341.5,388.0,424.0,452.5,476.0,494.5,509.5,521.0,529.0,534.0,536,218.0,250.5,279.0,300.0,320.5
6,Basler_acA2500-14um__23891378__20221219_115342237_0018.tiff,964,277.5,340.0,386.5,422.0,451.0,474.5,493.5,508.5,519.5,527.5,532.0,534,216.0,248.5,277.5,299.0,319.0
7,Basler_acA2500-14um__23891378__20221219_115342237_0019.tiff,965,276.0,338.5,384.5,420.5,449.5,473.0,492.0,506.5,518.0,526.0,531.0,533,214.5,247.0,276.0,297.0,317.0
8,Basler_acA2500-14um__23891378__20221219_115342237_0020.tiff,964,274.0,336.5,383.0,419.0,448.0,471.5,490.5,505.5,516.5,524.0,529.0,531,212.5,245.0,274.0,295.0,315.5
9,Basler_acA2500-14um__23891378__20221219_115342237_0021.tiff,966,272.0,334.5,381.0,417.0,446.0,469.5,488.5,503.5,514.5,522.5,527.0,529,210.0,243.0,272.0,293.0,313.5
10,Basler_acA2500-14um__23891378__20221219_115342237_0022.tiff,964,269.5,332.5,379.0,415.0,444.0,467.5,486.5,501.5,512.5,520.5,525.0,527,207.5,240.5,269.5,291.0,311.5
11,Basler_acA2500-14um__23891378__20221219_115342237_0023.tiff,964,268.0,330.5,377.0,413.0,442.0,465.5,484.5,499.5,511.0,519.0,524.0,526,205.0,238.5,268.0,289.0,309.0
12,Basler_acA2500-14um__23891378__20221219_115342237_0024.tiff,965,265.0,328.5,375.0,411.0,440.5,464.0,483.0,498.0,509.0,517.0,522.0,524,202.5,236.0,265.0,287.0,307.5
13,Basler_acA2500-14um__23891378__20221219_115342237_0025.tiff,964,263.0,326.5,373.0,409.0,438.5,462.0,481.5,496.5,507.5,515.5,520.0,522,200.0,233.5,263.0,284.5,305.0
14,Basler_acA2500-14um__23891378__20221219_115342237_0026.tiff,964,261.0,324.5,371.0,407.0,436.5,460.0,479.0,494.5,505.5,513.5,518.0,520,198.0,231.5,261.0,282.0,303.0
15,Basler_acA2500-14um__23891378__20221219_115342237_0027.tiff,964,259.0,322.5,369.0,405.0,434.5,458.0,477.5,492.5,503.5,511.5,516.0,518,195.0,228.5,259.0,280.0,300.5
16,Basler_acA2500-14um__23891378__20221219_115342237_0028.tiff,964,256.5,320.5,367.0,403.0,432.5,456.5,475.5,490.5,501.5,510.0,514.5,516,192.5,226.5,256.5,278.0,298.5
17,Basler_acA2500-14um__23891378__20221219_115342237_0029.tiff,964,254.0,318.0,365.0,401.0,431.0,454.5,473.5,488.5,499.5,508.0,513.0,514,190.0,224.5,254.0,276.0,296.5
18,Basler_acA2500-14um__23891378__20221219_115342237_0030.tiff,964,252.0,316.5,363.5,400.0,429.0,452.5,471.5,486.5,498.0,506.0,511.0,513,188.0,222.5,252.0,274.0,294.5
19,Basler_acA2500-14um__23891378__20221219_115342237_0031.tiff,964,250.0,314.0,361.5,398.0,427.0,450.5,470.0,484.5,496.0,504.0,509.0,511,185.0,219.5,250.0,272.0,292.5
20,Basler_acA2500-14um__23891378__20221219_115342237_0032.tiff,964,248.0,312.0,359.5,396.0,425.0,449.0,468.5,483.5,494.5,502.5,507.0,509,183.0,218.0,248.0,269.5,291.0
21,Basler_acA2500-14um__23891378__20221219_115342237_0033.tiff,964,245.5,310.0,357.5,394.0,423.0,447.0,466.5,481.5,492.5,500.5,505.5,507,180.5,215.5,245.5,267.5,288.5
22,Basler_acA2500-14um__23891378__20221219_115342237_0034.tiff,964,243.5,308.0,355.5,392.0,421.5,445.0,464.5,479.5,490.5,499.0,504.0,505,178.0,213.5,243.5,265.5,286.5
23,Basler_acA2500-14um__23891378__20221219_115342237_0035.tiff,964,241.5,306.0,353.5,390.0,420.0,443.5,462.5,477.5,489.0,497.0,502.0,504,175.5,210.5,241.5,263.0,284.5
24,Basler_acA2500-14um__23891378__20221219_115342237_0036.tiff,964,239.0,304.0,351.5,388.0,418.0,441.5,460.5,475.5,487.0,495.0,500.0,502,173.0,208.5,239.0,261.0,282.5
25,Basler_acA2500-14um__23891378__20221219_115342237_0037.tiff,964,237.0,302.0,349.5,386.0,416.0,440.0,459.0,474.0,485.5,493.5,498.0,500,171.0,206.5,237.0,259.0,280.5
26,Basler_acA2500-14um__23891378__20221219_115342237_0038.tiff,964,235.0,300.0,347.5,384.0,414.0,438.0,457.0,472.5,483.5,491.5,496.0,498,168.0,204.5,235.0,257.0,278.5
27,Basler_acA2500-14um__23891378__20221219_115342237_0039.tiff,964,232.5,298.0,345.5,382.5,412.0,436.0,455.5,470.5,481.5,489.5,494.5,496,165.5,202.0,232.5,255.0,276.0
28,Basler_acA2500-14um__23891378__20221219_115342237_0040.tiff,964,230.5,296.0,344.0,381.0,410.0,434.0,453.5,468.5,480.0,488.0,493.0,495,163.5,199.5,230.5,253.0,274.0
29,Basler_acA2500-14um__23891378__20221219_115342237_0041.tiff,964,228.5,294.0,342.0,379.0,408.5,432.5,451.5,466.5,478.0,486.0,491.0,493,161.0,197.5,228.5,251.0,272.0
30,Basler_acA2500-14um__23891378__20221219_115342237_0042.tiff,964,226.5,292.0,340.0,377.0,407.0,430.5,450.0,465.5,476.5,484.5,489.0,491,158.5,195.5,226.5,249.0,270.0
31,Basler_acA2500-14um__23891378__20221219_115342237_0043.tiff,964,224.0,290.5,338.0,375.0,405.0,429.0,448.0,463.5,474.5,482.5,487.5,489,156.0,193.0,224.0,247.0,268.0
32,Basler_acA2500-14um__23891378__20221219_115342237_0044.tiff,964,222.0,287.5,336.0,373.0,403.0,426.5,446.5,461.5,472.5,481.0,486.0,487,153.5,190.5,222.0,244.0,266.0
33,Basler_acA2500-14um__23891378__20221219_115342237_0045.tiff,964,220.0,286.0,334.5,371.0,401.0,425.0,444.5,459.5,471.0,479.0,484.0,486,151.0,188.5,220.0,243.0,264.0
34,Basler_acA2500-14um__23891378__20221219_115342237_0046.tiff,964,217.5,284.0,332.5,369.0,399.0,423.0,442.5,457.5,469.5,477.5,482.0,484,148.5,186.0,217.5,240.0,262.0
35,Basler_acA2500-14um__23891378__20221219_115342237_0047.tiff,964,215.5,282.0,330.5,368.0,397.5,421.5,441.0,456.5,467.5,475.5,480.5,482,145.5,184.0,215.5,238.0,260.0
36,Basler_acA2500-14um__23891378__20221219_115342237_0048.tiff,964,213.5,280.0,328.5,365.5,396.0,420.0,439.0,454.5,465.5,474.0,479.0,480,143.0,181.5,213.5,236.5,258.0
37,Basler_acA2500-14um__23891378__20221219_115342237_0049.tiff,963,211.0,278.0,326.5,364.0,394.0,418.0,437.5,452.5,464.0,472.0,477.0,479,140.0,178.5,211.0,234.0,256.0
38,Basler_acA2500-14um__23891378__20221219_115342237_0050.tiff,964,209.0,275.5,324.5,362.0,392.0,416.0,435.5,450.5,462.5,470.5,475.0,477,138.0,177.0,209.0,232.0,254.0
39,Basler_acA2500-14um__23891378__20221219_115342237_0051.tiff,964,206.5,274.0,322.5,360.0,390.0,414.5,433.5,449.0,460.5,468.5,473.5,475,135.0,174.5,206.5,230.0,252.0
40,Basler_acA2500-14um__23891378__20221219_115342237_0052.tiff,963,204.5,272.0,320.5,358.5,388.0,412.5,432.0,447.5,459.0,467.0,472.0,474,132.5,172.0,204.5,228.0,250.0
41,Basler_acA2500-14um__23891378__20221219_115342237_0053.tiff,963,202.5,270.0,319.5,356.5,387.0,411.0,430.5,445.5,457.0,465.0,470.0,472,130.0,170.0,202.5,225.5,248.0
42,Basler_acA2500-14um__23891378__20221219_115342237_0054.tiff,963,200.5,268.0,317.5,355.0,385.0,409.0,428.5,444.0,455.5,463.5,468.5,470,127.0,167.0,200.5,223.5,246.0
43,Basler_acA2500-14um__23891378__20221219_115342237_0055.tiff,964,198.0,266.0,315.5,353.0,383.0,407.5,427.0,442.5,453.5,462.0,467.0,469,124.5,165.0,198.0,222.0,244.0
