,file,dl_reflection_width,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,dl_height_midpoint,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,11l_to_11r,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221219_121843184_0013.tiff,1005,286.5,350.0,397.0,434.0,463.5,488.0,507.5,523.5,535.5,544.0,549.0,552,224.0,256.0,286.5,305.5,326.0
1,Basler_acA2500-14um__23891378__20221219_121843184_0014.tiff,1005,286.5,350.0,397.0,433.5,463.5,487.5,507.5,523.0,535.0,544.0,549.0,552,224.0,256.0,286.5,305.5,326.0
2,Basler_acA2500-14um__23891378__20221219_121843184_0015.tiff,1005,286.5,349.5,397.0,433.5,463.5,487.5,507.5,523.0,535.0,543.5,549.0,551,224.0,256.0,286.5,305.5,326.0
3,Basler_acA2500-14um__23891378__20221219_121843184_0016.tiff,1005,285.0,348.0,396.0,432.0,462.5,486.5,506.5,521.5,533.5,542.5,548.0,550,222.5,254.5,285.0,304.5,324.5
4,Basler_acA2500-14um__23891378__20221219_121843184_0017.tiff,1005,283.5,347.0,394.0,431.0,460.5,485.5,504.5,520.5,532.0,541.0,546.5,549,221.0,253.0,283.5,302.5,323.0
5,Basler_acA2500-14um__23891378__20221219_121843184_0018.tiff,1005,281.5,345.0,392.0,429.0,459.0,483.5,503.0,518.5,530.5,539.0,545.0,547,218.0,250.5,281.5,300.5,321.0
6,Basler_acA2500-14um__23891378__20221219_121843184_0019.tiff,1005,279.5,343.0,390.5,427.5,457.5,481.5,501.5,517.0,529.0,537.5,543.0,546,216.0,248.5,279.5,298.5,319.5
7,Basler_acA2500-14um__23891378__20221219_121843184_0020.tiff,1007,278.0,341.5,389.5,426.0,456.0,480.5,500.5,515.5,527.5,536.5,542.0,544,215.0,247.5,278.0,297.5,318.0
8,Basler_acA2500-14um__23891378__20221219_121843184_0021.tiff,1006,276.0,339.5,387.0,424.0,454.0,478.5,497.5,513.5,525.5,534.0,540.0,542,212.5,245.0,276.0,295.5,315.5
9,Basler_acA2500-14um__23891378__20221219_121843184_0022.tiff,1006,274.0,337.5,385.5,422.0,452.0,476.5,496.5,512.5,524.0,532.5,538.0,541,210.0,242.5,274.0,293.0,314.0
10,Basler_acA2500-14um__23891378__20221219_121843184_0023.tiff,1006,272.0,335.5,383.5,420.0,450.5,474.5,494.5,510.5,522.0,531.0,536.5,539,207.5,240.5,272.0,291.0,312.0
11,Basler_acA2500-14um__23891378__20221219_121843184_0024.tiff,1005,270.0,333.5,382.0,419.0,449.0,473.5,493.0,508.5,520.5,529.5,535.0,537,205.5,238.5,270.0,289.5,310.0
12,Basler_acA2500-14um__23891378__20221219_121843184_0025.tiff,1006,268.0,332.5,380.0,417.0,447.0,471.5,491.5,507.5,519.0,527.5,533.0,536,203.5,236.5,268.0,287.5,308.0
13,Basler_acA2500-14um__23891378__20221219_121843184_0026.tiff,1005,266.0,330.5,378.0,415.0,445.0,469.5,489.5,505.5,517.0,526.0,531.0,534,201.0,234.5,266.0,285.0,306.0
14,Basler_acA2500-14um__23891378__20221219_121843184_0027.tiff,1005,264.0,328.0,376.0,413.0,443.5,467.5,487.5,503.5,515.5,524.0,529.5,532,198.5,232.0,264.0,283.0,304.0
15,Basler_acA2500-14um__23891378__20221219_121843184_0028.tiff,1005,261.5,326.5,374.0,411.5,441.5,466.0,486.0,501.5,513.5,522.5,528.0,530,196.5,230.0,261.5,281.5,302.5
