,file,dl_reflection_width,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,dl_height_midpoint,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,11l_to_11r,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221219_130608996_0012.tiff,1002,272.5,341.5,392.0,430.5,462.0,487.0,507.0,523.5,536.0,544.5,550.5,553,199.0,237.5,272.5,294.0,316.0
1,Basler_acA2500-14um__23891378__20221219_130608996_0013.tiff,1000,271.0,340.5,391.0,430.0,461.0,486.5,507.0,523.0,535.0,544.0,549.5,552,197.5,236.0,271.0,292.5,315.0
2,Basler_acA2500-14um__23891378__20221219_130608996_0014.tiff,1001,271.0,340.0,390.5,429.0,460.0,485.5,506.0,522.0,534.5,543.5,548.5,552,196.5,235.5,271.0,292.0,314.5
3,Basler_acA2500-14um__23891378__20221219_130608996_0015.tiff,1003,271.5,340.5,390.5,429.5,460.5,485.5,506.0,522.0,534.0,543.0,548.5,551,198.5,237.0,271.5,293.0,315.0
4,Basler_acA2500-14um__23891378__20221219_130608996_0016.tiff,1006,270.0,339.5,389.0,428.5,459.0,484.5,505.0,521.0,533.0,542.0,547.5,550,197.5,236.0,270.0,291.5,313.5
5,Basler_acA2500-14um__23891378__20221219_130608996_0017.tiff,1003,267.5,336.5,387.0,426.0,457.0,482.5,503.0,518.5,531.0,540.0,545.5,548,193.5,232.0,267.5,289.0,311.0
6,Basler_acA2500-14um__23891378__20221219_130608996_0018.tiff,1002,265.5,335.0,385.0,424.5,455.5,480.5,501.0,517.5,529.5,538.5,544.5,547,191.0,230.0,265.5,287.0,309.5
7,Basler_acA2500-14um__23891378__20221219_130608996_0019.tiff,1006,265.0,334.5,384.0,423.0,454.5,480.0,500.0,516.5,528.5,537.5,543.0,545,191.5,230.0,265.0,286.5,309.0
8,Basler_acA2500-14um__23891378__20221219_130608996_0020.tiff,1007,263.5,333.0,383.0,422.0,453.0,478.0,498.5,514.5,527.0,536.0,541.5,544,190.0,228.5,263.5,285.0,307.0
9,Basler_acA2500-14um__23891378__20221219_130608996_0021.tiff,1007,260.5,331.0,381.0,420.0,451.0,476.0,497.0,512.5,525.0,534.0,539.5,542,187.0,225.5,260.5,282.0,305.0
10,Basler_acA2500-14um__23891378__20221219_130608996_0022.tiff,1005,259.0,328.0,379.0,418.0,449.5,474.5,495.0,511.0,523.5,532.0,537.5,540,185.0,223.5,259.0,280.5,302.5
11,Basler_acA2500-14um__23891378__20221219_130608996_0023.tiff,1007,256.5,326.0,377.0,416.0,447.5,472.5,493.0,509.5,522.0,530.5,536.5,539,182.0,221.0,256.5,278.0,300.5
12,Basler_acA2500-14um__23891378__20221219_130608996_0024.tiff,1006,254.5,324.5,375.0,414.0,445.5,471.0,491.0,507.5,520.0,528.5,534.5,537,180.0,218.5,254.5,276.0,298.5
13,Basler_acA2500-14um__23891378__20221219_130608996_0025.tiff,1006,252.0,322.0,373.0,412.5,443.5,469.0,489.5,505.5,518.0,526.5,532.5,535,177.0,216.5,252.0,274.0,296.5
14,Basler_acA2500-14um__23891378__20221219_130608996_0026.tiff,1006,250.0,320.5,371.0,410.5,441.5,467.0,487.5,503.5,516.0,525.0,530.5,533,174.5,214.5,250.0,272.0,294.5
15,Basler_acA2500-14um__23891378__20221219_130608996_0027.tiff,1005,247.5,318.0,369.0,408.5,439.5,465.0,485.5,502.0,514.0,523.0,528.5,531,171.5,212.0,247.5,269.5,292.5
16,Basler_acA2500-14um__23891378__20221219_130608996_0028.tiff,1006,245.5,316.0,367.0,406.5,437.5,463.5,484.0,500.0,512.5,521.5,527.0,530,169.5,209.5,245.5,267.5,290.0
17,Basler_acA2500-14um__23891378__20221219_130608996_0029.tiff,1005,243.0,314.0,365.5,405.0,436.0,461.5,482.0,498.5,510.5,519.5,525.5,528,166.5,207.0,243.0,265.5,288.0
18,Basler_acA2500-14um__23891378__20221219_130608996_0030.tiff,1005,241.5,312.5,363.0,403.0,434.5,460.0,480.0,496.5,509.0,518.0,523.5,526,164.5,205.0,241.5,263.0,286.0
19,Basler_acA2500-14um__23891378__20221219_130608996_0031.tiff,1005,239.0,310.0,361.0,401.0,432.5,458.0,478.0,494.5,507.0,516.0,521.5,524,161.5,202.5,239.0,261.5,284.0
