,file,dl_reflection_width,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,dl_height_midpoint,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,11l_to_11r,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221219_144636930_0012.tiff,1153,268.0,345.5,402.0,445.5,481.0,509.0,532.0,549.5,563.5,573.0,579.0,581,188.0,232.5,268.0,297.0,323.0
1,Basler_acA2500-14um__23891378__20221219_144636930_0013.tiff,1152,267.5,345.5,402.0,445.5,481.0,509.0,532.0,549.5,563.0,572.5,578.0,580,187.5,232.0,267.5,297.0,322.5
2,Basler_acA2500-14um__23891378__20221219_144636930_0014.tiff,1153,267.0,345.0,402.0,445.5,480.5,509.0,531.5,549.5,562.5,572.5,578.0,580,187.0,231.5,267.0,296.5,322.0
3,Basler_acA2500-14um__23891378__20221219_144636930_0015.tiff,1153,266.0,344.0,401.0,444.5,479.5,508.0,530.5,548.5,562.0,571.5,577.0,579,186.0,230.5,266.0,295.5,321.0
4,Basler_acA2500-14um__23891378__20221219_144636930_0016.tiff,1152,265.0,343.0,400.0,443.5,478.5,507.0,529.5,547.5,560.5,570.5,576.0,578,184.5,229.5,265.0,294.5,320.0
5,Basler_acA2500-14um__23891378__20221219_144636930_0017.tiff,1153,263.0,341.5,398.0,441.5,477.0,505.0,528.0,545.5,559.5,568.5,574.5,577,182.0,227.5,263.0,292.5,318.0
6,Basler_acA2500-14um__23891378__20221219_144636930_0018.tiff,1153,261.0,339.5,396.5,440.5,475.0,504.0,526.5,544.5,557.5,567.5,573.0,575,180.0,225.5,261.0,291.0,316.5
7,Basler_acA2500-14um__23891378__20221219_144636930_0019.tiff,1153,260.5,338.5,395.0,439.0,474.0,502.0,525.0,543.5,556.5,566.0,572.0,574,179.0,224.5,260.5,289.5,315.5
8,Basler_acA2500-14um__23891378__20221219_144636930_0020.tiff,1154,258.5,337.0,393.5,437.0,472.5,501.0,523.5,541.5,555.0,564.5,570.0,572,177.0,223.0,258.5,287.5,314.0
9,Basler_acA2500-14um__23891378__20221219_144636930_0021.tiff,1153,256.5,335.0,391.5,435.5,471.0,499.0,521.5,539.5,553.5,562.5,568.5,571,175.0,220.5,256.5,286.0,311.5
10,Basler_acA2500-14um__23891378__20221219_144636930_0022.tiff,1153,254.5,332.5,390.0,433.5,469.0,497.0,520.0,538.0,551.5,561.0,566.5,569,172.5,218.5,254.5,284.0,309.5
11,Basler_acA2500-14um__23891378__20221219_144636930_0023.tiff,1153,252.5,331.0,388.0,432.0,467.0,495.5,518.5,536.5,549.5,559.5,565.0,567,170.5,216.5,252.5,282.0,308.0
12,Basler_acA2500-14um__23891378__20221219_144636930_0024.tiff,1153,251.0,330.0,386.5,430.5,466.0,494.0,517.0,535.5,548.5,558.0,564.0,566,169.5,215.5,251.0,281.0,307.0
