,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221122_115207272_0012.tiff,522,249.5,318.5,367.0,404.0,434.0,459.0,477.5,493.5,505.5,514.0,519.5,177.0,218.0,275.5,298.0
1,Basler_acA2500-14um__23891378__20221122_115207272_0013.tiff,520,247.0,316.0,365.0,402.5,432.5,456.5,476.0,492.0,503.5,512.0,517.5,175.0,215.5,273.5,296.0
2,Basler_acA2500-14um__23891378__20221122_115207272_0014.tiff,520,247.0,315.0,364.0,402.0,432.0,456.5,476.0,491.0,503.5,512.0,517.5,173.5,215.5,272.5,295.5
3,Basler_acA2500-14um__23891378__20221122_115207272_0015.tiff,520,248.0,316.0,365.0,402.5,432.5,457.0,476.5,492.0,503.5,512.0,518.0,176.5,216.5,274.0,296.5
4,Basler_acA2500-14um__23891378__20221122_115207272_0016.tiff,519,246.5,315.0,364.0,401.5,431.5,456.0,475.5,491.0,502.5,511.5,517.0,174.0,215.0,272.5,295.0
5,Basler_acA2500-14um__23891378__20221122_115207272_0017.tiff,517,243.5,312.0,361.0,398.5,428.5,453.0,472.5,488.5,500.5,509.0,514.5,169.5,211.5,269.0,292.0
6,Basler_acA2500-14um__23891378__20221122_115207272_0018.tiff,516,242.5,311.0,360.0,397.5,428.0,452.0,472.0,487.5,499.5,508.0,513.5,168.5,210.0,268.0,291.0
7,Basler_acA2500-14um__23891378__20221122_115207272_0019.tiff,514,241.0,310.0,359.0,396.0,426.5,451.0,471.0,486.0,498.0,506.5,512.5,168.0,209.5,267.0,289.5
8,Basler_acA2500-14um__23891378__20221122_115207272_0020.tiff,513,239.5,308.0,357.0,395.0,424.5,449.5,469.0,484.5,496.5,505.0,510.5,166.5,208.0,265.5,288.0
9,Basler_acA2500-14um__23891378__20221122_115207272_0021.tiff,511,237.0,306.0,355.0,393.0,422.5,447.5,467.0,482.5,494.5,503.0,508.5,164.0,205.5,263.5,285.5
10,Basler_acA2500-14um__23891378__20221122_115207272_0022.tiff,509,234.5,303.0,353.0,390.0,420.5,445.0,465.0,480.5,492.5,501.0,506.5,161.0,202.5,261.0,283.5
11,Basler_acA2500-14um__23891378__20221122_115207272_0023.tiff,507,232.0,301.0,350.5,388.0,418.5,443.5,463.0,478.5,490.5,499.0,504.5,158.0,200.5,258.5,281.5
12,Basler_acA2500-14um__23891378__20221122_115207272_0024.tiff,505,230.0,299.0,348.5,386.5,416.5,441.0,461.0,476.5,488.5,497.0,502.5,155.0,197.5,256.5,279.0
13,Basler_acA2500-14um__23891378__20221122_115207272_0025.tiff,503,227.5,297.0,346.0,384.0,414.5,439.0,459.0,474.5,486.5,495.0,500.5,152.5,195.0,254.5,276.5
14,Basler_acA2500-14um__23891378__20221122_115207272_0026.tiff,501,225.0,295.0,344.0,382.0,412.5,437.0,457.0,472.5,484.5,493.0,498.5,150.0,193.0,252.0,274.5
15,Basler_acA2500-14um__23891378__20221122_115207272_0027.tiff,499,222.5,292.5,342.0,380.0,410.5,435.0,455.0,470.5,482.5,491.0,496.5,146.5,190.5,249.0,272.5
16,Basler_acA2500-14um__23891378__20221122_115207272_0028.tiff,497,220.5,290.0,340.0,378.0,408.5,433.0,453.0,468.5,480.5,489.0,494.5,144.5,187.5,247.0,270.5
17,Basler_acA2500-14um__23891378__20221122_115207272_0029.tiff,495,218.0,288.0,338.0,376.0,406.5,431.0,451.0,466.5,478.5,487.0,492.5,142.0,185.5,245.5,268.0
18,Basler_acA2500-14um__23891378__20221122_115207272_0030.tiff,493,215.5,286.0,336.0,374.0,404.5,429.0,449.0,465.0,476.5,485.0,490.5,139.0,182.5,242.5,265.5
19,Basler_acA2500-14um__23891378__20221122_115207272_0031.tiff,491,213.0,284.0,333.5,372.0,402.5,427.5,447.0,462.5,474.5,483.0,488.5,135.5,180.0,240.0,263.5
20,Basler_acA2500-14um__23891378__20221122_115207272_0032.tiff,489,211.0,281.0,331.5,370.0,400.5,425.0,445.0,460.5,472.5,481.0,486.5,133.0,177.5,238.0,261.5
21,Basler_acA2500-14um__23891378__20221122_115207272_0033.tiff,487,208.5,280.0,329.5,368.0,398.5,423.0,443.0,459.0,470.5,479.0,484.5,130.0,175.5,235.5,258.5
22,Basler_acA2500-14um__23891378__20221122_115207272_0034.tiff,485,206.0,277.0,327.0,366.0,396.5,421.0,441.0,456.5,468.5,477.0,482.5,127.0,172.5,233.0,256.5
