,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221123_144413974_0014.tiff,666,378.0,447.0,498.0,538.5,571.0,597.5,619.0,636.0,648.5,658.0,663.5,312.5,347.0,401.5,424.0
1,Basler_acA2500-14um__23891378__20221123_144413974_0015.tiff,666,378.0,447.0,498.0,538.5,571.0,597.0,619.0,636.0,648.5,658.0,663.5,313.0,347.5,401.5,424.0
2,Basler_acA2500-14um__23891378__20221123_144413974_0016.tiff,666,378.0,446.0,497.5,538.0,570.5,597.0,618.5,636.0,648.5,658.0,663.5,312.5,347.0,401.5,423.5
3,Basler_acA2500-14um__23891378__20221123_144413974_0017.tiff,665,378.0,446.5,498.0,538.0,570.0,597.0,618.5,635.0,648.5,657.5,663.5,313.0,348.0,401.5,424.0
4,Basler_acA2500-14um__23891378__20221123_144413974_0018.tiff,665,377.5,445.5,497.0,537.0,570.0,596.5,617.5,635.0,647.5,657.0,662.5,311.5,346.5,400.5,423.0
5,Basler_acA2500-14um__23891378__20221123_144413974_0019.tiff,663,375.5,444.0,495.5,535.5,568.5,595.0,616.5,633.0,646.5,655.5,661.5,310.0,344.5,398.5,421.0
6,Basler_acA2500-14um__23891378__20221123_144413974_0020.tiff,662,373.0,442.0,493.5,534.0,567.0,593.0,614.5,632.0,644.5,654.0,659.5,307.5,342.0,396.5,419.5
7,Basler_acA2500-14um__23891378__20221123_144413974_0021.tiff,661,372.5,441.5,493.0,533.5,566.0,593.0,614.5,631.0,644.5,653.5,659.5,307.0,342.0,396.5,419.0
8,Basler_acA2500-14um__23891378__20221123_144413974_0022.tiff,661,371.5,440.5,492.0,532.5,565.0,592.0,613.5,630.5,643.5,653.0,658.5,306.0,341.0,395.5,418.0
9,Basler_acA2500-14um__23891378__20221123_144413974_0023.tiff,659,370.0,439.0,491.0,531.0,564.0,590.5,612.5,629.0,642.0,651.0,657.0,304.0,339.0,393.5,416.0
10,Basler_acA2500-14um__23891378__20221123_144413974_0024.tiff,658,368.5,437.5,489.0,529.5,562.5,589.0,610.5,628.0,640.5,650.0,655.5,302.0,337.0,392.0,414.5
11,Basler_acA2500-14um__23891378__20221123_144413974_0025.tiff,657,366.5,436.0,488.0,528.5,561.0,588.0,609.5,626.5,639.5,649.0,654.5,299.5,335.5,390.5,413.0
12,Basler_acA2500-14um__23891378__20221123_144413974_0026.tiff,655,364.5,434.0,486.0,527.0,559.5,586.5,608.0,625.0,638.0,647.0,653.0,297.0,333.5,388.5,411.0
13,Basler_acA2500-14um__23891378__20221123_144413974_0027.tiff,654,363.0,432.5,485.0,525.0,558.5,585.0,606.5,624.0,636.5,646.0,651.5,295.5,331.5,387.0,409.5
14,Basler_acA2500-14um__23891378__20221123_144413974_0028.tiff,652,361.0,430.5,483.0,524.0,556.5,583.5,605.0,622.0,635.5,644.5,650.5,293.5,329.0,385.0,407.5
15,Basler_acA2500-14um__23891378__20221123_144413974_0029.tiff,651,359.0,429.0,481.5,522.0,555.5,582.5,604.0,621.0,633.5,643.0,648.5,291.0,327.0,383.0,406.0
16,Basler_acA2500-14um__23891378__20221123_144413974_0030.tiff,650,357.0,427.0,479.5,520.5,553.5,580.5,602.0,619.5,632.5,642.0,647.5,288.0,325.0,381.0,404.0
17,Basler_acA2500-14um__23891378__20221123_144413974_0031.tiff,648,354.5,426.0,478.5,519.0,552.5,579.5,601.0,618.0,631.0,640.5,646.5,286.0,322.5,379.5,402.0
18,Basler_acA2500-14um__23891378__20221123_144413974_0032.tiff,647,353.0,424.0,477.0,518.0,551.0,578.0,599.5,616.5,629.5,639.0,644.5,284.0,320.5,377.5,400.5
19,Basler_acA2500-14um__23891378__20221123_144413974_0033.tiff,646,351.0,422.5,475.0,516.0,549.5,576.5,598.0,615.0,628.5,637.5,643.5,281.0,319.0,375.5,398.5
20,Basler_acA2500-14um__23891378__20221123_144413974_0034.tiff,644,349.5,420.5,473.5,514.5,548.0,574.5,596.5,614.0,627.0,636.0,642.0,279.0,316.5,373.5,397.0
21,Basler_acA2500-14um__23891378__20221123_144413974_0035.tiff,643,347.5,419.0,472.0,513.0,546.5,573.5,595.5,612.5,625.5,635.0,640.5,276.5,314.5,372.0,395.5
22,Basler_acA2500-14um__23891378__20221123_144413974_0036.tiff,642,345.5,417.0,470.5,512.0,545.5,572.5,594.0,611.5,624.5,633.5,639.5,274.5,312.0,370.5,393.5
23,Basler_acA2500-14um__23891378__20221123_144413974_0037.tiff,641,343.5,416.0,468.5,510.0,543.5,570.5,593.0,610.0,623.0,632.5,638.5,271.5,310.5,368.0,392.0
24,Basler_acA2500-14um__23891378__20221123_144413974_0038.tiff,639,341.0,414.0,467.5,508.5,542.5,569.5,591.0,608.5,621.5,631.0,637.0,268.5,308.0,366.0,390.0
25,Basler_acA2500-14um__23891378__20221123_144413974_0039.tiff,638,339.5,412.5,466.0,507.5,541.0,568.0,590.0,607.5,620.5,630.0,635.5,266.0,305.5,364.5,388.5
26,Basler_acA2500-14um__23891378__20221123_144413974_0040.tiff,637,337.5,410.5,464.5,506.0,539.5,566.5,589.0,606.0,619.0,629.0,634.5,264.0,303.5,362.5,386.5
27,Basler_acA2500-14um__23891378__20221123_144413974_0041.tiff,635,335.5,409.0,462.5,504.5,538.5,565.5,587.0,604.5,617.5,627.0,633.0,261.0,301.0,361.0,385.0
28,Basler_acA2500-14um__23891378__20221123_144413974_0042.tiff,634,333.5,407.0,461.0,503.5,537.0,564.0,586.0,603.5,617.0,626.0,632.0,258.5,299.0,359.0,383.0
29,Basler_acA2500-14um__23891378__20221123_144413974_0043.tiff,633,331.0,405.5,459.5,502.0,535.0,563.0,585.0,602.5,615.5,625.0,630.5,255.0,296.5,356.5,381.5
