,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221217_110847054_0023.tiff,606,416.0,458.0,491.0,518.0,540.0,558.0,573.0,584.5,593.5,600.0,604.0,380.5,399.0,431.5,445.0
1,Basler_acA2500-14um__23891378__20221217_110847054_0024.tiff,605,416.0,458.0,490.5,517.5,539.5,557.5,572.5,584.5,593.0,599.5,603.5,381.0,399.5,431.5,445.0
2,Basler_acA2500-14um__23891378__20221217_110847054_0025.tiff,605,415.5,457.5,490.0,516.5,538.5,556.5,572.0,583.5,592.5,599.0,603.0,380.0,398.5,430.5,444.0
3,Basler_acA2500-14um__23891378__20221217_110847054_0026.tiff,604,415.0,457.0,490.0,516.5,538.5,556.5,571.0,582.5,591.5,598.0,602.5,379.5,398.0,430.5,444.0
4,Basler_acA2500-14um__23891378__20221217_110847054_0027.tiff,603,414.0,456.0,488.5,515.5,537.5,555.5,570.5,582.0,591.0,597.5,601.5,378.5,397.5,429.5,443.5
5,Basler_acA2500-14um__23891378__20221217_110847054_0028.tiff,603,412.5,455.0,487.5,514.5,536.5,554.5,569.0,581.0,590.0,597.0,600.5,378.0,396.5,428.5,442.0
6,Basler_acA2500-14um__23891378__20221217_110847054_0029.tiff,601,411.0,453.5,486.5,513.0,535.5,553.5,568.0,580.0,588.5,595.5,599.5,375.5,394.5,426.5,440.5
7,Basler_acA2500-14um__23891378__20221217_110847054_0030.tiff,600,410.5,452.0,485.5,512.0,534.0,552.5,567.0,579.0,588.0,594.0,598.5,374.5,393.5,425.5,439.5
8,Basler_acA2500-14um__23891378__20221217_110847054_0031.tiff,599,409.0,451.0,484.5,511.0,533.5,551.5,566.0,578.0,586.5,593.0,597.5,373.0,392.5,424.5,438.5
9,Basler_acA2500-14um__23891378__20221217_110847054_0032.tiff,598,407.5,449.0,482.5,510.0,531.5,549.5,564.5,576.5,585.5,592.0,595.5,371.5,390.5,422.5,436.5
