,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221217_113122202_0010.tiff,586,375.0,424.0,461.5,491.5,515.0,535.0,551.0,563.5,573.5,580.0,584.5,329.0,352.5,391.0,406.5
1,Basler_acA2500-14um__23891378__20221217_113122202_0011.tiff,585,373.5,423.0,461.0,490.5,514.5,534.5,550.0,562.5,572.0,579.0,583.0,327.0,351.0,389.5,405.5
2,Basler_acA2500-14um__23891378__20221217_113122202_0012.tiff,583,371.0,421.0,459.0,489.0,513.0,533.0,549.0,561.5,571.0,578.0,582.0,324.5,348.5,387.5,404.0
3,Basler_acA2500-14um__23891378__20221217_113122202_0013.tiff,584,372.0,421.5,459.5,489.0,514.0,533.5,549.0,561.5,571.0,578.0,582.5,325.5,349.5,388.5,404.5
4,Basler_acA2500-14um__23891378__20221217_113122202_0014.tiff,583,370.5,420.0,458.5,488.0,512.0,532.5,548.0,560.5,570.0,577.0,581.0,324.0,348.5,387.0,403.0
5,Basler_acA2500-14um__23891378__20221217_113122202_0015.tiff,581,368.5,418.5,456.0,486.0,511.0,530.5,546.5,559.5,568.5,575.5,579.5,321.5,346.0,384.5,401.5
6,Basler_acA2500-14um__23891378__20221217_113122202_0016.tiff,580,366.5,417.0,454.5,485.0,509.0,529.0,545.0,557.5,567.0,574.0,578.5,319.5,344.0,383.0,399.5
7,Basler_acA2500-14um__23891378__20221217_113122202_0017.tiff,579,366.0,416.0,454.0,484.0,508.0,528.5,544.0,556.5,566.0,573.0,577.5,318.5,343.5,382.5,398.5
8,Basler_acA2500-14um__23891378__20221217_113122202_0018.tiff,579,365.0,415.5,453.0,482.5,507.0,527.0,543.0,556.0,565.5,572.0,576.5,318.0,342.0,381.0,398.0
9,Basler_acA2500-14um__23891378__20221217_113122202_0019.tiff,577,364.0,413.5,451.5,481.5,506.0,525.5,542.0,554.5,564.0,570.5,575.0,316.5,341.0,380.0,396.5
10,Basler_acA2500-14um__23891378__20221217_113122202_0020.tiff,575,361.5,412.0,450.0,480.0,505.0,524.5,540.0,553.5,562.5,569.5,573.5,314.0,338.5,378.0,394.5
11,Basler_acA2500-14um__23891378__20221217_113122202_0021.tiff,574,359.0,410.5,448.5,478.5,503.0,522.5,539.0,551.5,561.0,568.0,572.0,312.0,336.5,376.0,392.5
12,Basler_acA2500-14um__23891378__20221217_113122202_0022.tiff,572,357.0,408.5,446.5,476.5,501.0,521.5,537.0,550.5,560.0,566.5,570.5,309.0,333.5,374.0,390.5
13,Basler_acA2500-14um__23891378__20221217_113122202_0023.tiff,571,355.0,406.0,444.5,475.0,500.0,519.5,536.0,548.5,558.0,564.5,569.0,307.0,332.0,372.0,388.5
14,Basler_acA2500-14um__23891378__20221217_113122202_0024.tiff,569,352.5,404.0,442.5,473.5,497.5,518.0,534.0,546.5,556.5,563.5,567.5,304.0,329.0,370.0,386.5
15,Basler_acA2500-14um__23891378__20221217_113122202_0025.tiff,568,351.0,402.5,441.5,471.5,496.0,516.5,532.0,545.5,555.0,562.0,565.5,301.5,327.5,368.0,384.5
16,Basler_acA2500-14um__23891378__20221217_113122202_0026.tiff,566,348.5,400.5,439.5,470.0,495.0,514.5,531.0,543.5,553.0,560.5,564.5,298.5,324.5,366.0,382.5
17,Basler_acA2500-14um__23891378__20221217_113122202_0027.tiff,564,346.5,398.5,437.5,468.5,493.0,513.5,530.0,542.5,552.0,558.5,563.0,296.0,322.5,364.0,381.0
18,Basler_acA2500-14um__23891378__20221217_113122202_0028.tiff,563,344.5,396.5,436.5,466.5,491.5,511.5,528.0,540.5,550.0,557.5,561.5,294.0,320.5,362.5,379.5
19,Basler_acA2500-14um__23891378__20221217_113122202_0029.tiff,562,342.5,395.0,434.0,465.0,490.0,510.0,526.5,539.5,549.0,556.0,560.0,291.5,318.5,359.5,377.5
20,Basler_acA2500-14um__23891378__20221217_113122202_0030.tiff,561,340.5,393.0,432.5,463.5,488.0,508.5,525.0,537.5,547.5,554.5,558.5,288.5,316.0,357.5,375.0
21,Basler_acA2500-14um__23891378__20221217_113122202_0031.tiff,559,338.0,391.5,431.0,462.0,487.0,507.0,523.5,536.5,546.0,553.0,557.0,286.0,313.5,355.5,373.5
22,Basler_acA2500-14um__23891378__20221217_113122202_0032.tiff,557,336.0,389.0,429.5,460.0,485.0,505.5,521.5,534.5,544.5,551.5,555.5,283.5,311.0,353.5,371.5
23,Basler_acA2500-14um__23891378__20221217_113122202_0033.tiff,556,334.0,388.0,427.5,458.5,484.0,503.5,520.5,533.5,543.0,550.0,554.5,281.5,308.5,352.0,369.5
24,Basler_acA2500-14um__23891378__20221217_113122202_0034.tiff,555,332.0,385.5,425.5,456.5,482.0,502.5,519.0,532.0,542.0,548.5,552.5,279.0,306.5,350.0,367.5
25,Basler_acA2500-14um__23891378__20221217_113122202_0035.tiff,553,330.0,384.0,424.5,455.5,481.0,501.0,517.5,530.5,540.0,547.0,551.5,276.0,304.0,348.0,365.5
26,Basler_acA2500-14um__23891378__20221217_113122202_0036.tiff,552,328.0,382.0,422.5,453.5,479.0,499.5,516.0,529.0,539.0,546.0,550.0,273.5,302.0,345.5,364.5
27,Basler_acA2500-14um__23891378__20221217_113122202_0037.tiff,550,326.0,380.5,421.0,452.5,478.0,498.5,515.0,527.5,538.0,544.5,548.5,270.5,299.5,344.0,361.5
28,Basler_acA2500-14um__23891378__20221217_113122202_0038.tiff,549,323.5,378.5,419.5,450.5,476.5,497.0,513.5,526.5,536.0,543.0,547.5,268.0,297.5,342.0,359.5
29,Basler_acA2500-14um__23891378__20221217_113122202_0039.tiff,548,321.5,376.5,418.0,449.5,474.5,495.5,512.0,525.0,535.0,541.5,546.0,265.5,294.5,340.0,358.0
30,Basler_acA2500-14um__23891378__20221217_113122202_0040.tiff,547,319.0,375.5,415.5,448.0,473.5,494.0,510.5,523.5,534.0,540.5,545.0,262.5,292.5,338.0,356.0
31,Basler_acA2500-14um__23891378__20221217_113122202_0041.tiff,545,317.0,373.5,414.5,446.5,472.0,492.5,509.0,522.5,532.0,539.5,543.5,259.5,290.5,336.0,354.5
32,Basler_acA2500-14um__23891378__20221217_113122202_0042.tiff,544,315.0,372.0,413.0,445.0,470.5,492.0,508.0,521.5,531.0,538.5,542.5,256.5,288.5,334.0,352.5
33,Basler_acA2500-14um__23891378__20221217_113122202_0043.tiff,543,313.0,370.5,411.5,443.5,469.5,490.0,507.0,520.5,530.0,537.5,541.5,253.5,285.5,332.5,350.5
34,Basler_acA2500-14um__23891378__20221217_113122202_0044.tiff,541,311.0,368.5,409.5,442.0,468.0,489.0,505.5,518.5,529.0,535.5,540.5,250.5,283.0,330.0,348.5
35,Basler_acA2500-14um__23891378__20221217_113122202_0045.tiff,541,309.0,366.5,408.5,440.5,466.5,487.5,504.5,517.5,528.0,534.5,539.0,248.5,280.5,328.0,347.0
36,Basler_acA2500-14um__23891378__20221217_113122202_0046.tiff,539,306.5,365.0,407.0,439.5,465.5,486.5,503.5,516.5,526.5,533.5,537.5,244.5,278.0,326.0,345.0
37,Basler_acA2500-14um__23891378__20221217_113122202_0047.tiff,539,304.0,363.5,405.5,438.0,464.5,485.0,502.0,515.5,525.0,532.5,537.0,241.5,275.5,324.5,343.5
38,Basler_acA2500-14um__23891378__20221217_113122202_0048.tiff,538,302.5,362.0,403.5,437.0,463.0,484.0,501.5,514.0,524.0,531.5,536.0,238.5,272.5,322.5,341.5
39,Basler_acA2500-14um__23891378__20221217_113122202_0049.tiff,537,299.5,359.5,402.5,435.5,462.0,483.0,500.0,513.0,523.5,530.5,535.0,234.0,269.5,320.0,340.0
40,Basler_acA2500-14um__23891378__20221217_113122202_0050.tiff,536,297.0,358.0,401.5,434.0,460.5,482.0,499.0,512.0,522.0,529.5,534.0,231.0,267.5,318.0,338.0
41,Basler_acA2500-14um__23891378__20221217_113122202_0051.tiff,535,295.0,356.5,400.0,433.0,459.5,481.0,498.0,511.0,521.5,528.5,533.0,227.5,264.5,316.5,336.5
42,Basler_acA2500-14um__23891378__20221217_113122202_0052.tiff,534,293.0,355.0,398.5,432.0,458.0,479.5,497.0,510.0,520.5,527.5,532.0,224.0,261.5,314.5,334.0
43,Basler_acA2500-14um__23891378__20221217_113122202_0053.tiff,533,290.5,353.0,397.0,430.5,457.5,478.5,496.0,509.0,519.5,527.0,531.5,219.0,258.5,311.5,332.0
44,Basler_acA2500-14um__23891378__20221217_113122202_0054.tiff,532,287.5,351.5,395.0,429.5,456.0,477.5,495.0,509.0,518.5,526.0,530.5,214.0,255.5,310.0,330.5
45,Basler_acA2500-14um__23891378__20221217_113122202_0055.tiff,532,285.5,350.0,394.0,428.0,455.0,476.5,494.0,508.0,518.0,525.0,530.0,210.0,252.0,307.5,328.5
46,Basler_acA2500-14um__23891378__20221217_113122202_0056.tiff,531,283.0,348.0,393.0,427.0,454.0,475.5,493.0,506.5,517.0,524.5,529.0,206.0,248.5,305.5,326.0
47,Basler_acA2500-14um__23891378__20221217_113122202_0057.tiff,530,280.5,346.5,391.0,425.5,453.0,475.0,492.0,506.0,516.0,523.5,528.0,201.0,245.5,303.5,325.0
48,Basler_acA2500-14um__23891378__20221217_113122202_0058.tiff,529,277.5,344.5,390.0,425.0,452.0,473.5,491.5,505.0,515.0,522.5,527.0,194.0,242.0,301.0,322.5
49,Basler_acA2500-14um__23891378__20221217_113122202_0059.tiff,528,274.5,342.5,389.0,423.0,450.5,472.5,490.5,504.0,514.0,521.5,526.0,188.0,238.0,298.5,320.5
50,Basler_acA2500-14um__23891378__20221217_113122202_0060.tiff,527,272.0,340.5,387.0,422.0,450.0,472.0,489.5,503.0,514.0,521.5,525.5,182.0,234.0,296.0,318.0
