,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221217_115541543_0014.tiff,585,381.0,427.0,462.5,491.5,515.0,534.5,550.0,562.5,572.0,579.0,584.0,341.0,362.0,396.0,411.0
1,Basler_acA2500-14um__23891378__20221217_115541543_0015.tiff,585,380.5,426.5,462.5,491.0,514.5,533.5,549.5,562.0,571.5,579.0,583.0,340.5,360.5,395.5,410.5
2,Basler_acA2500-14um__23891378__20221217_115541543_0016.tiff,585,380.0,426.0,461.5,490.5,513.5,533.5,549.0,561.5,571.0,578.0,582.5,339.5,360.5,395.0,410.0
3,Basler_acA2500-14um__23891378__20221217_115541543_0017.tiff,584,380.0,425.5,461.5,490.0,513.5,533.0,548.5,561.0,570.5,578.0,582.0,339.5,360.0,395.0,409.5
4,Basler_acA2500-14um__23891378__20221217_115541543_0018.tiff,583,379.0,424.0,460.5,488.5,512.5,532.0,547.5,560.0,569.5,577.0,581.0,338.0,358.5,393.5,408.5
5,Basler_acA2500-14um__23891378__20221217_115541543_0019.tiff,582,376.5,423.0,458.5,487.5,511.0,530.5,546.0,559.0,568.0,575.0,580.0,336.0,356.5,391.5,406.5
6,Basler_acA2500-14um__23891378__20221217_115541543_0020.tiff,580,374.5,421.0,457.0,485.5,509.5,528.5,544.5,557.5,567.0,574.0,578.0,334.0,355.0,390.0,405.0
7,Basler_acA2500-14um__23891378__20221217_115541543_0021.tiff,580,374.0,420.5,456.5,485.5,508.5,528.0,544.0,556.0,566.0,573.0,577.5,333.0,354.0,389.0,404.0
8,Basler_acA2500-14um__23891378__20221217_115541543_0022.tiff,578,372.5,419.0,455.0,483.5,507.5,527.0,542.5,555.0,565.0,572.0,576.0,331.5,353.0,387.5,402.5
9,Basler_acA2500-14um__23891378__20221217_115541543_0023.tiff,577,371.0,417.5,453.5,482.0,506.0,525.5,541.0,554.0,563.0,570.0,575.0,329.5,350.5,386.0,401.0
10,Basler_acA2500-14um__23891378__20221217_115541543_0024.tiff,575,368.5,415.5,451.5,480.5,504.5,523.5,539.5,552.0,562.0,569.0,573.0,327.0,348.0,383.5,398.5
11,Basler_acA2500-14um__23891378__20221217_115541543_0025.tiff,574,367.0,413.5,450.0,479.0,502.5,522.0,538.0,551.0,560.0,567.5,572.0,325.0,346.5,382.0,397.0
12,Basler_acA2500-14um__23891378__20221217_115541543_0026.tiff,572,365.0,411.5,448.5,477.5,501.0,520.5,536.5,549.0,559.0,566.0,570.0,323.0,344.0,380.0,395.0
13,Basler_acA2500-14um__23891378__20221217_115541543_0027.tiff,571,363.0,410.0,446.5,475.5,499.5,519.0,535.0,547.5,557.0,564.0,569.0,320.5,342.0,378.0,393.5
14,Basler_acA2500-14um__23891378__20221217_115541543_0028.tiff,570,361.0,408.5,445.0,474.0,498.0,517.5,533.5,546.0,556.0,563.0,567.5,318.5,340.5,376.0,392.0
15,Basler_acA2500-14um__23891378__20221217_115541543_0029.tiff,568,359.0,406.5,443.5,472.5,496.5,516.0,532.0,544.5,554.0,561.5,566.0,316.0,338.0,374.0,389.5
16,Basler_acA2500-14um__23891378__20221217_115541543_0030.tiff,567,357.0,404.5,441.5,470.5,494.5,514.5,530.5,543.0,553.0,560.0,564.0,314.0,336.0,372.5,388.0
17,Basler_acA2500-14um__23891378__20221217_115541543_0031.tiff,565,355.0,402.5,439.5,469.5,493.5,512.5,529.0,541.5,551.0,558.5,563.0,311.5,334.0,370.5,386.0
