,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221217_130409377_0020.tiff,592,386.5,433.0,469.0,498.0,522.0,541.0,557.0,570.0,579.0,586.0,590.0,345.5,366.0,400.0,415.0
1,Basler_acA2500-14um__23891378__20221217_130409377_0021.tiff,592,386.0,432.5,468.5,497.5,521.5,541.0,557.0,569.0,579.0,586.0,590.0,345.0,365.0,399.5,414.0
2,Basler_acA2500-14um__23891378__20221217_130409377_0022.tiff,591,385.0,432.0,468.0,497.0,521.0,540.0,556.0,569.0,578.0,585.0,589.0,344.0,364.0,399.0,413.5
3,Basler_acA2500-14um__23891378__20221217_130409377_0023.tiff,590,384.5,431.0,467.5,496.0,520.0,539.0,555.0,568.0,577.0,584.0,589.0,343.5,363.5,398.0,412.5
4,Basler_acA2500-14um__23891378__20221217_130409377_0024.tiff,589,383.5,430.0,466.0,495.0,519.0,538.0,554.5,567.0,576.0,583.0,587.0,342.0,362.0,397.0,411.0
5,Basler_acA2500-14um__23891378__20221217_130409377_0025.tiff,588,382.5,429.0,465.0,494.0,518.0,538.0,553.5,566.0,575.5,582.0,587.0,341.5,361.5,396.0,410.5
6,Basler_acA2500-14um__23891378__20221217_130409377_0026.tiff,587,381.5,427.5,464.5,493.0,517.0,536.5,552.5,565.0,574.0,581.5,586.0,340.0,360.0,394.5,409.5
7,Basler_acA2500-14um__23891378__20221217_130409377_0027.tiff,586,379.5,426.0,462.5,491.5,516.0,535.0,551.0,564.0,573.0,580.0,584.0,338.0,358.5,392.5,407.5
8,Basler_acA2500-14um__23891378__20221217_130409377_0028.tiff,584,377.5,424.0,461.0,490.0,514.0,534.0,549.0,562.0,572.0,579.0,583.0,336.0,356.0,390.5,406.0
9,Basler_acA2500-14um__23891378__20221217_130409377_0029.tiff,583,375.5,422.5,459.5,488.0,512.5,532.0,548.0,561.0,570.0,577.0,581.0,333.5,354.5,389.0,404.5
10,Basler_acA2500-14um__23891378__20221217_130409377_0030.tiff,582,373.5,421.0,458.0,487.0,511.0,531.0,547.0,559.0,569.0,576.0,580.0,332.0,352.5,387.5,402.5
11,Basler_acA2500-14um__23891378__20221217_130409377_0031.tiff,580,371.5,419.5,456.0,485.5,509.5,529.0,545.0,558.0,567.0,574.0,578.0,330.0,350.5,385.5,400.5
12,Basler_acA2500-14um__23891378__20221217_130409377_0032.tiff,579,370.0,417.5,454.5,484.0,508.0,527.5,544.0,556.0,566.0,573.0,577.0,327.5,348.5,383.5,398.5
13,Basler_acA2500-14um__23891378__20221217_130409377_0033.tiff,577,368.5,415.5,452.5,482.0,506.0,526.0,542.0,555.0,564.5,571.0,576.0,325.5,346.5,381.5,396.5
14,Basler_acA2500-14um__23891378__20221217_130409377_0034.tiff,576,366.5,414.0,451.0,481.0,505.0,525.0,541.0,553.5,563.0,570.0,574.0,323.5,344.5,379.5,395.0
15,Basler_acA2500-14um__23891378__20221217_130409377_0035.tiff,574,364.5,412.5,449.5,479.0,503.5,523.0,539.0,552.0,561.0,568.0,573.0,321.0,342.5,378.0,393.5
16,Basler_acA2500-14um__23891378__20221217_130409377_0036.tiff,573,362.5,410.5,448.0,477.5,502.0,522.0,538.0,551.0,560.0,567.0,571.0,319.5,340.5,376.0,391.5
17,Basler_acA2500-14um__23891378__20221217_130409377_0037.tiff,572,360.5,409.0,446.5,476.0,500.0,520.0,536.0,549.0,559.0,566.0,570.0,317.0,338.5,374.5,389.5
18,Basler_acA2500-14um__23891378__20221217_130409377_0038.tiff,570,358.5,407.5,444.5,474.5,499.0,519.0,535.0,548.0,557.0,564.0,569.0,315.0,336.5,372.5,388.0
19,Basler_acA2500-14um__23891378__20221217_130409377_0039.tiff,569,356.5,405.0,443.0,473.0,497.0,517.0,533.0,546.0,556.0,563.0,567.0,312.5,334.5,370.5,386.0
