,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221217_132306434_0015.tiff,550,297.5,358.5,404.5,439.5,468.5,491.0,510.0,524.5,535.5,543.5,548.0,238.5,271.0,320.5,340.5
1,Basler_acA2500-14um__23891378__20221217_132306434_0016.tiff,549,298.5,359.5,405.0,439.5,468.5,491.0,510.0,524.0,535.5,543.0,547.5,240.0,272.0,321.5,341.5
2,Basler_acA2500-14um__23891378__20221217_132306434_0017.tiff,549,298.0,359.0,404.0,439.0,467.5,490.5,509.0,523.5,534.5,542.5,547.0,239.5,271.5,321.0,341.0
3,Basler_acA2500-14um__23891378__20221217_132306434_0018.tiff,548,297.0,358.0,403.0,438.0,466.5,489.5,508.0,523.0,533.5,541.5,546.0,237.5,270.5,320.0,339.5
4,Basler_acA2500-14um__23891378__20221217_132306434_0019.tiff,547,295.5,356.5,401.5,437.0,465.5,488.5,507.0,521.5,532.5,540.5,545.0,236.0,269.0,318.5,339.0
5,Basler_acA2500-14um__23891378__20221217_132306434_0020.tiff,545,293.5,355.0,400.5,435.5,464.0,487.0,505.5,520.0,531.0,539.0,543.5,234.5,267.0,317.0,336.5
6,Basler_acA2500-14um__23891378__20221217_132306434_0021.tiff,544,292.5,353.5,399.0,434.0,462.5,485.5,504.0,518.5,529.5,537.5,542.0,232.5,265.5,315.5,335.0
7,Basler_acA2500-14um__23891378__20221217_132306434_0022.tiff,542,290.5,351.5,397.5,432.5,460.5,484.0,502.5,517.0,528.5,536.0,541.0,230.5,263.5,313.5,334.0
8,Basler_acA2500-14um__23891378__20221217_132306434_0023.tiff,541,288.5,350.5,395.5,431.0,459.5,482.5,501.0,515.5,526.5,534.5,539.0,227.5,261.5,311.5,332.0
9,Basler_acA2500-14um__23891378__20221217_132306434_0024.tiff,539,286.0,348.0,393.5,429.0,457.5,480.5,499.0,514.0,524.5,532.5,537.5,225.5,259.0,309.5,330.0
10,Basler_acA2500-14um__23891378__20221217_132306434_0025.tiff,537,284.0,346.0,391.5,427.0,455.5,479.0,498.0,512.0,523.5,531.0,536.0,223.0,256.5,307.5,328.0
11,Basler_acA2500-14um__23891378__20221217_132306434_0026.tiff,536,282.0,344.5,390.0,425.0,454.0,477.0,496.0,510.5,521.5,529.5,534.0,220.5,254.5,305.5,326.0
12,Basler_acA2500-14um__23891378__20221217_132306434_0027.tiff,534,279.5,341.5,388.0,423.5,452.5,475.5,494.0,508.5,519.5,527.5,532.5,217.5,252.0,303.0,323.5
13,Basler_acA2500-14um__23891378__20221217_132306434_0028.tiff,532,277.5,340.5,386.5,422.0,450.5,473.5,492.5,507.0,518.5,526.0,530.5,215.5,249.5,301.5,322.0
14,Basler_acA2500-14um__23891378__20221217_132306434_0029.tiff,531,275.5,338.5,384.5,420.0,449.0,472.0,491.0,505.5,516.5,524.5,529.5,213.0,247.5,299.0,320.0
15,Basler_acA2500-14um__23891378__20221217_132306434_0030.tiff,529,273.5,336.5,382.5,418.0,447.5,470.0,489.0,504.0,514.5,522.5,527.5,210.0,245.5,297.0,318.0
16,Basler_acA2500-14um__23891378__20221217_132306434_0031.tiff,527,271.0,334.5,380.5,416.0,445.5,468.5,487.0,502.0,513.5,521.0,526.0,208.0,243.0,295.0,316.0
17,Basler_acA2500-14um__23891378__20221217_132306434_0032.tiff,526,269.0,332.5,379.0,415.0,444.0,467.0,486.0,500.5,511.5,519.5,524.5,205.5,240.5,293.0,314.0
18,Basler_acA2500-14um__23891378__20221217_132306434_0033.tiff,524,266.5,330.5,377.5,413.0,442.5,465.5,484.0,499.0,510.5,518.0,523.0,202.5,238.5,290.5,312.0
19,Basler_acA2500-14um__23891378__20221217_132306434_0034.tiff,523,264.5,328.5,375.5,411.5,440.5,463.5,482.5,497.5,508.5,516.5,521.0,200.0,236.0,288.5,310.0
20,Basler_acA2500-14um__23891378__20221217_132306434_0035.tiff,521,262.5,326.5,373.5,409.5,438.5,462.0,481.0,495.5,506.5,514.5,519.5,198.0,233.5,286.5,308.0
21,Basler_acA2500-14um__23891378__20221217_132306434_0036.tiff,520,260.5,325.0,371.5,408.0,437.5,460.5,479.0,494.0,505.5,513.0,518.0,195.0,231.5,284.5,306.0
22,Basler_acA2500-14um__23891378__20221217_132306434_0037.tiff,518,258.5,323.5,370.0,406.0,435.5,459.0,478.0,492.5,503.5,511.5,516.5,192.5,229.5,282.5,304.0
23,Basler_acA2500-14um__23891378__20221217_132306434_0038.tiff,517,256.0,321.0,368.5,404.5,433.5,457.0,476.0,491.0,502.5,510.5,515.0,189.5,226.5,280.5,302.0
24,Basler_acA2500-14um__23891378__20221217_132306434_0039.tiff,515,254.0,319.0,366.5,403.0,432.0,455.5,474.5,489.5,500.5,508.5,513.0,186.5,224.0,278.5,300.0
25,Basler_acA2500-14um__23891378__20221217_132306434_0040.tiff,514,251.5,317.5,364.5,401.5,430.5,454.0,473.0,488.0,499.5,507.5,512.0,184.0,222.0,276.5,298.0
26,Basler_acA2500-14um__23891378__20221217_132306434_0041.tiff,512,249.5,315.5,363.0,400.0,429.0,453.0,472.0,486.5,497.5,505.5,510.5,181.5,219.5,274.5,296.5
27,Basler_acA2500-14um__23891378__20221217_132306434_0042.tiff,511,247.5,314.0,361.5,398.5,427.5,451.0,470.5,485.5,496.5,504.5,509.5,178.5,217.5,272.5,294.5
28,Basler_acA2500-14um__23891378__20221217_132306434_0043.tiff,510,245.5,312.0,359.5,397.0,426.5,450.0,469.0,484.0,495.0,503.0,508.0,176.0,215.0,270.5,293.0
29,Basler_acA2500-14um__23891378__20221217_132306434_0044.tiff,508,243.5,310.5,358.5,395.0,424.5,448.5,467.5,482.5,493.5,501.5,506.5,172.5,212.5,269.0,290.5
30,Basler_acA2500-14um__23891378__20221217_132306434_0045.tiff,507,241.0,308.5,356.5,394.0,423.5,447.0,466.0,481.0,492.5,500.5,505.0,169.5,210.0,266.5,289.0
31,Basler_acA2500-14um__23891378__20221217_132306434_0046.tiff,505,239.5,306.5,355.0,392.0,421.5,446.0,465.0,479.5,491.0,499.0,504.0,166.5,207.5,264.5,287.0
32,Basler_acA2500-14um__23891378__20221217_132306434_0047.tiff,505,236.5,305.0,353.5,391.0,420.5,444.0,463.5,478.5,489.5,498.0,503.0,163.5,205.5,262.5,285.0
33,Basler_acA2500-14um__23891378__20221217_132306434_0048.tiff,504,234.5,303.0,352.0,389.0,419.0,443.0,462.0,477.5,488.5,496.5,501.5,160.0,202.5,260.5,283.5
34,Basler_acA2500-14um__23891378__20221217_132306434_0049.tiff,502,232.0,301.0,350.0,387.5,418.0,441.5,461.0,476.0,487.5,495.5,500.5,156.5,199.5,258.5,281.0
35,Basler_acA2500-14um__23891378__20221217_132306434_0050.tiff,501,229.5,299.0,349.0,386.5,416.5,440.5,460.0,475.0,486.5,494.5,499.0,152.0,196.5,256.5,279.5
