,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221217_134157582_0014.tiff,543,274.0,340.5,388.5,426.0,456.5,481.0,500.5,516.0,527.5,536.0,541.0,205.5,242.0,296.5,318.5
1,Basler_acA2500-14um__23891378__20221217_134157582_0015.tiff,543,274.0,340.5,389.0,426.5,456.5,480.5,500.5,516.0,527.5,536.0,541.5,205.0,242.0,296.0,318.5
2,Basler_acA2500-14um__23891378__20221217_134157582_0016.tiff,542,272.5,339.5,388.0,425.5,455.5,480.0,500.0,515.0,526.5,535.0,540.5,203.5,240.5,295.5,317.5
3,Basler_acA2500-14um__23891378__20221217_134157582_0017.tiff,542,272.5,339.5,387.5,425.0,455.5,479.5,499.0,514.5,526.5,534.5,540.0,203.0,240.5,295.0,317.0
4,Basler_acA2500-14um__23891378__20221217_134157582_0018.tiff,541,270.0,337.5,385.5,423.0,453.5,478.0,497.5,513.0,524.5,533.5,538.0,200.5,238.5,293.0,315.0
5,Basler_acA2500-14um__23891378__20221217_134157582_0019.tiff,539,269.0,336.0,384.5,422.0,452.5,476.5,496.0,512.0,523.5,532.0,537.0,198.5,237.0,292.0,313.5
6,Basler_acA2500-14um__23891378__20221217_134157582_0020.tiff,538,267.0,334.0,383.0,420.5,450.5,475.0,495.0,510.0,521.5,530.5,535.5,197.0,234.5,290.0,311.5
7,Basler_acA2500-14um__23891378__20221217_134157582_0021.tiff,536,265.0,332.0,381.0,418.5,449.0,473.0,493.0,508.5,520.5,528.5,534.0,195.0,232.5,288.0,310.0
8,Basler_acA2500-14um__23891378__20221217_134157582_0022.tiff,535,263.5,331.0,380.0,417.5,447.5,472.0,492.0,507.5,519.0,527.5,532.5,194.0,231.5,286.5,309.0
9,Basler_acA2500-14um__23891378__20221217_134157582_0023.tiff,533,261.5,329.0,378.0,416.0,446.0,470.5,490.0,505.5,517.5,526.0,531.0,192.0,230.0,285.0,307.0
10,Basler_acA2500-14um__23891378__20221217_134157582_0024.tiff,532,259.5,327.0,376.0,414.0,444.5,469.0,488.0,504.0,515.5,524.0,529.0,189.5,227.5,283.0,305.0
11,Basler_acA2500-14um__23891378__20221217_134157582_0025.tiff,530,257.5,325.5,375.0,412.5,442.5,467.0,486.5,502.5,514.0,522.5,528.0,187.0,225.0,281.0,303.0
12,Basler_acA2500-14um__23891378__20221217_134157582_0026.tiff,528,255.5,323.5,373.0,410.5,440.5,465.0,485.0,500.5,512.5,520.5,526.0,184.0,223.0,279.0,301.0
13,Basler_acA2500-14um__23891378__20221217_134157582_0027.tiff,526,253.0,321.5,370.0,408.5,438.5,463.0,483.0,498.5,510.5,519.0,524.0,181.5,220.5,276.5,299.0
14,Basler_acA2500-14um__23891378__20221217_134157582_0028.tiff,525,251.0,319.5,369.0,406.5,437.0,462.0,481.5,497.0,508.5,517.5,522.5,179.5,218.0,274.5,297.0
15,Basler_acA2500-14um__23891378__20221217_134157582_0029.tiff,523,248.5,317.5,367.0,405.0,435.5,460.0,480.0,495.5,507.0,515.5,521.0,176.5,215.5,272.0,295.0
16,Basler_acA2500-14um__23891378__20221217_134157582_0030.tiff,521,246.5,316.0,365.0,403.5,433.5,458.0,478.0,493.5,505.5,514.0,519.0,173.5,213.5,270.5,292.5
17,Basler_acA2500-14um__23891378__20221217_134157582_0031.tiff,520,244.5,314.0,363.0,401.5,432.0,456.5,476.0,492.0,503.5,512.5,517.5,171.0,210.5,268.0,290.5
18,Basler_acA2500-14um__23891378__20221217_134157582_0032.tiff,518,242.0,311.5,361.0,399.5,430.0,455.0,474.5,490.5,502.5,510.5,516.0,168.0,208.5,266.0,288.5
19,Basler_acA2500-14um__23891378__20221217_134157582_0033.tiff,517,239.5,309.5,359.5,397.5,428.5,453.0,473.0,488.5,500.5,509.0,514.0,165.0,206.5,264.0,287.0
20,Basler_acA2500-14um__23891378__20221217_134157582_0034.tiff,515,237.5,307.5,357.5,396.0,427.0,452.0,471.5,487.0,498.5,507.5,513.0,163.0,203.5,261.5,284.5
21,Basler_acA2500-14um__23891378__20221217_134157582_0035.tiff,514,235.5,306.0,356.0,394.5,425.0,450.0,470.0,485.5,497.5,506.0,511.0,160.0,201.5,260.0,283.0
22,Basler_acA2500-14um__23891378__20221217_134157582_0036.tiff,512,233.0,303.5,354.0,392.5,423.5,448.0,468.5,484.0,495.5,504.5,510.0,157.0,198.0,257.5,281.0
23,Basler_acA2500-14um__23891378__20221217_134157582_0037.tiff,511,230.5,302.0,352.5,391.0,422.0,447.0,467.0,482.5,494.5,503.0,508.0,153.5,196.0,255.5,278.5
24,Basler_acA2500-14um__23891378__20221217_134157582_0038.tiff,509,228.5,299.5,350.5,389.5,420.0,445.0,465.0,480.5,492.5,501.5,507.0,150.0,193.5,253.0,276.0
25,Basler_acA2500-14um__23891378__20221217_134157582_0039.tiff,507,226.0,298.0,349.0,387.5,418.5,443.5,463.5,479.5,491.5,500.0,505.5,147.5,191.0,250.5,274.0
26,Basler_acA2500-14um__23891378__20221217_134157582_0040.tiff,506,224.0,296.5,347.0,386.5,417.0,442.0,462.0,478.0,490.0,498.5,504.0,144.5,188.0,249.0,272.5
27,Basler_acA2500-14um__23891378__20221217_134157582_0041.tiff,504,221.0,294.5,345.0,384.5,415.0,441.0,460.5,476.5,488.5,497.0,502.5,140.5,185.0,246.5,270.0
28,Basler_acA2500-14um__23891378__20221217_134157582_0042.tiff,503,219.0,292.5,343.5,382.5,414.0,439.0,459.5,475.5,487.5,496.0,501.0,137.5,183.0,244.5,268.5
29,Basler_acA2500-14um__23891378__20221217_134157582_0043.tiff,502,217.0,290.5,342.0,381.5,412.5,438.0,458.0,473.5,486.0,494.5,500.0,134.0,180.0,242.5,266.0
30,Basler_acA2500-14um__23891378__20221217_134157582_0044.tiff,501,214.5,288.5,340.5,380.0,411.0,436.0,456.5,472.5,484.5,493.0,498.5,130.5,177.5,240.0,264.0
31,Basler_acA2500-14um__23891378__20221217_134157582_0045.tiff,500,211.5,286.5,338.5,378.5,410.0,435.0,455.5,471.5,483.5,492.0,497.5,126.5,174.5,238.0,262.5
32,Basler_acA2500-14um__23891378__20221217_134157582_0046.tiff,498,209.0,284.5,336.5,376.5,408.0,433.5,453.5,469.5,482.0,490.5,496.0,122.0,171.5,235.5,260.0
33,Basler_acA2500-14um__23891378__20221217_134157582_0047.tiff,497,206.5,282.5,335.0,375.0,407.0,432.5,452.5,468.5,480.5,489.5,495.0,118.0,168.0,233.5,258.0
34,Basler_acA2500-14um__23891378__20221217_134157582_0048.tiff,496,204.0,280.5,333.5,373.5,405.0,431.0,451.5,467.5,479.5,488.0,494.0,113.5,165.0,230.5,256.0
35,Basler_acA2500-14um__23891378__20221217_134157582_0049.tiff,495,201.0,278.5,331.5,372.0,404.0,429.5,450.5,466.5,478.5,487.0,493.0,108.5,162.0,228.5,253.5
36,Basler_acA2500-14um__23891378__20221217_134157582_0050.tiff,494,198.5,276.5,330.0,371.0,402.5,428.5,448.5,465.0,477.5,486.0,491.5,104.0,158.5,226.0,251.5
37,Basler_acA2500-14um__23891378__20221217_134157582_0051.tiff,493,196.0,275.0,328.0,369.5,401.0,427.0,448.0,464.0,476.0,485.0,490.5,98.5,155.0,224.0,249.5
38,Basler_acA2500-14um__23891378__20221217_134157582_0052.tiff,491,193.0,272.5,326.5,367.5,400.0,425.5,446.5,462.5,474.5,484.0,489.0,93.5,151.0,221.5,247.0
39,Basler_acA2500-14um__23891378__20221217_134157582_0053.tiff,490,189.5,270.0,325.0,366.0,398.0,424.5,445.5,461.5,474.0,482.5,488.0,87.5,147.0,218.0,244.0
40,Basler_acA2500-14um__23891378__20221217_134157582_0054.tiff,490,186.0,268.0,323.0,364.5,397.5,423.5,444.0,460.5,473.0,482.0,487.5,82.0,142.5,215.0,241.5
41,Basler_acA2500-14um__23891378__20221217_134157582_0055.tiff,489,182.0,266.0,321.5,364.0,396.0,422.5,443.5,460.0,472.0,481.0,487.0,76.5,137.0,212.0,239.0
42,Basler_acA2500-14um__23891378__20221217_134157582_0056.tiff,488,178.5,263.5,319.5,362.0,395.0,421.0,442.0,458.5,471.0,480.0,485.5,73.5,133.0,209.5,237.0
43,Basler_acA2500-14um__23891378__20221217_134157582_0057.tiff,486,175.5,261.5,318.0,360.0,393.0,420.0,441.0,457.0,470.0,479.0,484.0,69.5,128.0,206.5,234.0
44,Basler_acA2500-14um__23891378__20221217_134157582_0058.tiff,486,172.5,259.0,316.0,358.5,392.0,418.0,439.5,456.0,469.0,478.0,483.0,67.0,123.0,203.5,231.5
45,Basler_acA2500-14um__23891378__20221217_134157582_0059.tiff,485,169.5,257.0,314.5,357.5,390.5,417.0,438.0,455.0,468.0,477.0,482.0,65.0,120.0,201.0,229.0
