,file,reflection_row,dl_reflection_width,dl_height_midpoint,11l,11r,10l,10r,9l,9r,8l,8r,7l,7r,6l,6r,5l,5r,4l,4r,3l,3r,2l,2r,1l,1r,edge_4_r,edge_4_l,edge_3_r,edge_3_l,edge_2_r,edge_2_l,edge_1_r,edge_1_l
0,Basler_acA2500-14um__23891378__20221217_134157582_0014.tiff,1557,1557,543,270,278,337,344,386,391,424,428,455,458,480,482,500,501,515,517,527,528,536,536,541,541,199,212,237,247,293,300,315,322
1,Basler_acA2500-14um__23891378__20221217_134157582_0015.tiff,1557,1557,543,269,279,338,343,387,391,425,428,455,458,479,482,500,501,515,517,527,528,536,536,541,542,198,212,236,248,292,300,315,322
2,Basler_acA2500-14um__23891378__20221217_134157582_0016.tiff,1557,1557,542,268,277,336,343,386,390,424,427,454,457,479,481,499,501,514,516,526,527,535,535,540,541,196,211,234,247,291,300,314,321
3,Basler_acA2500-14um__23891378__20221217_134157582_0017.tiff,1557,1557,542,268,277,336,343,385,390,423,427,454,457,478,481,498,500,514,515,526,527,534,535,540,540,195,211,234,247,291,299,313,321
4,Basler_acA2500-14um__23891378__20221217_134157582_0018.tiff,1557,1557,541,265,275,334,341,383,388,421,425,452,455,477,479,497,498,512,514,524,525,533,534,538,538,193,208,232,245,289,297,311,319
5,Basler_acA2500-14um__23891378__20221217_134157582_0019.tiff,1557,1557,539,264,274,333,339,382,387,420,424,451,454,475,478,495,497,511,513,523,524,532,532,537,537,191,206,231,243,288,296,310,317
6,Basler_acA2500-14um__23891378__20221217_134157582_0020.tiff,1557,1557,538,262,272,331,337,381,385,419,422,449,452,474,476,494,496,509,511,521,522,530,531,535,536,190,204,229,240,286,294,308,315
7,Basler_acA2500-14um__23891378__20221217_134157582_0021.tiff,1557,1557,536,261,269,329,335,379,383,417,420,448,450,472,474,492,494,508,509,520,521,528,529,534,534,188,202,227,238,284,292,307,313
8,Basler_acA2500-14um__23891378__20221217_134157582_0022.tiff,1557,1557,535,259,268,328,334,378,382,416,419,446,449,471,473,491,493,507,508,519,519,527,528,532,533,187,201,226,237,283,290,306,312
9,Basler_acA2500-14um__23891378__20221217_134157582_0023.tiff,1557,1557,533,257,266,326,332,376,380,414,418,445,447,469,472,489,491,505,506,517,518,526,526,531,531,185,199,225,235,281,289,304,310
10,Basler_acA2500-14um__23891378__20221217_134157582_0024.tiff,1557,1557,532,255,264,324,330,374,378,412,416,443,446,468,470,487,489,503,505,515,516,524,524,529,529,182,197,222,233,279,287,301,309
11,Basler_acA2500-14um__23891378__20221217_134157582_0025.tiff,1557,1557,530,253,262,323,328,373,377,411,414,441,444,466,468,486,487,502,503,514,514,522,523,528,528,180,194,220,230,277,285,300,306
12,Basler_acA2500-14um__23891378__20221217_134157582_0026.tiff,1557,1557,528,251,260,321,326,371,375,409,412,439,442,464,466,484,486,500,501,512,513,520,521,526,526,177,191,218,228,275,283,298,304
13,Basler_acA2500-14um__23891378__20221217_134157582_0027.tiff,1557,1557,526,249,257,319,324,368,372,407,410,437,440,462,464,482,484,498,499,510,511,519,519,524,524,175,188,215,226,273,280,296,302
14,Basler_acA2500-14um__23891378__20221217_134157582_0028.tiff,1557,1557,525,246,256,317,322,367,371,405,408,436,438,461,463,481,482,496,498,508,509,517,518,522,523,172,187,213,223,271,278,294,300
15,Basler_acA2500-14um__23891378__20221217_134157582_0029.tiff,1557,1557,523,244,253,315,320,365,369,403,407,434,437,459,461,479,481,495,496,506,508,515,516,521,521,169,184,210,221,268,276,292,298
16,Basler_acA2500-14um__23891378__20221217_134157582_0030.tiff,1557,1557,521,242,251,313,319,363,367,402,405,432,435,457,459,477,479,493,494,505,506,514,514,519,519,166,181,208,219,267,274,289,296
17,Basler_acA2500-14um__23891378__20221217_134157582_0031.tiff,1557,1557,520,240,249,311,317,361,365,400,403,431,433,455,458,475,477,491,493,503,504,512,513,517,518,163,179,205,216,264,272,287,294
18,Basler_acA2500-14um__23891378__20221217_134157582_0032.tiff,1557,1557,518,238,246,309,314,359,363,398,401,429,431,454,456,474,475,490,491,502,503,510,511,516,516,161,175,203,214,262,270,285,292
19,Basler_acA2500-14um__23891378__20221217_134157582_0033.tiff,1557,1557,517,235,244,307,312,357,362,396,399,427,430,452,454,472,474,488,489,500,501,509,509,514,514,158,172,201,212,260,268,284,290
20,Basler_acA2500-14um__23891378__20221217_134157582_0034.tiff,1557,1557,515,233,242,305,310,355,360,394,398,426,428,451,453,471,472,486,488,498,499,507,508,513,513,156,170,198,209,258,265,281,288
21,Basler_acA2500-14um__23891378__20221217_134157582_0035.tiff,1557,1557,514,231,240,303,309,354,358,393,396,424,426,449,451,469,471,485,486,497,498,506,506,511,511,153,167,196,207,256,264,280,286
22,Basler_acA2500-14um__23891378__20221217_134157582_0036.tiff,1557,1557,512,229,237,301,306,352,356,391,394,422,425,447,449,468,469,483,485,495,496,504,505,510,510,150,164,193,203,254,261,278,284
23,Basler_acA2500-14um__23891378__20221217_134157582_0037.tiff,1557,1557,511,227,234,300,304,351,354,390,392,421,423,446,448,466,468,482,483,494,495,503,503,508,508,147,160,191,201,252,259,276,281
24,Basler_acA2500-14um__23891378__20221217_134157582_0038.tiff,1557,1557,509,225,232,297,302,349,352,388,391,419,421,444,446,464,466,480,481,492,493,501,502,507,507,143,157,188,199,249,257,273,279
25,Basler_acA2500-14um__23891378__20221217_134157582_0039.tiff,1557,1557,507,222,230,295,301,347,351,386,389,417,420,443,444,463,464,479,480,491,492,500,500,505,506,141,154,186,196,247,254,271,277
26,Basler_acA2500-14um__23891378__20221217_134157582_0040.tiff,1557,1557,506,220,228,294,299,345,349,385,388,416,418,441,443,461,463,477,479,490,490,498,499,504,504,138,151,183,193,246,252,269,276
27,Basler_acA2500-14um__23891378__20221217_134157582_0041.tiff,1557,1557,504,217,225,292,297,343,347,383,386,414,416,440,442,460,461,476,477,488,489,497,497,502,503,134,147,180,190,243,250,267,273
28,Basler_acA2500-14um__23891378__20221217_134157582_0042.tiff,1557,1557,503,215,223,290,295,342,345,381,384,413,415,438,440,459,460,475,476,487,488,496,496,501,501,131,144,178,188,241,248,266,271
29,Basler_acA2500-14um__23891378__20221217_134157582_0043.tiff,1557,1557,502,213,221,288,293,340,344,380,383,411,414,437,439,457,459,473,474,486,486,494,495,500,500,127,141,175,185,239,246,263,269
30,Basler_acA2500-14um__23891378__20221217_134157582_0044.tiff,1557,1557,501,211,218,286,291,339,342,379,381,410,412,435,437,456,457,472,473,484,485,493,493,498,499,124,137,173,182,237,243,261,267
31,Basler_acA2500-14um__23891378__20221217_134157582_0045.tiff,1557,1557,500,207,216,284,289,337,340,377,380,409,411,434,436,455,456,471,472,483,484,492,492,497,498,120,133,170,179,235,241,260,265
32,Basler_acA2500-14um__23891378__20221217_134157582_0046.tiff,1557,1557,498,205,213,282,287,335,338,375,378,407,409,433,434,453,454,469,470,482,482,490,491,496,496,115,129,167,176,232,239,257,263
33,Basler_acA2500-14um__23891378__20221217_134157582_0047.tiff,1557,1557,497,203,210,280,285,333,337,374,376,406,408,432,433,452,453,468,469,480,481,489,490,495,495,111,125,163,173,230,237,255,261
34,Basler_acA2500-14um__23891378__20221217_134157582_0048.tiff,1557,1557,496,200,208,278,283,332,335,372,375,404,406,430,432,451,452,467,468,479,480,488,488,494,494,106,121,160,170,227,234,253,259
35,Basler_acA2500-14um__23891378__20221217_134157582_0049.tiff,1557,1557,495,198,204,276,281,330,333,371,373,403,405,429,430,450,451,466,467,478,479,487,487,493,493,102,115,158,166,226,231,251,256
36,Basler_acA2500-14um__23891378__20221217_134157582_0050.tiff,1557,1557,494,195,202,274,279,328,332,370,372,402,403,428,429,448,449,465,465,477,478,486,486,491,492,97,111,154,163,223,229,249,254
37,Basler_acA2500-14um__23891378__20221217_134157582_0051.tiff,1557,1557,493,191,201,272,278,326,330,368,371,400,402,426,428,447,449,463,465,476,476,485,485,490,491,89,108,149,161,220,228,246,253
38,Basler_acA2500-14um__23891378__20221217_134157582_0052.tiff,1557,1557,491,189,197,270,275,325,328,366,369,399,401,425,426,446,447,462,463,474,475,484,484,489,489,87,100,146,156,218,225,244,250
39,Basler_acA2500-14um__23891378__20221217_134157582_0053.tiff,1557,1557,490,186,193,268,272,324,326,365,367,397,399,424,425,445,446,461,462,474,474,482,483,488,488,81,94,143,151,215,221,241,247
40,Basler_acA2500-14um__23891378__20221217_134157582_0054.tiff,1557,1557,490,184,188,267,269,322,324,364,365,397,398,423,424,444,444,460,461,473,473,482,482,487,488,80,84,140,145,213,217,240,243
41,Basler_acA2500-14um__23891378__20221217_134157582_0055.tiff,1557,1557,489,180,184,265,267,321,322,364,364,396,396,423,422,443,444,460,460,472,472,481,481,487,487,74,79,135,139,211,213,238,240
42,Basler_acA2500-14um__23891378__20221217_134157582_0056.tiff,1557,1557,488,177,180,263,264,319,320,362,362,395,395,421,421,442,442,458,459,471,471,480,480,485,486,71,76,131,135,208,211,236,238
43,Basler_acA2500-14um__23891378__20221217_134157582_0057.tiff,1557,1557,486,175,176,261,262,318,318,360,360,393,393,420,420,441,441,457,457,470,470,479,479,484,484,68,71,127,129,206,207,233,235
44,Basler_acA2500-14um__23891378__20221217_134157582_0058.tiff,1557,1557,486,172,173,259,259,316,316,359,358,392,392,418,418,439,440,456,456,469,469,478,478,483,483,65,69,122,124,203,204,231,232
45,Basler_acA2500-14um__23891378__20221217_134157582_0059.tiff,1557,1557,485,168,171,256,258,314,315,357,358,390,391,417,417,438,438,455,455,468,468,477,477,482,482,62,68,118,122,200,202,228,230
46,Basler_acA2500-14um__23891378__20221217_134157582_0060.tiff,1557,1557,483,164,166,254,255,312,312,356,356,389,389,416,416,437,437,454,454,467,467,476,476,481,481,59,64,114,115,197,198,226,227
47,Basler_acA2500-14um__23891378__20221217_134157582_0061.tiff,1557,1557,483,161,161,252,251,311,310,354,354,388,387,415,414,436,436,453,453,466,465,475,474,480,480,58,61,109,110,193,193,223,223
48,Basler_acA2500-14um__23891378__20221217_134157582_0062.tiff,1557,1557,482,157,159,249,250,309,309,353,353,387,387,414,414,435,435,452,452,465,465,474,474,480,480,55,61,104,109,190,192,220,221
49,Basler_acA2500-14um__23891378__20221217_134157582_0063.tiff,1557,1557,481,150,157,246,249,306,308,350,352,385,386,412,413,434,434,451,451,464,464,473,473,479,479,53,61,99,107,185,190,216,220
