,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221123_122622239_0013.tiff,595,317.0,383.5,433.5,472.0,503.0,529.0,549.5,565.5,578.0,587.0,592.5,252.0,287.0,341.5,363.5
1,Basler_acA2500-14um__23891378__20221123_122622239_0014.tiff,594,315.5,382.5,432.5,470.5,502.0,527.5,548.0,564.5,577.0,586.0,591.5,251.0,286.5,340.5,362.5
2,Basler_acA2500-14um__23891378__20221123_122622239_0015.tiff,594,315.5,382.5,432.0,470.5,502.0,527.0,548.0,564.5,576.5,585.5,591.0,251.5,286.0,340.5,362.5
3,Basler_acA2500-14um__23891378__20221123_122622239_0016.tiff,594,316.0,382.0,432.0,470.5,501.5,527.0,548.0,564.0,576.5,585.5,591.0,252.0,287.0,340.5,362.5
4,Basler_acA2500-14um__23891378__20221123_122622239_0017.tiff,593,314.5,381.5,431.0,469.5,500.5,526.0,547.0,563.0,575.5,584.5,590.0,250.0,285.0,339.5,361.5
5,Basler_acA2500-14um__23891378__20221123_122622239_0018.tiff,591,312.5,379.5,429.0,468.0,499.5,525.0,545.0,561.5,573.5,583.0,589.0,248.0,283.0,337.5,359.5
6,Basler_acA2500-14um__23891378__20221123_122622239_0019.tiff,590,311.5,378.5,428.0,467.0,498.5,524.0,544.0,560.5,573.0,582.0,588.0,246.0,282.0,336.5,358.5
7,Basler_acA2500-14um__23891378__20221123_122622239_0020.tiff,588,309.5,376.5,426.5,465.5,496.5,522.0,542.0,559.0,571.5,580.5,586.0,244.0,280.0,334.5,356.5
8,Basler_acA2500-14um__23891378__20221123_122622239_0021.tiff,587,308.0,375.0,425.0,463.5,495.0,520.5,541.0,557.5,569.5,579.0,585.0,243.0,278.5,333.0,355.5
9,Basler_acA2500-14um__23891378__20221123_122622239_0022.tiff,586,306.0,373.5,423.0,461.5,493.5,519.0,539.5,556.0,568.5,577.5,583.0,240.0,276.0,331.0,353.5
10,Basler_acA2500-14um__23891378__20221123_122622239_0023.tiff,584,304.0,371.5,421.0,460.5,491.5,517.0,538.0,554.0,566.5,576.0,581.5,238.0,274.0,329.0,351.5
11,Basler_acA2500-14um__23891378__20221123_122622239_0024.tiff,583,301.5,369.5,419.5,458.5,490.0,515.5,536.0,552.5,565.5,574.0,580.0,235.0,271.5,326.5,349.5
12,Basler_acA2500-14um__23891378__20221123_122622239_0025.tiff,581,300.0,367.5,418.0,456.5,488.5,514.0,535.0,551.0,563.5,572.5,578.5,233.0,270.0,325.0,347.5
13,Basler_acA2500-14um__23891378__20221123_122622239_0026.tiff,579,297.5,365.5,416.0,455.0,486.5,512.0,533.0,549.0,561.5,570.5,576.5,230.0,267.0,322.5,345.5
14,Basler_acA2500-14um__23891378__20221123_122622239_0027.tiff,578,295.0,363.5,414.0,453.5,484.5,510.5,531.0,547.5,560.5,569.5,575.0,227.0,265.0,321.0,343.5
15,Basler_acA2500-14um__23891378__20221123_122622239_0028.tiff,576,293.0,361.5,412.0,451.5,483.5,509.0,530.0,546.0,558.5,567.5,573.5,225.0,263.0,318.5,341.5
16,Basler_acA2500-14um__23891378__20221123_122622239_0029.tiff,575,291.0,360.0,410.5,450.0,481.5,507.5,528.0,544.5,557.0,566.5,572.0,222.0,260.5,317.0,339.5
17,Basler_acA2500-14um__23891378__20221123_122622239_0030.tiff,573,288.5,358.0,409.0,448.0,480.0,505.5,526.5,543.0,555.5,564.5,570.5,219.0,258.0,314.5,338.0
18,Basler_acA2500-14um__23891378__20221123_122622239_0031.tiff,572,287.0,356.5,407.0,446.5,478.5,504.0,525.0,541.5,554.0,563.5,569.0,217.0,255.5,312.5,335.5
19,Basler_acA2500-14um__23891378__20221123_122622239_0032.tiff,570,284.5,354.0,405.5,445.0,476.5,502.5,523.5,540.0,552.5,561.5,567.5,213.5,253.0,311.0,334.0
20,Basler_acA2500-14um__23891378__20221123_122622239_0033.tiff,569,282.5,352.0,403.5,443.0,475.0,501.0,522.0,538.5,551.0,560.5,566.0,211.0,250.5,308.5,331.5
21,Basler_acA2500-14um__23891378__20221123_122622239_0034.tiff,567,280.0,350.0,401.5,441.0,473.5,499.5,520.0,537.0,549.5,558.5,564.5,207.5,248.0,306.5,329.5
22,Basler_acA2500-14um__23891378__20221123_122622239_0035.tiff,566,277.5,348.5,400.0,440.0,472.0,497.5,519.0,536.0,548.0,557.5,563.0,205.0,245.5,304.5,327.5
23,Basler_acA2500-14um__23891378__20221123_122622239_0036.tiff,564,275.0,346.5,398.5,438.0,470.5,496.5,517.0,534.0,546.5,555.5,561.5,202.0,243.0,301.5,325.5
24,Basler_acA2500-14um__23891378__20221123_122622239_0037.tiff,563,273.0,344.5,396.5,436.5,469.0,494.5,516.0,532.5,545.0,554.5,560.0,199.0,240.5,300.0,323.5
25,Basler_acA2500-14um__23891378__20221123_122622239_0038.tiff,562,270.5,342.5,395.0,435.0,467.0,493.5,514.5,531.0,543.5,553.5,559.0,195.5,237.5,298.0,321.5
