,file,reflection_row,dl_reflection_width,dl_height_midpoint,11l,11r,10l,10r,9l,9r,8l,8r,7l,7r,6l,6r,5l,5r,4l,4r,3l,3r,2l,2r,1l,1r,edge_4_r,edge_4_l,edge_3_r,edge_3_l,edge_2_r,edge_2_l,edge_1_r,edge_1_l
0,Basler_acA2500-14um__23891378__20221128_134958754_0014.tiff,1555,982,607,350,342,412,405,457,452,493,489,522,519,546,543,565,563,580,578,591,590,600,599,605,605,291,282,323,314,371,364,391,384
1,Basler_acA2500-14um__23891378__20221128_134958754_0015.tiff,1555,978,606,347,343,409,406,455,452,491,489,520,519,544,543,563,562,578,578,590,589,598,598,604,603,287,282,319,315,368,365,388,385
2,Basler_acA2500-14um__23891378__20221128_134958754_0016.tiff,1555,978,605,346,343,407,405,453,452,490,488,519,518,543,542,562,562,577,577,589,589,597,597,603,602,285,281,317,314,366,364,386,384
3,Basler_acA2500-14um__23891378__20221128_134958754_0017.tiff,1555,978,604,346,342,407,405,453,451,489,488,518,518,542,541,562,561,577,576,588,588,596,597,602,602,286,281,317,313,366,363,386,384
4,Basler_acA2500-14um__23891378__20221128_134958754_0018.tiff,1555,981,605,347,342,409,405,455,451,491,488,520,517,543,542,562,561,578,576,589,588,597,597,603,603,289,281,320,313,368,363,388,384
5,Basler_acA2500-14um__23891378__20221128_134958754_0019.tiff,1555,981,604,347,341,408,404,454,450,490,487,519,517,543,541,562,560,577,576,588,587,597,596,602,601,287,280,318,312,367,362,387,383
6,Basler_acA2500-14um__23891378__20221128_134958754_0020.tiff,1555,981,603,345,340,407,403,453,449,489,486,518,516,542,540,561,559,576,575,588,586,596,595,601,601,286,278,318,311,366,361,386,382
7,Basler_acA2500-14um__23891378__20221128_134958754_0021.tiff,1555,978,601,342,337,404,400,450,447,486,484,515,513,539,537,558,557,573,572,585,584,593,593,598,598,281,274,314,308,363,358,383,379
8,Basler_acA2500-14um__23891378__20221128_134958754_0022.tiff,1555,978,599,339,335,401,398,448,445,484,482,514,512,538,536,557,556,572,571,584,583,592,591,597,597,278,271,310,305,361,356,381,377
9,Basler_acA2500-14um__23891378__20221128_134958754_0023.tiff,1555,978,598,338,333,401,397,447,444,483,481,513,511,536,535,556,554,571,570,582,582,591,590,596,596,277,270,310,303,359,354,380,375
10,Basler_acA2500-14um__23891378__20221128_134958754_0024.tiff,1555,978,596,336,331,399,395,445,442,481,479,511,509,535,533,554,553,569,568,581,580,589,589,594,594,275,267,307,301,358,352,378,374
11,Basler_acA2500-14um__23891378__20221128_134958754_0025.tiff,1555,980,596,336,330,399,394,445,441,481,478,511,508,534,532,554,552,569,567,580,579,589,588,594,593,275,266,307,300,358,351,378,372
12,Basler_acA2500-14um__23891378__20221128_134958754_0026.tiff,1555,983,595,336,329,398,392,445,440,480,477,510,507,534,531,552,550,568,566,579,578,587,587,592,592,275,265,307,299,357,350,377,371
13,Basler_acA2500-14um__23891378__20221128_134958754_0027.tiff,1555,983,593,334,326,396,390,443,438,479,475,508,505,532,529,551,549,566,564,578,577,586,585,591,591,273,262,305,297,355,348,376,369
14,Basler_acA2500-14um__23891378__20221128_134958754_0028.tiff,1555,982,592,332,324,394,388,441,436,477,473,507,503,530,528,549,547,565,563,576,575,584,583,590,589,270,259,303,294,353,346,373,367
15,Basler_acA2500-14um__23891378__20221128_134958754_0029.tiff,1555,983,590,329,322,393,386,439,434,475,472,505,501,529,526,548,546,563,561,575,573,583,582,588,588,268,256,301,291,351,344,372,365
16,Basler_acA2500-14um__23891378__20221128_134958754_0030.tiff,1555,982,589,328,320,391,385,437,433,474,470,503,500,527,524,546,544,562,560,573,572,581,580,587,586,265,254,298,289,349,342,370,363
17,Basler_acA2500-14um__23891378__20221128_134958754_0031.tiff,1555,982,587,325,318,389,383,436,431,472,468,502,498,525,523,545,543,560,558,571,570,580,579,585,585,262,251,296,287,347,340,368,361
18,Basler_acA2500-14um__23891378__20221128_134958754_0032.tiff,1555,982,586,323,315,387,381,434,429,470,467,500,497,524,521,543,541,559,557,570,569,578,577,584,583,260,249,294,285,345,338,366,359
19,Basler_acA2500-14um__23891378__20221128_134958754_0033.tiff,1555,981,584,321,313,385,379,432,427,469,465,498,495,522,520,542,539,557,555,568,567,577,576,582,581,257,246,291,282,343,335,364,357
20,Basler_acA2500-14um__23891378__20221128_134958754_0034.tiff,1555,981,583,319,311,383,377,431,426,467,463,497,493,521,518,540,538,555,554,567,566,575,575,581,580,254,243,289,279,341,334,362,355
21,Basler_acA2500-14um__23891378__20221128_134958754_0035.tiff,1555,980,581,317,309,381,375,429,424,466,462,495,492,519,517,539,537,554,552,566,564,574,573,579,579,251,240,287,277,339,332,360,353
22,Basler_acA2500-14um__23891378__20221128_134958754_0036.tiff,1555,982,580,315,307,380,373,427,422,464,460,494,490,518,515,537,535,553,551,564,563,573,571,578,577,249,237,284,275,337,329,358,351
23,Basler_acA2500-14um__23891378__20221128_134958754_0037.tiff,1555,982,578,313,305,378,371,425,421,462,459,492,489,516,514,536,534,551,550,563,561,571,570,576,576,246,234,282,273,335,328,356,350
24,Basler_acA2500-14um__23891378__20221128_134958754_0038.tiff,1555,982,577,310,302,376,370,424,419,461,457,491,487,515,512,534,532,550,548,561,560,570,569,575,575,243,232,280,270,333,326,354,347
25,Basler_acA2500-14um__23891378__20221128_134958754_0039.tiff,1555,981,576,308,300,374,368,422,417,459,455,489,486,514,511,533,531,548,546,560,559,568,568,574,573,241,229,277,267,331,323,352,345
26,Basler_acA2500-14um__23891378__20221128_134958754_0040.tiff,1555,982,574,307,298,373,366,421,416,458,453,488,484,512,509,532,529,547,545,559,557,567,566,572,572,239,225,276,264,330,321,351,343
27,Basler_acA2500-14um__23891378__20221128_134958754_0041.tiff,1555,982,573,305,295,371,364,419,413,456,452,487,483,511,508,530,528,546,544,557,556,566,565,571,571,236,222,273,262,328,319,349,341
28,Basler_acA2500-14um__23891378__20221128_134958754_0042.tiff,1555,981,572,302,293,369,362,418,412,455,451,485,482,510,506,529,527,545,543,556,555,565,564,570,570,233,219,270,259,326,317,347,340
29,Basler_acA2500-14um__23891378__20221128_134958754_0043.tiff,1555,980,571,300,290,368,360,416,411,454,449,484,480,508,505,528,525,543,542,555,554,563,562,569,568,230,215,268,257,324,315,345,337
30,Basler_acA2500-14um__23891378__20221128_134958754_0044.tiff,1555,981,570,298,288,366,359,415,409,452,448,483,479,507,504,526,524,542,540,554,552,562,561,567,567,227,211,265,254,321,312,343,335
31,Basler_acA2500-14um__23891378__20221128_134958754_0045.tiff,1555,980,569,296,286,364,357,413,407,451,446,481,478,506,502,525,523,541,539,553,551,561,560,566,566,223,208,263,251,320,311,342,334
32,Basler_acA2500-14um__23891378__20221128_134958754_0046.tiff,1555,980,567,294,283,363,355,412,406,450,445,480,476,505,501,524,522,540,538,552,550,560,559,565,565,221,203,261,248,318,308,340,331
33,Basler_acA2500-14um__23891378__20221128_134958754_0047.tiff,1555,979,566,292,282,361,354,410,405,448,444,479,475,503,500,523,520,538,537,550,549,559,558,564,564,216,201,257,246,315,307,338,330
34,Basler_acA2500-14um__23891378__20221128_134958754_0048.tiff,1555,980,565,289,279,359,352,408,403,447,442,477,473,502,499,522,519,537,535,549,548,558,557,563,562,212,197,255,243,313,305,336,328
35,Basler_acA2500-14um__23891378__20221128_134958754_0049.tiff,1555,980,564,287,276,357,350,407,401,445,441,476,472,501,497,521,518,536,534,548,547,557,556,562,561,209,192,252,240,311,302,334,326
36,Basler_acA2500-14um__23891378__20221128_134958754_0050.tiff,1555,980,563,284,274,355,348,405,400,444,439,474,471,500,496,520,517,535,533,547,546,556,555,561,560,204,189,249,237,309,300,332,324
37,Basler_acA2500-14um__23891378__20221128_134958754_0051.tiff,1555,978,562,282,272,354,346,404,398,443,438,474,470,498,495,518,516,534,532,546,544,555,554,560,559,201,184,246,234,307,298,330,322
38,Basler_acA2500-14um__23891378__20221128_134958754_0052.tiff,1555,979,561,280,268,352,344,403,396,441,437,473,468,497,494,517,515,533,531,545,543,554,553,559,558,197,178,244,230,305,295,329,320
39,Basler_acA2500-14um__23891378__20221128_134958754_0053.tiff,1555,978,560,278,266,350,342,401,395,440,435,471,467,496,493,516,514,532,530,544,542,553,552,558,557,193,171,241,226,303,293,327,318
40,Basler_acA2500-14um__23891378__20221128_134958754_0054.tiff,1555,979,559,275,263,349,340,400,393,439,434,470,466,495,492,515,512,531,529,543,542,551,550,557,556,189,165,238,222,301,290,325,315
41,Basler_acA2500-14um__23891378__20221128_134958754_0055.tiff,1555,978,558,273,259,347,338,398,392,438,432,469,465,494,490,514,511,530,528,542,540,551,549,556,555,185,158,235,218,299,287,323,313
42,Basler_acA2500-14um__23891378__20221128_134958754_0056.tiff,1555,979,557,271,256,346,335,397,389,437,431,468,463,493,489,513,510,529,527,541,539,550,549,555,554,181,147,233,213,297,284,322,310
43,Basler_acA2500-14um__23891378__20221128_134958754_0057.tiff,1555,978,556,269,253,344,333,396,388,436,429,467,462,492,488,512,509,528,526,541,539,549,548,554,553,176,138,230,208,296,281,320,308
44,Basler_acA2500-14um__23891378__20221128_134958754_0058.tiff,1555,979,555,266,251,342,332,394,387,434,428,466,461,491,487,511,508,528,525,539,537,548,547,553,553,169,135,226,206,293,280,317,307
45,Basler_acA2500-14um__23891378__20221128_134958754_0059.tiff,1555,977,555,263,249,340,331,392,386,433,427,465,460,490,486,510,507,526,524,538,537,547,546,553,552,162,128,222,203,290,278,315,304
46,Basler_acA2500-14um__23891378__20221128_134958754_0060.tiff,1555,978,554,259,246,338,329,391,384,432,426,463,459,489,485,509,506,525,523,538,536,546,545,552,551,155,118,217,199,287,276,313,303
47,Basler_acA2500-14um__23891378__20221128_134958754_0061.tiff,1555,978,553,256,242,336,327,389,382,430,425,462,458,488,484,509,506,525,522,537,535,546,544,551,550,145,106,213,194,285,273,310,300
48,Basler_acA2500-14um__23891378__20221128_134958754_0062.tiff,1555,979,552,253,239,334,324,388,381,429,423,461,457,487,483,507,505,524,522,536,534,545,544,550,550,135,98,209,189,282,270,308,298
49,Basler_acA2500-14um__23891378__20221128_134958754_0063.tiff,1555,978,551,251,234,332,322,387,379,428,422,460,455,486,482,507,503,523,521,535,533,544,543,549,549,129,90,206,182,280,266,306,295
50,Basler_acA2500-14um__23891378__20221128_134958754_0064.tiff,1555,979,551,249,230,331,320,385,377,427,420,459,454,485,481,506,502,522,519,534,532,543,542,549,548,120,86,202,177,278,263,306,292
51,Basler_acA2500-14um__23891378__20221128_134958754_0065.tiff,1555,978,550,246,227,329,317,384,375,426,419,458,453,484,480,505,502,521,518,534,532,542,541,548,547,111,81,198,170,275,260,303,289
52,Basler_acA2500-14um__23891378__20221128_134958754_0066.tiff,1555,978,549,242,222,327,315,383,373,425,417,457,451,484,478,504,500,521,518,533,531,542,540,547,546,103,76,194,163,273,257,301,286
53,Basler_acA2500-14um__23891378__20221128_134958754_0067.tiff,1555,978,548,239,218,325,313,381,372,423,416,456,450,482,477,503,499,520,517,532,530,541,539,546,546,95,73,189,157,271,254,298,284
54,Basler_acA2500-14um__23891378__20221128_134958754_0068.tiff,1555,978,548,235,214,323,310,379,370,422,415,455,449,481,477,502,498,519,516,531,529,540,539,546,545,88,70,183,149,268,250,296,281
55,Basler_acA2500-14um__23891378__20221128_134958754_0069.tiff,1555,978,547,231,210,321,308,378,369,421,413,454,448,480,476,502,498,518,515,531,529,540,538,545,544,80,68,176,142,264,247,293,278
56,Basler_acA2500-14um__23891378__20221128_134958754_0070.tiff,1555,977,547,224,207,317,307,376,368,419,413,452,447,479,475,500,497,517,515,530,528,539,538,544,544,74,67,164,139,259,245,289,277
57,Basler_acA2500-14um__23891378__20221128_134958754_0071.tiff,1555,978,546,218,204,314,306,373,367,417,412,451,447,478,474,499,497,516,514,529,527,538,537,544,543,67,66,152,136,253,243,284,275
58,Basler_acA2500-14um__23891378__20221128_134958754_0072.tiff,1555,977,545,213,202,311,304,371,366,415,411,449,446,477,474,498,496,515,514,528,527,537,536,543,543,65,65,143,132,250,241,281,273
59,Basler_acA2500-14um__23891378__20221128_134958754_0073.tiff,1555,977,544,209,197,308,302,369,364,414,410,448,444,476,473,497,495,514,513,527,526,536,535,542,542,64,63,139,127,247,237,278,271
60,Basler_acA2500-14um__23891378__20221128_134958754_0074.tiff,1555,977,544,207,190,308,298,368,361,413,408,447,443,475,471,496,494,513,511,526,525,536,534,541,540,64,61,136,121,246,232,277,267
61,Basler_acA2500-14um__23891378__20221128_134958754_0075.tiff,1555,978,543,204,182,306,295,367,359,412,405,447,441,474,470,496,492,513,510,526,524,535,533,540,540,63,59,133,114,243,227,276,262
