,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221128_144335357_0012.tiff,627,338.0,409.0,460.5,500.5,532.5,559.0,580.0,596.5,609.5,619.0,624.5,265.0,304.5,362.5,386.0
1,Basler_acA2500-14um__23891378__20221128_144335357_0013.tiff,627,338.5,409.0,460.5,500.5,532.5,559.0,580.0,597.0,610.0,618.5,624.5,264.5,305.0,363.0,386.0
2,Basler_acA2500-14um__23891378__20221128_144335357_0014.tiff,627,338.5,409.0,461.0,500.5,532.5,559.0,580.0,596.5,609.0,618.5,624.5,264.0,304.5,362.5,385.5
3,Basler_acA2500-14um__23891378__20221128_144335357_0015.tiff,626,337.5,408.5,460.0,500.0,532.5,558.5,579.5,596.0,608.5,617.5,623.5,264.0,304.0,362.0,385.0
4,Basler_acA2500-14um__23891378__20221128_144335357_0016.tiff,626,338.0,409.0,460.0,500.0,532.5,558.0,579.5,596.0,609.0,617.5,623.5,264.5,304.5,362.5,385.5
5,Basler_acA2500-14um__23891378__20221128_144335357_0017.tiff,625,337.0,407.0,459.0,499.0,531.5,557.0,578.5,595.0,607.0,616.5,622.5,263.0,303.0,360.5,384.0
6,Basler_acA2500-14um__23891378__20221128_144335357_0018.tiff,624,335.5,407.0,458.5,498.5,530.5,557.0,577.5,594.0,607.0,616.5,622.0,261.5,302.0,360.0,383.5
7,Basler_acA2500-14um__23891378__20221128_144335357_0019.tiff,622,332.0,404.0,455.5,495.5,527.5,554.0,575.0,591.5,604.5,613.5,619.5,257.0,298.0,357.0,380.0
8,Basler_acA2500-14um__23891378__20221128_144335357_0020.tiff,621,331.5,403.0,455.0,495.0,527.0,553.0,574.5,591.0,604.0,613.5,619.0,257.0,297.5,356.5,379.5
9,Basler_acA2500-14um__23891378__20221128_144335357_0021.tiff,621,331.0,402.5,454.5,494.5,526.5,553.0,574.0,590.5,603.5,612.5,618.5,256.5,297.5,356.0,379.0
10,Basler_acA2500-14um__23891378__20221128_144335357_0022.tiff,619,329.5,400.5,452.5,493.0,525.0,551.5,572.5,589.0,602.0,611.0,616.5,254.0,295.0,354.0,377.5
11,Basler_acA2500-14um__23891378__20221128_144335357_0023.tiff,618,328.0,399.5,451.0,491.5,524.0,549.5,571.0,588.0,600.5,609.5,615.5,252.5,293.0,352.0,376.0
12,Basler_acA2500-14um__23891378__20221128_144335357_0024.tiff,616,325.0,397.5,449.5,489.5,522.0,548.5,569.0,586.0,599.0,607.5,613.5,249.0,290.5,350.0,373.5
13,Basler_acA2500-14um__23891378__20221128_144335357_0025.tiff,615,323.0,395.5,447.5,488.0,520.0,546.5,567.5,584.0,597.0,606.5,612.0,246.0,288.5,348.5,371.5
