,file,reflection_row,dl_reflection_width,dl_height_midpoint,11l,11r,10l,10r,9l,9r,8l,8r,7l,7r,6l,6r,5l,5r,4l,4r,3l,3r,2l,2r,1l,1r,edge_4_r,edge_4_l,edge_3_r,edge_3_l,edge_2_r,edge_2_l,edge_1_r,edge_1_l
0,Basler_acA2500-14um__23891378__20221121_132438230_0013.tiff,1550,1123,572,266,273,341,347,396,400,439,442,473,475,500,503,523,524,540,542,554,555,564,564,570,570,187,198,230,239,292,298,316,322
1,Basler_acA2500-14um__23891378__20221121_132438230_0014.tiff,1550,1122,571,264,273,339,346,394,400,437,441,471,475,499,502,521,524,539,541,553,554,562,563,569,569,185,197,228,238,290,298,315,322
2,Basler_acA2500-14um__23891378__20221121_132438230_0015.tiff,1550,1122,571,264,273,339,346,393,399,436,441,471,474,499,501,521,523,538,540,552,553,562,563,568,569,185,197,227,238,289,298,314,322
3,Basler_acA2500-14um__23891378__20221121_132438230_0016.tiff,1550,1122,570,263,272,339,345,394,399,436,440,470,474,498,501,520,522,538,540,551,553,561,562,567,568,185,196,228,238,289,297,314,321
4,Basler_acA2500-14um__23891378__20221121_132438230_0017.tiff,1550,1123,570,263,271,339,344,393,398,436,439,470,473,497,500,520,522,537,539,551,552,561,561,567,567,185,196,228,236,290,296,314,320
5,Basler_acA2500-14um__23891378__20221121_132438230_0018.tiff,1550,1123,568,262,270,337,343,392,397,434,438,469,472,496,499,518,520,536,538,550,551,559,560,566,566,183,194,226,235,288,295,312,319
6,Basler_acA2500-14um__23891378__20221121_132438230_0019.tiff,1550,1123,568,262,269,337,342,392,396,434,437,468,471,496,498,518,520,536,537,549,550,559,560,565,566,184,193,226,234,288,294,313,318
7,Basler_acA2500-14um__23891378__20221121_132438230_0020.tiff,1550,1122,565,257,265,333,339,388,393,430,434,465,468,492,495,515,517,533,534,546,547,556,557,562,563,177,189,221,230,283,291,308,315
8,Basler_acA2500-14um__23891378__20221121_132438230_0021.tiff,1550,1123,564,257,263,333,337,388,391,430,433,464,467,492,494,514,516,532,533,545,546,555,556,561,562,178,187,221,228,284,289,308,313
9,Basler_acA2500-14um__23891378__20221121_132438230_0022.tiff,1550,1123,562,256,263,331,336,386,390,429,432,463,465,490,492,513,514,530,532,544,545,554,554,560,560,176,186,220,228,282,288,307,312
10,Basler_acA2500-14um__23891378__20221121_132438230_0023.tiff,1550,1123,561,254,261,330,334,384,388,427,430,461,464,489,491,511,513,529,530,542,543,552,553,558,558,174,184,218,226,280,286,305,310
11,Basler_acA2500-14um__23891378__20221121_132438230_0024.tiff,1550,1123,559,252,259,327,333,383,386,425,428,459,462,487,489,509,511,527,528,540,541,550,551,556,556,172,181,215,223,278,284,303,308
12,Basler_acA2500-14um__23891378__20221121_132438230_0025.tiff,1550,1123,557,250,257,326,331,381,385,423,426,457,460,485,487,508,509,525,527,539,540,548,549,555,555,170,179,214,222,276,282,301,307
13,Basler_acA2500-14um__23891378__20221121_132438230_0026.tiff,1550,1123,555,248,254,324,328,379,383,421,424,456,458,483,485,506,507,523,525,537,538,546,547,553,553,167,176,211,219,274,280,299,304
14,Basler_acA2500-14um__23891378__20221121_132438230_0027.tiff,1550,1123,554,246,252,322,327,377,381,420,423,454,456,482,484,504,506,522,523,535,536,545,546,551,551,166,174,210,217,272,278,297,302
15,Basler_acA2500-14um__23891378__20221121_132438230_0028.tiff,1550,1122,552,244,251,320,325,375,379,418,421,452,455,480,482,502,504,520,521,534,535,543,544,550,550,163,173,208,215,270,276,295,301
16,Basler_acA2500-14um__23891378__20221121_132438230_0029.tiff,1550,1123,550,242,249,318,323,374,377,416,419,451,453,478,480,501,502,518,520,532,533,542,542,548,548,161,170,205,213,268,274,293,299
17,Basler_acA2500-14um__23891378__20221121_132438230_0030.tiff,1550,1122,549,240,246,317,321,372,376,415,418,449,451,477,479,499,501,517,518,530,531,540,541,546,547,159,167,203,211,267,272,292,297
18,Basler_acA2500-14um__23891378__20221121_132438230_0031.tiff,1550,1122,547,238,245,314,320,370,374,413,416,447,450,475,477,497,499,515,516,528,529,538,539,544,545,156,165,201,208,264,270,290,295
19,Basler_acA2500-14um__23891378__20221121_132438230_0032.tiff,1550,1122,546,236,242,313,318,368,372,411,414,446,448,473,475,496,497,514,515,527,528,537,537,543,543,155,163,199,206,263,268,288,293
20,Basler_acA2500-14um__23891378__20221121_132438230_0033.tiff,1550,1122,544,234,240,311,316,367,370,409,412,444,446,472,474,494,496,512,513,525,526,535,536,541,542,152,160,197,204,261,266,286,291
21,Basler_acA2500-14um__23891378__20221121_132438230_0034.tiff,1550,1122,542,232,239,309,314,365,369,407,411,442,444,470,472,492,494,510,511,523,524,533,534,539,540,149,158,195,202,259,265,284,289
22,Basler_acA2500-14um__23891378__20221121_132438230_0035.tiff,1550,1122,541,230,236,307,312,363,367,406,409,440,443,468,470,491,492,508,510,522,523,532,532,538,538,147,156,193,200,257,263,282,287
23,Basler_acA2500-14um__23891378__20221121_132438230_0036.tiff,1550,1122,539,228,234,305,310,361,365,404,407,438,441,466,468,489,490,507,508,520,521,530,531,536,536,144,153,191,198,255,260,280,285
24,Basler_acA2500-14um__23891378__20221121_132438230_0037.tiff,1550,1122,538,226,232,304,308,360,363,403,405,437,439,465,467,487,489,505,507,519,520,529,529,535,535,143,151,189,196,253,259,278,283
25,Basler_acA2500-14um__23891378__20221121_132438230_0038.tiff,1550,1122,536,224,230,302,306,358,361,401,404,435,438,463,465,486,487,504,505,517,518,527,528,533,533,140,149,187,194,251,257,277,282
26,Basler_acA2500-14um__23891378__20221121_132438230_0039.tiff,1550,1122,534,222,228,300,305,356,360,399,402,434,436,462,464,484,486,502,503,515,516,525,526,532,532,138,146,184,192,249,255,275,280
27,Basler_acA2500-14um__23891378__20221121_132438230_0040.tiff,1550,1122,533,220,227,299,303,355,358,398,400,432,435,460,462,483,484,501,502,514,515,524,525,530,530,135,144,182,190,248,253,273,278
28,Basler_acA2500-14um__23891378__20221121_132438230_0041.tiff,1550,1122,531,218,225,297,301,353,356,396,399,430,433,458,460,481,482,499,500,512,513,522,523,528,529,133,141,180,188,246,251,271,276
29,Basler_acA2500-14um__23891378__20221121_132438230_0042.tiff,1550,1122,529,216,222,295,299,351,355,394,397,429,431,457,459,479,481,497,498,511,512,521,521,527,527,130,139,178,185,244,249,269,274
30,Basler_acA2500-14um__23891378__20221121_132438230_0043.tiff,1550,1122,528,215,220,293,297,350,353,393,395,428,430,455,457,478,479,496,497,510,510,519,520,526,526,128,136,176,183,242,247,268,272
31,Basler_acA2500-14um__23891378__20221121_132438230_0044.tiff,1550,1122,527,213,218,292,295,348,351,391,394,426,428,454,456,477,478,495,495,508,509,518,518,524,524,126,132,174,180,240,245,266,270
32,Basler_acA2500-14um__23891378__20221121_132438230_0045.tiff,1550,1122,525,211,216,290,294,346,349,390,392,425,427,453,454,475,477,493,494,507,507,517,517,523,523,123,130,172,178,239,243,265,268
33,Basler_acA2500-14um__23891378__20221121_132438230_0046.tiff,1550,1122,524,209,214,288,292,345,348,388,391,423,425,451,453,474,475,492,493,505,506,515,515,521,522,120,127,170,176,236,241,263,267
34,Basler_acA2500-14um__23891378__20221121_132438230_0047.tiff,1550,1122,523,207,212,286,290,343,346,387,389,422,424,450,451,472,474,490,491,504,505,514,514,520,520,118,124,168,173,235,239,261,265
35,Basler_acA2500-14um__23891378__20221121_132438230_0048.tiff,1550,1122,521,205,209,285,288,342,344,385,387,420,422,448,450,471,472,489,490,503,503,512,513,518,519,115,120,166,170,233,237,259,263
36,Basler_acA2500-14um__23891378__20221121_132438230_0049.tiff,1550,1122,520,203,207,283,286,340,342,384,386,419,420,447,448,470,470,488,488,501,502,511,511,517,517,112,116,164,167,231,235,257,260
37,Basler_acA2500-14um__23891378__20221121_132438230_0050.tiff,1550,1122,518,201,205,282,285,339,341,382,384,417,419,445,447,468,469,486,487,500,500,510,510,516,516,110,114,161,165,229,233,256,259
38,Basler_acA2500-14um__23891378__20221121_132438230_0051.tiff,1550,1122,517,199,202,280,282,337,339,381,382,416,417,444,445,467,468,485,485,498,499,508,509,514,515,107,111,159,163,228,231,254,257
39,Basler_acA2500-14um__23891378__20221121_132438230_0052.tiff,1550,1122,516,197,200,278,281,336,338,379,381,414,416,443,444,466,466,484,484,497,498,507,507,513,514,104,107,157,160,226,229,252,255
40,Basler_acA2500-14um__23891378__20221121_132438230_0053.tiff,1550,1122,515,194,198,276,279,334,336,378,380,413,415,442,443,464,465,482,483,496,497,506,506,512,512,99,103,154,158,223,227,250,253
41,Basler_acA2500-14um__23891378__20221121_132438230_0054.tiff,1550,1122,513,192,194,274,276,332,334,376,378,412,413,440,441,463,464,481,482,495,495,505,505,511,511,95,96,151,153,221,223,248,250
42,Basler_acA2500-14um__23891378__20221121_132438230_0055.tiff,1550,1122,512,191,190,273,273,331,331,376,376,411,411,439,439,462,462,480,480,494,494,504,504,510,510,95,88,150,148,220,220,247,246
43,Basler_acA2500-14um__23891378__20221121_132438230_0056.tiff,1550,1122,511,188,187,272,271,330,330,374,374,409,409,438,438,461,461,479,479,493,492,502,502,509,509,89,85,147,144,218,217,245,244
44,Basler_acA2500-14um__23891378__20221121_132438230_0057.tiff,1550,1122,510,185,185,269,270,328,328,373,373,408,408,436,437,459,460,477,478,491,491,501,501,507,507,85,84,143,142,215,216,242,243
45,Basler_acA2500-14um__23891378__20221121_132438230_0058.tiff,1550,1122,508,184,182,267,268,326,326,371,371,406,406,435,435,458,458,476,476,490,490,500,500,506,506,84,80,141,139,213,213,241,241
46,Basler_acA2500-14um__23891378__20221121_132438230_0059.tiff,1550,1122,508,181,179,266,265,325,325,370,369,406,405,434,434,457,457,476,475,489,489,499,499,505,505,80,76,138,135,212,211,239,238
47,Basler_acA2500-14um__23891378__20221121_132438230_0060.tiff,1550,1122,506,179,177,264,263,323,323,368,368,404,404,433,433,456,456,474,474,488,488,498,497,504,504,77,75,135,132,209,208,237,236
48,Basler_acA2500-14um__23891378__20221121_132438230_0061.tiff,1550,1122,505,177,174,262,261,322,320,367,366,402,402,431,431,454,454,472,472,486,486,496,496,502,502,77,72,133,128,208,205,235,234
49,Basler_acA2500-14um__23891378__20221121_132438230_0062.tiff,1550,1122,504,174,172,261,259,320,319,365,365,401,401,430,429,453,453,471,471,485,485,495,495,501,501,74,70,130,125,206,203,233,232
50,Basler_acA2500-14um__23891378__20221121_132438230_0063.tiff,1550,1122,502,173,169,259,257,319,317,364,363,400,399,428,428,451,451,470,469,484,483,493,493,500,499,73,69,128,123,204,201,231,229
51,Basler_acA2500-14um__23891378__20221121_132438230_0064.tiff,1550,1122,501,170,167,257,256,317,316,363,362,398,398,428,427,451,450,469,469,483,482,493,493,499,499,70,67,125,120,201,199,229,227
52,Basler_acA2500-14um__23891378__20221121_132438230_0065.tiff,1550,1122,500,167,164,255,254,315,314,361,360,397,396,426,425,449,449,468,467,481,481,491,491,498,498,66,65,120,118,198,197,227,225
53,Basler_acA2500-14um__23891378__20221121_132438230_0066.tiff,1550,1122,499,164,160,253,251,313,312,359,358,395,394,425,424,448,447,466,466,480,480,490,490,496,496,65,62,118,113,196,193,225,223
54,Basler_acA2500-14um__23891378__20221121_132438230_0067.tiff,1550,1122,498,163,157,252,248,312,310,358,356,394,393,423,422,447,446,465,464,479,478,489,489,495,495,65,61,117,110,195,190,223,220
55,Basler_acA2500-14um__23891378__20221121_132438230_0068.tiff,1550,1122,497,158,155,249,247,310,308,356,355,393,391,422,421,445,445,464,463,478,477,488,488,494,494,62,60,112,109,191,188,220,218
56,Basler_acA2500-14um__23891378__20221121_132438230_0069.tiff,1550,1122,496,157,153,248,245,309,307,355,354,392,391,421,420,444,443,463,462,477,476,487,486,493,493,62,60,112,108,190,186,219,216
57,Basler_acA2500-14um__23891378__20221121_132438230_0070.tiff,1550,1121,494,153,151,245,243,307,305,353,353,390,389,419,419,443,442,461,461,476,475,486,485,492,492,59,59,108,106,187,184,216,214
58,Basler_acA2500-14um__23891378__20221121_132438230_0071.tiff,1550,1122,493,152,148,244,241,305,303,352,351,389,387,418,417,441,441,460,459,474,474,484,484,490,490,60,58,108,105,185,182,215,212
59,Basler_acA2500-14um__23891378__20221121_132438230_0072.tiff,1550,1121,492,148,142,241,238,304,301,351,349,387,386,417,416,441,440,459,459,473,473,484,483,490,489,56,55,103,99,182,177,212,208
60,Basler_acA2500-14um__23891378__20221121_132438230_0073.tiff,1550,1122,491,144,138,238,234,302,298,349,346,386,384,416,414,439,438,458,457,472,472,483,482,489,488,54,53,100,96,178,172,209,204
61,Basler_acA2500-14um__23891378__20221121_132438230_0074.tiff,1550,1121,490,142,136,237,231,300,296,348,344,385,382,415,412,438,437,457,456,471,470,481,481,488,487,54,52,98,94,176,169,207,201
62,Basler_acA2500-14um__23891378__20221121_132438230_0075.tiff,1550,1121,490,137,132,233,229,298,294,346,343,383,381,413,411,437,436,456,455,471,470,481,480,487,487,52,51,94,92,171,165,203,198
63,Basler_acA2500-14um__23891378__20221121_132438230_0076.tiff,1550,1121,488,136,131,232,226,296,292,344,341,382,379,412,409,436,434,455,453,469,468,479,478,485,485,52,50,94,91,169,163,201,195
64,Basler_acA2500-14um__23891378__20221121_132438230_0077.tiff,1550,1121,486,137,130,231,224,295,289,343,339,380,377,410,407,434,432,453,451,467,466,477,476,483,483,53,50,96,91,169,161,201,193
65,Basler_acA2500-14um__23891378__20221121_132438230_0078.tiff,1550,1121,485,132,129,227,222,292,288,341,337,378,376,409,406,433,431,451,450,466,465,476,475,482,482,51,50,92,90,165,160,197,191
66,Basler_acA2500-14um__23891378__20221121_132438230_0079.tiff,1550,1121,483,132,128,227,220,291,286,339,336,377,374,407,405,431,429,450,449,465,463,475,474,481,481,52,50,93,89,165,158,196,189
67,Basler_acA2500-14um__23891378__20221121_132438230_0080.tiff,1550,1122,482,132,126,225,217,290,284,338,334,376,372,406,403,430,427,449,447,463,461,473,472,479,479,52,50,93,88,164,157,195,187
68,Basler_acA2500-14um__23891378__20221121_132438230_0081.tiff,1550,1121,481,129,126,223,217,287,283,336,333,374,371,404,402,428,426,447,446,462,460,472,471,478,478,51,50,91,89,161,157,192,187
69,Basler_acA2500-14um__23891378__20221121_132438230_0082.tiff,1550,1121,480,123,123,218,214,284,281,334,331,372,370,403,401,427,426,446,445,461,460,471,470,478,477,48,49,86,87,155,154,187,183
70,Basler_acA2500-14um__23891378__20221121_132438230_0083.tiff,1550,1121,479,125,119,218,208,284,276,333,327,372,367,402,398,426,423,446,443,460,458,470,469,476,476,49,46,88,83,156,148,187,177
71,Basler_acA2500-14um__23891378__20221121_132438230_0084.tiff,1550,1121,477,124,118,216,206,282,274,332,325,370,364,401,396,425,421,444,441,458,456,469,467,475,474,49,46,87,83,155,147,185,175
72,Basler_acA2500-14um__23891378__20221121_132438230_0085.tiff,1550,1121,476,123,117,214,203,280,272,330,323,368,363,399,394,423,420,443,440,457,455,467,466,473,473,49,46,86,82,153,145,183,173
73,Basler_acA2500-14um__23891378__20221121_132438230_0086.tiff,1550,1121,474,123,116,213,200,279,269,329,321,367,360,398,392,422,418,441,438,456,453,466,464,472,471,49,45,86,81,153,143,182,171
74,Basler_acA2500-14um__23891378__20221121_132438230_0087.tiff,1550,1122,473,121,115,211,198,277,266,327,318,366,358,396,391,421,416,440,436,454,451,464,462,471,470,48,45,85,81,150,142,179,169
75,Basler_acA2500-14um__23891378__20221121_132438230_0088.tiff,1550,1120,472,119,114,208,195,275,264,325,316,364,357,395,389,419,414,439,435,453,450,463,461,469,468,47,44,84,80,148,140,177,167
76,Basler_acA2500-14um__23891378__20221121_132438230_0089.tiff,1550,1121,471,115,114,204,195,272,262,322,315,362,355,393,388,418,413,437,434,452,449,462,460,468,467,46,45,81,80,144,141,173,167
