,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221129_120151287_0015.tiff,523,265.5,329.5,375.0,410.5,438.5,462.5,481.0,495.5,506.5,515.0,520.5,197.5,234.5,287.5,308.5
1,Basler_acA2500-14um__23891378__20221129_120151287_0016.tiff,514,255.0,317.5,316.0,329.5,345.0,352.5,357.5,376.0,451.0,474.0,510.0,185.0,224.5,277.0,297.0
2,Basler_acA2500-14um__23891378__20221129_120151287_0017.tiff,515,255.0,318.5,355.5,363.0,363.0,398.0,447.5,485.0,498.0,507.0,512.5,184.0,223.0,277.0,297.0
3,Basler_acA2500-14um__23891378__20221129_120151287_0018.tiff,513,253.5,317.5,342.5,338.0,350.0,379.5,387.0,421.5,496.0,505.5,510.0,182.0,222.5,275.5,296.5
4,Basler_acA2500-14um__23891378__20221129_120151287_0019.tiff,517,259.0,323.0,369.0,404.5,433.0,456.5,475.0,489.5,501.0,509.5,514.0,189.0,227.5,281.0,302.0
5,Basler_acA2500-14um__23891378__20221129_120151287_0020.tiff,516,257.5,322.5,368.5,404.0,432.0,455.0,474.0,488.5,500.0,508.5,513.5,187.0,226.5,280.0,300.5
6,Basler_acA2500-14um__23891378__20221129_120151287_0021.tiff,513,254.0,319.0,365.5,401.0,430.0,453.0,471.5,486.5,498.0,506.0,511.5,183.5,222.5,277.0,298.0
7,Basler_acA2500-14um__23891378__20221129_120151287_0022.tiff,512,252.0,317.5,363.5,399.0,428.0,451.0,470.0,484.5,496.0,504.5,509.5,179.5,219.5,274.5,295.5
8,Basler_acA2500-14um__23891378__20221129_120151287_0023.tiff,512,254.0,318.5,364.5,400.0,428.5,451.5,470.0,485.0,496.5,504.0,509.5,184.5,222.5,276.0,297.0
9,Basler_acA2500-14um__23891378__20221129_120151287_0024.tiff,510,252.0,316.5,362.5,398.0,426.5,450.0,468.5,483.0,494.5,502.5,507.5,182.5,220.5,274.0,295.5
10,Basler_acA2500-14um__23891378__20221129_120151287_0025.tiff,508,249.5,314.5,360.5,396.0,424.5,447.5,466.0,481.0,492.5,500.5,505.5,179.5,218.0,271.5,292.5
11,Basler_acA2500-14um__23891378__20221129_120151287_0026.tiff,506,247.0,312.5,358.5,394.0,423.0,445.5,464.5,479.5,490.5,499.0,504.0,176.5,215.5,269.5,290.5
12,Basler_acA2500-14um__23891378__20221129_120151287_0027.tiff,504,245.0,310.0,356.5,392.0,420.5,443.5,462.5,477.0,488.5,497.0,502.0,173.0,212.5,267.0,288.5
13,Basler_acA2500-14um__23891378__20221129_120151287_0028.tiff,503,242.5,307.5,354.5,390.5,419.0,441.5,461.0,475.5,486.5,495.0,500.0,170.5,210.5,265.0,286.0
14,Basler_acA2500-14um__23891378__20221129_120151287_0029.tiff,501,240.0,305.5,352.0,388.0,416.5,439.5,458.5,473.5,484.5,493.0,498.5,167.0,207.5,262.5,283.5
15,Basler_acA2500-14um__23891378__20221129_120151287_0030.tiff,499,237.0,303.5,350.5,386.0,415.0,438.5,457.0,472.0,483.0,491.0,496.5,165.0,204.5,260.0,281.5
16,Basler_acA2500-14um__23891378__20221129_120151287_0031.tiff,497,235.0,301.5,348.5,384.0,413.0,436.5,455.0,470.0,481.0,489.0,494.5,161.5,201.5,257.5,279.5
17,Basler_acA2500-14um__23891378__20221129_120151287_0032.tiff,495,233.0,299.5,346.5,382.0,411.0,434.5,453.0,468.0,479.5,487.5,492.5,158.0,199.5,255.5,277.5
18,Basler_acA2500-14um__23891378__20221129_120151287_0033.tiff,493,230.0,297.5,344.5,380.0,409.0,432.5,451.0,466.0,477.5,486.0,491.0,155.5,197.0,253.5,275.0
19,Basler_acA2500-14um__23891378__20221129_120151287_0034.tiff,492,228.0,295.0,342.0,378.0,407.0,430.5,449.5,464.0,475.5,484.0,489.5,152.0,194.5,250.5,272.5
20,Basler_acA2500-14um__23891378__20221129_120151287_0035.tiff,490,225.5,293.0,340.0,376.5,405.5,428.5,448.0,462.5,474.5,482.0,487.5,149.0,191.5,249.0,270.5
21,Basler_acA2500-14um__23891378__20221129_120151287_0036.tiff,488,223.0,290.5,338.5,374.5,403.5,427.0,446.0,461.0,472.5,480.5,485.5,145.5,188.5,246.5,268.0
22,Basler_acA2500-14um__23891378__20221129_120151287_0037.tiff,486,219.5,288.5,336.0,373.0,402.0,425.0,444.5,459.0,470.5,479.0,484.0,142.5,186.0,244.0,266.0
23,Basler_acA2500-14um__23891378__20221129_120151287_0038.tiff,485,217.5,286.5,334.0,370.5,399.5,423.0,442.5,457.0,468.5,477.0,482.5,139.0,183.0,241.5,263.5
24,Basler_acA2500-14um__23891378__20221129_120151287_0039.tiff,483,215.0,284.0,332.0,369.0,398.0,421.5,440.5,455.0,466.5,475.0,480.5,134.0,179.5,239.5,261.5
25,Basler_acA2500-14um__23891378__20221129_120151287_0040.tiff,481,212.5,282.0,330.0,367.0,396.0,420.0,438.5,454.0,465.5,473.0,478.5,132.5,177.5,236.5,259.0
26,Basler_acA2500-14um__23891378__20221129_120151287_0041.tiff,479,210.5,280.0,328.0,365.0,394.0,418.0,437.0,452.0,463.5,472.0,477.5,128.5,174.5,234.5,257.0
27,Basler_acA2500-14um__23891378__20221129_120151287_0042.tiff,478,207.5,278.0,325.5,363.0,392.0,416.5,435.0,450.5,461.5,470.0,475.5,125.0,171.0,232.0,254.5
28,Basler_acA2500-14um__23891378__20221129_120151287_0043.tiff,476,204.5,275.5,324.5,361.0,391.0,414.5,433.5,448.5,460.5,468.5,473.5,121.5,168.5,229.5,252.5
