,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221122_152812666_0017.tiff,533,186.5,276.0,338.0,385.5,423.5,454.0,479.0,498.5,513.0,523.5,529.5,85.0,143.5,221.0,250.0
1,Basler_acA2500-14um__23891378__20221122_152812666_0018.tiff,532,186.5,278.0,341.0,388.0,425.5,456.0,479.5,498.5,513.5,523.5,529.5,81.0,142.5,222.0,252.0
2,Basler_acA2500-14um__23891378__20221122_152812666_0019.tiff,531,186.0,277.5,340.0,387.0,425.0,455.0,478.5,498.0,512.5,522.5,528.5,80.0,142.0,221.5,251.5
3,Basler_acA2500-14um__23891378__20221122_152812666_0020.tiff,530,186.0,277.0,339.0,387.0,424.5,454.0,478.5,497.5,511.5,522.0,528.0,80.0,142.0,221.0,251.0
4,Basler_acA2500-14um__23891378__20221122_152812666_0021.tiff,529,184.5,275.5,338.0,385.0,423.0,453.0,477.0,495.5,510.0,520.0,527.0,78.0,139.5,219.5,249.5
5,Basler_acA2500-14um__23891378__20221122_152812666_0022.tiff,528,183.0,274.5,336.5,384.0,421.5,451.5,475.5,494.5,509.0,519.0,525.0,79.0,139.0,218.0,248.5
6,Basler_acA2500-14um__23891378__20221122_152812666_0023.tiff,526,182.0,272.5,335.5,382.5,420.5,450.5,474.5,493.0,507.5,517.5,524.0,78.0,137.5,217.0,247.0
7,Basler_acA2500-14um__23891378__20221122_152812666_0024.tiff,524,179.5,270.0,333.0,380.0,417.5,447.5,471.5,490.5,505.0,515.5,521.5,75.0,135.0,214.5,244.5
8,Basler_acA2500-14um__23891378__20221122_152812666_0025.tiff,523,178.5,269.5,331.5,379.0,417.0,446.5,471.0,489.5,504.0,514.5,520.5,76.5,135.0,213.5,243.5
9,Basler_acA2500-14um__23891378__20221122_152812666_0026.tiff,521,176.5,267.5,329.5,377.0,414.5,444.5,468.5,487.5,502.0,512.5,519.0,74.0,133.0,212.0,241.5
10,Basler_acA2500-14um__23891378__20221122_152812666_0027.tiff,519,174.5,265.5,328.0,375.5,412.5,443.0,466.5,486.0,500.5,510.5,516.5,72.5,131.0,210.0,239.5
11,Basler_acA2500-14um__23891378__20221122_152812666_0028.tiff,517,173.0,263.5,326.0,373.5,411.0,441.0,465.5,483.5,498.5,508.5,515.0,72.0,130.0,208.0,238.0
