,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
0,Basler_acA2500-14um__23891378__20221123_130239888_0012.tiff,611,391.0,441.0,479.5,510.5,536.0,556.5,573.5,587.0,597.5,604.5,609.5,347.0,369.5,407.5,423.5
1,Basler_acA2500-14um__23891378__20221123_130239888_0013.tiff,611,391.5,440.5,479.5,510.5,535.5,556.5,573.5,587.0,597.0,604.5,609.0,347.0,370.0,407.0,423.5
2,Basler_acA2500-14um__23891378__20221123_130239888_0014.tiff,611,391.5,441.0,479.5,510.5,535.5,556.5,573.5,586.5,597.0,604.0,609.0,347.5,370.0,407.5,423.5
3,Basler_acA2500-14um__23891378__20221123_130239888_0015.tiff,610,390.5,440.0,479.0,510.0,535.5,556.0,573.0,586.5,596.5,604.0,608.0,346.5,369.0,407.0,423.0
4,Basler_acA2500-14um__23891378__20221123_130239888_0016.tiff,610,390.0,439.5,478.5,509.0,534.5,555.5,572.5,585.5,596.0,603.0,608.0,346.5,368.5,406.5,422.5
5,Basler_acA2500-14um__23891378__20221123_130239888_0017.tiff,609,389.0,438.5,477.0,508.0,533.5,554.5,571.5,584.5,595.0,602.0,607.0,344.5,367.5,405.0,421.5
6,Basler_acA2500-14um__23891378__20221123_130239888_0018.tiff,608,388.0,437.5,477.0,507.5,533.0,553.5,570.5,584.0,594.0,601.5,606.0,344.0,366.0,404.0,420.5
7,Basler_acA2500-14um__23891378__20221123_130239888_0019.tiff,606,385.5,435.5,474.5,505.0,531.0,551.5,568.5,582.0,592.0,599.5,604.0,341.0,363.5,402.0,418.0
8,Basler_acA2500-14um__23891378__20221123_130239888_0020.tiff,605,384.0,434.0,473.0,504.0,529.5,550.5,567.5,580.5,591.0,598.5,603.0,339.0,362.0,400.5,416.5
9,Basler_acA2500-14um__23891378__20221123_130239888_0021.tiff,604,382.5,432.5,472.0,503.0,528.5,549.5,566.5,579.5,590.0,597.5,602.0,338.0,360.5,399.0,415.5
10,Basler_acA2500-14um__23891378__20221123_130239888_0022.tiff,602,380.0,430.5,470.0,501.0,526.5,547.5,564.5,578.0,588.5,595.5,600.0,335.0,358.5,397.0,413.5
11,Basler_acA2500-14um__23891378__20221123_130239888_0023.tiff,601,378.5,429.0,468.5,499.0,525.0,546.0,563.0,576.5,586.5,594.0,599.0,333.0,356.5,395.0,411.5
12,Basler_acA2500-14um__23891378__20221123_130239888_0024.tiff,599,376.5,427.0,466.5,498.0,523.5,544.5,561.5,575.0,585.0,592.5,597.0,331.0,354.5,393.0,409.5
13,Basler_acA2500-14um__23891378__20221123_130239888_0025.tiff,598,374.5,425.5,465.0,496.0,522.0,543.0,559.5,573.5,584.0,591.0,596.0,328.5,352.5,391.0,408.0
14,Basler_acA2500-14um__23891378__20221123_130239888_0026.tiff,596,372.5,423.5,463.0,494.0,520.0,541.5,558.5,572.0,582.0,589.5,594.0,326.0,350.0,389.0,406.0
15,Basler_acA2500-14um__23891378__20221123_130239888_0027.tiff,595,370.5,421.5,461.5,493.0,518.5,539.5,556.5,570.5,580.5,588.0,593.0,323.5,348.0,387.0,404.0
16,Basler_acA2500-14um__23891378__20221123_130239888_0028.tiff,593,368.5,420.0,459.5,491.0,517.0,538.0,555.5,568.5,579.0,586.5,591.0,321.5,345.5,385.0,402.0
17,Basler_acA2500-14um__23891378__20221123_130239888_0029.tiff,591,366.0,418.0,457.5,489.0,515.0,536.5,553.5,567.0,577.5,585.0,589.5,318.5,343.5,383.0,400.0
18,Basler_acA2500-14um__23891378__20221123_130239888_0030.tiff,590,364.0,416.0,456.5,488.0,514.0,535.0,552.5,565.5,576.5,583.5,588.0,317.0,341.0,381.0,398.0
19,Basler_acA2500-14um__23891378__20221123_130239888_0031.tiff,589,362.0,414.0,454.5,486.0,512.0,533.5,550.5,564.5,574.5,582.0,587.0,314.5,339.0,379.5,396.0
20,Basler_acA2500-14um__23891378__20221123_130239888_0032.tiff,587,360.5,412.5,453.0,485.0,511.0,532.0,549.5,563.0,573.5,581.0,585.5,312.5,337.0,377.5,394.0
21,Basler_acA2500-14um__23891378__20221123_130239888_0033.tiff,586,358.0,411.0,451.5,483.0,509.0,530.5,547.5,561.5,572.0,579.5,584.0,309.5,335.0,375.0,392.5
22,Basler_acA2500-14um__23891378__20221123_130239888_0034.tiff,585,356.0,409.0,449.5,481.5,508.0,529.0,546.5,560.5,570.5,578.0,582.5,307.0,333.0,373.5,390.5
23,Basler_acA2500-14um__23891378__20221123_130239888_0035.tiff,583,354.0,407.0,448.0,480.0,506.0,527.5,545.0,558.5,569.0,576.5,581.0,305.0,330.5,371.5,389.0
24,Basler_acA2500-14um__23891378__20221123_130239888_0036.tiff,582,352.0,405.0,446.5,478.5,505.0,526.0,543.5,557.5,567.5,575.0,580.0,302.5,328.0,369.5,387.0
25,Basler_acA2500-14um__23891378__20221123_130239888_0037.tiff,581,350.0,404.0,444.5,477.0,503.0,525.0,542.5,556.0,566.5,574.0,579.0,300.0,326.0,367.5,385.0
26,Basler_acA2500-14um__23891378__20221123_130239888_0038.tiff,579,348.0,402.0,443.5,475.5,502.0,523.5,540.5,554.5,565.0,572.5,577.5,298.0,324.5,365.5,383.5
27,Basler_acA2500-14um__23891378__20221123_130239888_0039.tiff,578,345.5,400.5,441.5,474.0,500.5,522.0,539.5,553.5,563.5,571.5,576.0,295.5,321.5,364.0,381.5
28,Basler_acA2500-14um__23891378__20221123_130239888_0040.tiff,577,343.5,398.5,440.0,472.5,499.0,521.0,538.0,552.5,562.5,570.5,575.0,292.5,320.0,362.0,380.0
29,Basler_acA2500-14um__23891378__20221123_130239888_0041.tiff,576,341.5,396.5,439.0,471.5,498.0,519.0,537.0,551.0,561.5,569.0,574.0,290.0,317.0,360.0,378.0
30,Basler_acA2500-14um__23891378__20221123_130239888_0042.tiff,574,340.0,395.0,437.0,469.5,496.5,518.0,536.0,549.5,560.5,568.0,572.5,288.0,315.0,358.0,376.0
31,Basler_acA2500-14um__23891378__20221123_130239888_0043.tiff,573,338.0,393.5,436.0,468.5,495.0,517.0,534.5,548.5,558.5,566.5,571.5,285.5,313.5,356.5,375.0
32,Basler_acA2500-14um__23891378__20221123_130239888_0044.tiff,572,336.0,392.0,434.0,467.0,494.0,516.0,533.0,547.5,557.5,565.5,570.5,283.0,311.0,354.5,373.0
33,Basler_acA2500-14um__23891378__20221123_130239888_0045.tiff,571,334.0,390.5,433.0,465.5,493.0,515.0,532.0,546.5,556.5,564.5,569.5,280.5,308.5,353.0,371.0
34,Basler_acA2500-14um__23891378__20221123_130239888_0046.tiff,570,332.0,388.5,431.5,464.5,491.5,513.5,531.0,545.5,555.5,563.5,568.0,278.0,306.5,351.0,369.5
35,Basler_acA2500-14um__23891378__20221123_130239888_0047.tiff,569,330.0,387.0,430.0,463.5,490.0,512.0,530.0,544.5,554.5,562.5,567.5,275.0,304.0,349.0,367.5
36,Basler_acA2500-14um__23891378__20221123_130239888_0048.tiff,568,328.0,385.0,428.5,462.0,489.0,511.0,528.5,543.5,553.5,561.5,566.0,272.5,301.5,347.0,366.0
37,Basler_acA2500-14um__23891378__20221123_130239888_0049.tiff,567,325.5,383.5,427.0,461.0,488.0,510.0,527.5,542.0,552.5,560.5,565.0,269.0,299.0,345.0,364.0
38,Basler_acA2500-14um__23891378__20221123_130239888_0050.tiff,566,324.0,382.0,425.5,459.5,487.0,509.0,526.5,541.0,551.5,559.5,564.5,266.5,296.5,343.5,362.5
39,Basler_acA2500-14um__23891378__20221123_130239888_0051.tiff,565,321.0,380.5,424.0,457.5,485.5,508.0,525.5,540.0,550.5,558.5,563.0,263.0,294.0,341.5,360.0
40,Basler_acA2500-14um__23891378__20221123_130239888_0052.tiff,564,320.0,379.0,422.5,457.0,484.5,506.5,524.5,539.0,550.0,557.5,562.5,260.5,291.5,339.5,359.0
41,Basler_acA2500-14um__23891378__20221123_130239888_0053.tiff,563,317.0,376.5,421.0,455.5,483.0,505.5,523.5,538.0,549.0,556.5,561.0,257.0,289.0,337.0,356.5
42,Basler_acA2500-14um__23891378__20221123_130239888_0054.tiff,563,315.0,375.5,420.0,454.5,482.0,504.0,522.5,537.0,547.5,555.5,560.5,253.5,286.0,335.5,355.0
43,Basler_acA2500-14um__23891378__20221123_130239888_0055.tiff,561,312.0,373.5,418.5,453.0,480.5,503.5,522.0,536.0,546.5,554.5,559.5,250.0,283.5,333.5,353.0
44,Basler_acA2500-14um__23891378__20221123_130239888_0056.tiff,561,310.5,372.0,417.0,451.5,480.0,502.0,520.5,535.5,546.0,554.0,559.0,247.0,281.0,331.0,351.0
45,Basler_acA2500-14um__23891378__20221123_130239888_0057.tiff,560,308.5,370.0,415.5,450.5,479.0,501.5,519.5,534.5,545.0,553.0,558.0,243.5,278.5,329.5,349.5
46,Basler_acA2500-14um__23891378__20221123_130239888_0058.tiff,559,306.0,369.0,414.5,449.0,477.5,500.5,518.5,533.5,544.5,552.0,557.0,240.0,275.5,327.5,348.0
47,Basler_acA2500-14um__23891378__20221123_130239888_0059.tiff,558,303.5,367.0,413.0,448.0,476.5,499.5,517.5,532.5,543.5,551.5,556.5,236.0,272.5,325.5,346.0
48,Basler_acA2500-14um__23891378__20221123_130239888_0060.tiff,558,300.5,365.0,411.0,447.0,475.5,498.5,517.0,531.5,542.5,550.5,555.5,231.5,269.0,323.0,343.5
49,Basler_acA2500-14um__23891378__20221123_130239888_0061.tiff,557,298.0,363.5,410.0,446.0,474.5,497.5,515.5,530.5,541.5,549.5,555.0,227.5,266.5,320.5,341.5
50,Basler_acA2500-14um__23891378__20221123_130239888_0062.tiff,556,296.0,361.5,408.5,444.5,473.5,496.5,515.0,530.0,541.0,549.0,554.0,223.0,263.5,318.5,340.0
51,Basler_acA2500-14um__23891378__20221123_130239888_0063.tiff,555,292.5,359.5,407.0,443.5,472.5,495.5,514.5,529.0,540.0,548.0,553.0,218.0,260.0,316.0,337.5
52,Basler_acA2500-14um__23891378__20221123_130239888_0064.tiff,555,289.5,357.5,406.0,442.5,471.5,494.5,513.5,528.5,539.5,548.0,553.0,211.0,255.5,313.5,335.5
53,Basler_acA2500-14um__23891378__20221123_130239888_0065.tiff,554,286.5,356.0,404.0,441.0,470.5,494.0,512.5,528.0,539.0,547.0,552.0,205.0,251.5,311.0,333.5
54,Basler_acA2500-14um__23891378__20221123_130239888_0066.tiff,553,283.5,354.0,402.5,440.0,469.0,493.0,512.0,527.0,538.0,546.0,551.0,199.0,247.5,308.5,331.0
55,Basler_acA2500-14um__23891378__20221123_130239888_0067.tiff,552,281.0,352.0,401.0,438.5,468.0,492.0,511.0,526.0,537.0,545.0,550.0,192.5,244.0,306.0,329.0
56,Basler_acA2500-14um__23891378__20221123_130239888_0068.tiff,552,278.0,350.0,399.5,437.0,467.0,491.0,510.0,525.0,536.5,545.0,550.0,185.0,239.5,303.0,326.5
57,Basler_acA2500-14um__23891378__20221123_130239888_0069.tiff,551,274.0,348.0,397.5,436.0,465.5,490.0,509.0,524.5,536.0,544.0,549.0,172.5,234.5,300.0,324.0
58,Basler_acA2500-14um__23891378__20221123_130239888_0070.tiff,551,270.0,345.5,396.0,434.5,465.0,489.0,508.0,523.5,535.0,543.0,549.0,158.5,228.5,296.5,321.0
59,Basler_acA2500-14um__23891378__20221123_130239888_0071.tiff,550,266.5,343.0,394.0,433.0,463.5,488.0,507.0,522.5,534.0,542.5,548.0,146.0,223.5,293.5,318.5
60,Basler_acA2500-14um__23891378__20221123_130239888_0072.tiff,549,262.5,340.5,392.5,431.5,462.5,487.0,506.5,522.0,534.0,542.0,547.0,132.5,218.0,290.5,316.0
