,file,reflection_row,dl_reflection_width,dl_height_midpoint,11l,11r,10l,10r,9l,9r,8l,8r,7l,7r,6l,6r,5l,5r,4l,4r,3l,3r,2l,2r,1l,1r,edge_4_r,edge_4_l,edge_3_r,edge_3_l,edge_2_r,edge_2_l,edge_1_r,edge_1_l
0,Basler_acA2500-14um__23891378__20221128_122919004_0013.tiff,1549,884,573,358,326,409,385,447,429,478,463,503,490,523,513,540,531,552,546,562,557,568,565,572,570,312,269,336,299,375,346,391,365
1,Basler_acA2500-14um__23891378__20221128_122919004_0014.tiff,1549,885,572,357,325,408,384,446,428,477,462,502,490,522,512,538,530,551,545,560,556,567,564,571,569,312,268,335,298,374,345,390,364
2,Basler_acA2500-14um__23891378__20221128_122919004_0015.tiff,1549,887,571,357,325,407,383,446,427,477,461,501,489,521,511,538,529,550,544,560,555,567,563,570,568,311,267,335,298,373,344,390,363
3,Basler_acA2500-14um__23891378__20221128_122919004_0016.tiff,1549,889,570,357,324,408,383,446,426,476,461,501,488,521,510,538,529,550,543,559,555,566,563,569,568,312,267,335,298,374,344,390,363
4,Basler_acA2500-14um__23891378__20221128_122919004_0017.tiff,1549,889,569,356,323,407,382,445,426,475,459,500,487,520,510,536,528,549,542,558,554,565,562,569,567,311,266,334,296,373,343,389,362
5,Basler_acA2500-14um__23891378__20221128_122919004_0018.tiff,1549,889,567,354,320,404,379,443,423,473,457,498,485,518,508,534,526,547,540,556,552,563,560,567,565,308,262,331,293,370,340,387,359
6,Basler_acA2500-14um__23891378__20221128_122919004_0019.tiff,1549,890,567,352,319,403,378,442,422,472,457,497,484,517,507,534,525,546,540,556,551,562,559,566,564,307,261,330,292,369,339,386,358
7,Basler_acA2500-14um__23891378__20221128_122919004_0020.tiff,1549,891,565,352,317,402,377,441,420,471,455,496,483,516,505,532,523,545,538,554,549,561,557,564,562,305,259,329,290,368,337,385,357
8,Basler_acA2500-14um__23891378__20221128_122919004_0021.tiff,1549,891,563,350,316,400,375,439,419,469,453,494,481,514,504,531,522,543,537,553,548,559,556,563,561,303,257,327,288,366,335,383,355
9,Basler_acA2500-14um__23891378__20221128_122919004_0022.tiff,1549,892,562,348,313,398,373,437,417,468,451,492,479,513,502,529,520,542,535,551,546,558,554,561,560,301,254,325,285,364,333,381,353
10,Basler_acA2500-14um__23891378__20221128_122919004_0023.tiff,1549,892,560,345,311,396,371,435,415,466,450,491,477,511,500,527,519,540,533,549,544,556,553,560,558,299,252,323,283,362,331,379,351
11,Basler_acA2500-14um__23891378__20221128_122919004_0024.tiff,1549,891,559,343,309,394,369,433,413,464,448,489,476,510,498,526,517,538,532,548,543,554,551,558,556,297,249,321,281,360,329,377,349
12,Basler_acA2500-14um__23891378__20221128_122919004_0025.tiff,1549,892,557,341,306,393,367,432,411,462,446,487,474,508,497,524,515,537,530,546,541,553,549,556,555,294,246,319,278,358,327,375,346
13,Basler_acA2500-14um__23891378__20221128_122919004_0026.tiff,1549,892,556,339,305,391,365,430,409,461,444,486,472,506,495,522,513,535,528,545,540,551,548,555,553,292,243,317,276,356,325,373,345
14,Basler_acA2500-14um__23891378__20221128_122919004_0027.tiff,1549,892,554,337,302,389,363,428,407,459,442,484,470,504,493,521,512,533,527,543,538,549,546,553,551,290,240,314,273,354,322,371,342
15,Basler_acA2500-14um__23891378__20221128_122919004_0028.tiff,1549,891,552,335,300,387,361,426,406,457,440,482,469,503,492,519,510,532,525,541,536,548,544,551,550,287,237,312,270,352,320,369,340
16,Basler_acA2500-14um__23891378__20221128_122919004_0029.tiff,1549,1,551,333,297,385,359,424,404,455,439,480,467,501,490,517,508,530,523,540,535,546,543,550,548,284,234,310,268,350,318,367,338
17,Basler_acA2500-14um__23891378__20221128_122919004_0030.tiff,1549,891,549,331,295,383,357,423,402,453,437,479,465,500,488,516,507,529,522,538,533,545,541,548,547,282,231,308,266,348,316,365,336
18,Basler_acA2500-14um__23891378__20221128_122919004_0031.tiff,1549,892,548,329,293,381,355,421,400,452,435,477,464,498,487,514,505,527,520,537,531,543,540,547,545,280,228,305,263,346,314,363,334
19,Basler_acA2500-14um__23891378__20221128_122919004_0032.tiff,1549,890,546,327,290,379,353,419,398,450,434,476,462,496,485,513,504,525,519,535,530,542,538,545,543,277,226,303,260,344,312,361,332
20,Basler_acA2500-14um__23891378__20221128_122919004_0033.tiff,1549,891,545,325,288,377,351,417,396,449,432,474,460,495,483,511,502,524,517,534,528,540,537,544,542,275,222,301,258,342,309,359,330
21,Basler_acA2500-14um__23891378__20221128_122919004_0034.tiff,1549,890,543,322,286,375,349,415,395,447,430,473,459,493,482,510,501,522,515,532,527,539,535,542,541,272,219,299,255,340,307,357,328
22,Basler_acA2500-14um__23891378__20221128_122919004_0035.tiff,1549,891,542,321,283,374,347,414,393,445,429,471,457,492,480,508,499,521,514,531,525,537,534,541,539,271,216,296,252,338,305,356,326
23,Basler_acA2500-14um__23891378__20221128_122919004_0036.tiff,1549,891,540,318,280,372,344,412,391,444,427,470,455,490,478,507,497,520,512,529,524,536,532,539,537,268,212,295,249,337,302,354,323
