,file,reference_row,dl_width,dl_height_abs,dl_height_midpoint
0,Basler_acA2500-14um__23891378__20220725_125100079_0017.tiff,706,1131,572,572
1,Basler_acA2500-14um__23891378__20220725_125100079_0020.tiff,706,1130,570,570
2,Basler_acA2500-14um__23891378__20220725_125100079_0025.tiff,706,1129,562,562
3,Basler_acA2500-14um__23891378__20220725_125100079_0030.tiff,706,1128,555,554
4,Basler_acA2500-14um__23891378__20220725_125100079_0035.tiff,706,1126,547,546
5,Basler_acA2500-14um__23891378__20220725_125100079_0040.tiff,706,1126,539,539
6,Basler_acA2500-14um__23891378__20220725_125100079_0045.tiff,706,1125,531,531
7,Basler_acA2500-14um__23891378__20220725_125100079_0050.tiff,706,1124,523,523
8,Basler_acA2500-14um__23891378__20220725_125100079_0055.tiff,706,1124,516,515
9,Basler_acA2500-14um__23891378__20220725_125100079_0060.tiff,706,1124,508,508
10,Basler_acA2500-14um__23891378__20220725_125100079_0065.tiff,706,1123,504,504
11,Basler_acA2500-14um__23891378__20220725_125100079_0070.tiff,706,1123,495,495
12,Basler_acA2500-14um__23891378__20220725_125100079_0075.tiff,706,1124,487,487
13,Basler_acA2500-14um__23891378__20220725_125100079_0080.tiff,706,1123,481,481
14,Basler_acA2500-14um__23891378__20220725_125100079_0085.tiff,706,1123,475,475
15,Basler_acA2500-14um__23891378__20220725_125100079_0090.tiff,706,1123,469,469
16,Basler_acA2500-14um__23891378__20220725_125100079_0095.tiff,706,1122,463,463
17,Basler_acA2500-14um__23891378__20220725_125100079_0100.tiff,706,1123,457,457
18,Basler_acA2500-14um__23891378__20220725_125100079_0105.tiff,706,1122,452,452
19,Basler_acA2500-14um__23891378__20220725_125100079_0110.tiff,706,1121,444,443
20,Basler_acA2500-14um__23891378__20220725_125100079_0115.tiff,706,1122,435,435
21,Basler_acA2500-14um__23891378__20220725_125100079_0120.tiff,706,1121,428,428
22,Basler_acA2500-14um__23891378__20220725_125100079_0125.tiff,706,1121,420,420
23,Basler_acA2500-14um__23891378__20220725_125100079_0130.tiff,706,1121,412,411
24,Basler_acA2500-14um__23891378__20220725_125100079_0135.tiff,706,1121,401,401
25,Basler_acA2500-14um__23891378__20220725_125100079_0140.tiff,706,1121,391,390
26,Basler_acA2500-14um__23891378__20220725_125100079_0145.tiff,706,1121,376,376
27,Basler_acA2500-14um__23891378__20220725_125100079_0150.tiff,706,1121,362,362
28,Basler_acA2500-14um__23891378__20220725_125100079_0155.tiff,706,1121,332,332
29,Basler_acA2500-14um__23891378__20220725_125100079_0160.tiff,706,1121,312,310
