,file,reference_row,dl_width,dl_height_abs,dl_height_midpoint
0,Basler_acA2500-14um__23891378__20220725_120736055_0016.tiff,639,1073,570,570
1,Basler_acA2500-14um__23891378__20220725_120736055_0019.tiff,639,1073,567,567
2,Basler_acA2500-14um__23891378__20220725_120736055_0024.tiff,639,1073,560,560
3,Basler_acA2500-14um__23891378__20220725_120736055_0029.tiff,639,1073,552,552
4,Basler_acA2500-14um__23891378__20220725_120736055_0034.tiff,639,1072,544,544
5,Basler_acA2500-14um__23891378__20220725_120736055_0039.tiff,639,1072,536,535
6,Basler_acA2500-14um__23891378__20220725_120736055_0044.tiff,639,1072,527,527
7,Basler_acA2500-14um__23891378__20220725_120736055_0049.tiff,639,1071,519,519
8,Basler_acA2500-14um__23891378__20220725_120736055_0054.tiff,639,1071,511,510
9,Basler_acA2500-14um__23891378__20220725_120736055_0059.tiff,639,1070,502,502
10,Basler_acA2500-14um__23891378__20220725_120736055_0064.tiff,639,1070,494,494
11,Basler_acA2500-14um__23891378__20220725_120736055_0069.tiff,639,1070,486,486
12,Basler_acA2500-14um__23891378__20220725_120736055_0074.tiff,639,1070,478,478
13,Basler_acA2500-14um__23891378__20220725_120736055_0079.tiff,639,1069,470,469
14,Basler_acA2500-14um__23891378__20220725_120736055_0084.tiff,639,1069,462,462
15,Basler_acA2500-14um__23891378__20220725_120736055_0089.tiff,639,1069,454,454
16,Basler_acA2500-14um__23891378__20220725_120736055_0094.tiff,639,1069,447,447
17,Basler_acA2500-14um__23891378__20220725_120736055_0099.tiff,639,1069,439,439
18,Basler_acA2500-14um__23891378__20220725_120736055_0104.tiff,639,1068,432,432
19,Basler_acA2500-14um__23891378__20220725_120736055_0109.tiff,639,1068,424,424
20,Basler_acA2500-14um__23891378__20220725_120736055_0114.tiff,639,1067,418,418
21,Basler_acA2500-14um__23891378__20220725_120736055_0119.tiff,639,1067,409,409
22,Basler_acA2500-14um__23891378__20220725_120736055_0124.tiff,639,1067,403,403
23,Basler_acA2500-14um__23891378__20220725_120736055_0129.tiff,639,1067,395,395
24,Basler_acA2500-14um__23891378__20220725_120736055_0134.tiff,639,1067,389,388
25,Basler_acA2500-14um__23891378__20220725_120736055_0139.tiff,639,1067,380,380
26,Basler_acA2500-14um__23891378__20220725_120736055_0144.tiff,639,1067,372,372
27,Basler_acA2500-14um__23891378__20220725_120736055_0149.tiff,639,1067,364,364
28,Basler_acA2500-14um__23891378__20220725_120736055_0154.tiff,639,1067,356,356
29,Basler_acA2500-14um__23891378__20220725_120736055_0159.tiff,639,1067,346,346
30,Basler_acA2500-14um__23891378__20220725_120736055_0164.tiff,639,1067,337,337
31,Basler_acA2500-14um__23891378__20220725_120736055_0169.tiff,639,1066,328,328
32,Basler_acA2500-14um__23891378__20220725_120736055_0174.tiff,639,1066,317,317
33,Basler_acA2500-14um__23891378__20220725_120736055_0179.tiff,639,1067,306,306
34,Basler_acA2500-14um__23891378__20220725_120736055_0184.tiff,639,1066,296,296
35,Basler_acA2500-14um__23891378__20220725_120736055_0189.tiff,639,1066,285,285
36,Basler_acA2500-14um__23891378__20220725_120736055_0194.tiff,639,1065,270,270
37,Basler_acA2500-14um__23891378__20220725_120736055_0199.tiff,639,1066,254,254
38,Basler_acA2500-14um__23891378__20220725_120736055_0204.tiff,639,1066,243,243
39,Basler_acA2500-14um__23891378__20220725_120736055_0209.tiff,639,1065,221,221
40,Basler_acA2500-14um__23891378__20220725_120736055_0214.tiff,639,1066,207,207
41,Basler_acA2500-14um__23891378__20220725_120736055_0219.tiff,639,1066,182,182
42,Basler_acA2500-14um__23891378__20220725_120736055_0224.tiff,639,1065,164,164
43,Basler_acA2500-14um__23891378__20220725_120736055_0229.tiff,639,1066,130,129
44,Basler_acA2500-14um__23891378__20220725_120736055_0234.tiff,639,1065,120,117
45,Basler_acA2500-14um__23891378__20220725_120736055_0239.tiff,639,1065,137,117
46,Basler_acA2500-14um__23891378__20220725_120736055_0244.tiff,639,1065,133,108
47,Basler_acA2500-14um__23891378__20220725_120736055_0249.tiff,639,1064,129,126
48,Basler_acA2500-14um__23891378__20220725_120736055_0254.tiff,639,1065,125,122
49,Basler_acA2500-14um__23891378__20220725_120736055_0259.tiff,639,1065,122,118
50,Basler_acA2500-14um__23891378__20220725_120736055_0264.tiff,639,1064,119,115
51,Basler_acA2500-14um__23891378__20220725_120736055_0269.tiff,639,1065,116,113
52,Basler_acA2500-14um__23891378__20220725_120736055_0274.tiff,639,1065,114,110
53,Basler_acA2500-14um__23891378__20220725_120736055_0279.tiff,639,1064,112,108
54,Basler_acA2500-14um__23891378__20220725_120736055_0284.tiff,639,1064,110,105
55,Basler_acA2500-14um__23891378__20220725_120736055_0289.tiff,639,1064,108,103
56,Basler_acA2500-14um__23891378__20220725_120736055_0294.tiff,639,1064,105,101
57,Basler_acA2500-14um__23891378__20220725_120736055_0299.tiff,639,1064,104,99
58,Basler_acA2500-14um__23891378__20220725_120736055_0304.tiff,639,1064,102,98
59,Basler_acA2500-14um__23891378__20220725_120736055_0309.tiff,639,1064,101,96
60,Basler_acA2500-14um__23891378__20220725_120736055_0314.tiff,639,1064,99,94
61,Basler_acA2500-14um__23891378__20220725_120736055_0319.tiff,639,1064,98,93
62,Basler_acA2500-14um__23891378__20220725_120736055_0324.tiff,639,1064,97,91
63,Basler_acA2500-14um__23891378__20220725_120736055_0329.tiff,639,1064,95,90
64,Basler_acA2500-14um__23891378__20220725_120736055_0334.tiff,639,1064,94,88
65,Basler_acA2500-14um__23891378__20220725_120736055_0339.tiff,639,1063,93,87
66,Basler_acA2500-14um__23891378__20220725_120736055_0344.tiff,639,1064,92,86
67,Basler_acA2500-14um__23891378__20220725_120736055_0349.tiff,639,1064,90,84
68,Basler_acA2500-14um__23891378__20220725_120736055_0354.tiff,639,1064,90,83
69,Basler_acA2500-14um__23891378__20220725_120736055_0359.tiff,639,1064,89,82
70,Basler_acA2500-14um__23891378__20220725_120736055_0364.tiff,639,1064,88,81
71,Basler_acA2500-14um__23891378__20220725_120736055_0369.tiff,639,1064,87,80
72,Basler_acA2500-14um__23891378__20220725_120736055_0374.tiff,639,1063,86,79
73,Basler_acA2500-14um__23891378__20220725_120736055_0379.tiff,639,1064,85,78
74,Basler_acA2500-14um__23891378__20220725_120736055_0384.tiff,639,1064,85,77
75,Basler_acA2500-14um__23891378__20220725_120736055_0389.tiff,639,1063,84,76
76,Basler_acA2500-14um__23891378__20220725_120736055_0394.tiff,639,1064,83,76
77,Basler_acA2500-14um__23891378__20220725_120736055_0399.tiff,639,1064,83,75
78,Basler_acA2500-14um__23891378__20220725_120736055_0404.tiff,639,1063,82,75
79,Basler_acA2500-14um__23891378__20220725_120736055_0409.tiff,639,1064,82,74
80,Basler_acA2500-14um__23891378__20220725_120736055_0414.tiff,639,1064,81,74
81,Basler_acA2500-14um__23891378__20220725_120736055_0419.tiff,639,1063,80,73
82,Basler_acA2500-14um__23891378__20220725_120736055_0424.tiff,639,1063,80,73
83,Basler_acA2500-14um__23891378__20220725_120736055_0429.tiff,639,1063,80,72
84,Basler_acA2500-14um__23891378__20220725_120736055_0434.tiff,639,1063,79,72
85,Basler_acA2500-14um__23891378__20220725_120736055_0439.tiff,639,1063,79,72
86,Basler_acA2500-14um__23891378__20220725_120736055_0444.tiff,639,1063,79,71
87,Basler_acA2500-14um__23891378__20220725_120736055_0449.tiff,639,1063,78,71
88,Basler_acA2500-14um__23891378__20220725_120736055_0454.tiff,639,1063,78,70
