,file,reference_row,dl_width,dl_height_abs,dl_height_midpoint
0,Basler_acA2500-14um__23891378__20220725_122103953_0018.tiff,634,1122,578,578
1,Basler_acA2500-14um__23891378__20220725_122103953_0021.tiff,634,1122,576,575
2,Basler_acA2500-14um__23891378__20220725_122103953_0026.tiff,634,1121,568,568
3,Basler_acA2500-14um__23891378__20220725_122103953_0031.tiff,634,1121,560,560
4,Basler_acA2500-14um__23891378__20220725_122103953_0036.tiff,634,1121,552,552
5,Basler_acA2500-14um__23891378__20220725_122103953_0041.tiff,634,1121,544,544
6,Basler_acA2500-14um__23891378__20220725_122103953_0046.tiff,634,1120,535,535
7,Basler_acA2500-14um__23891378__20220725_122103953_0051.tiff,634,1120,527,527
8,Basler_acA2500-14um__23891378__20220725_122103953_0056.tiff,634,1119,519,519
9,Basler_acA2500-14um__23891378__20220725_122103953_0061.tiff,634,1120,510,510
10,Basler_acA2500-14um__23891378__20220725_122103953_0066.tiff,634,1119,502,502
11,Basler_acA2500-14um__23891378__20220725_122103953_0071.tiff,634,1119,494,494
12,Basler_acA2500-14um__23891378__20220725_122103953_0076.tiff,634,1119,486,485
13,Basler_acA2500-14um__23891378__20220725_122103953_0081.tiff,634,1119,478,478
14,Basler_acA2500-14um__23891378__20220725_122103953_0086.tiff,634,1118,471,471
15,Basler_acA2500-14um__23891378__20220725_122103953_0091.tiff,634,1118,464,464
16,Basler_acA2500-14um__23891378__20220725_122103953_0096.tiff,634,1118,457,457
17,Basler_acA2500-14um__23891378__20220725_122103953_0101.tiff,634,1118,449,448
18,Basler_acA2500-14um__23891378__20220725_122103953_0106.tiff,634,1118,442,442
19,Basler_acA2500-14um__23891378__20220725_122103953_0111.tiff,634,1117,436,436
20,Basler_acA2500-14um__23891378__20220725_122103953_0116.tiff,634,1117,428,427
21,Basler_acA2500-14um__23891378__20220725_122103953_0121.tiff,634,1117,420,420
22,Basler_acA2500-14um__23891378__20220725_122103953_0126.tiff,634,1117,413,412
23,Basler_acA2500-14um__23891378__20220725_122103953_0131.tiff,634,1117,404,404
24,Basler_acA2500-14um__23891378__20220725_122103953_0136.tiff,634,1117,397,397
25,Basler_acA2500-14um__23891378__20220725_122103953_0141.tiff,634,1117,390,390
26,Basler_acA2500-14um__23891378__20220725_122103953_0146.tiff,634,1117,380,380
27,Basler_acA2500-14um__23891378__20220725_122103953_0151.tiff,634,1117,371,371
28,Basler_acA2500-14um__23891378__20220725_122103953_0156.tiff,634,1117,361,361
29,Basler_acA2500-14um__23891378__20220725_122103953_0161.tiff,634,1117,351,351
30,Basler_acA2500-14um__23891378__20220725_122103953_0166.tiff,634,1117,340,340
31,Basler_acA2500-14um__23891378__20220725_122103953_0171.tiff,634,1117,328,328
32,Basler_acA2500-14um__23891378__20220725_122103953_0176.tiff,634,1117,315,315
33,Basler_acA2500-14um__23891378__20220725_122103953_0181.tiff,634,1117,300,300
34,Basler_acA2500-14um__23891378__20220725_122103953_0186.tiff,634,1117,286,286
35,Basler_acA2500-14um__23891378__20220725_122103953_0191.tiff,634,1117,268,267
36,Basler_acA2500-14um__23891378__20220725_122103953_0196.tiff,634,1116,247,247
37,Basler_acA2500-14um__23891378__20220725_122103953_0201.tiff,634,1117,226,226
38,Basler_acA2500-14um__23891378__20220725_122103953_0206.tiff,634,1117,204,204
39,Basler_acA2500-14um__23891378__20220725_122103953_0211.tiff,634,1117,172,169
40,Basler_acA2500-14um__23891378__20220725_122103953_0216.tiff,634,1117,192,154
41,Basler_acA2500-14um__23891378__20220725_122103953_0221.tiff,634,1116,185,150
42,Basler_acA2500-14um__23891378__20220725_122103953_0226.tiff,634,1116,182,180
43,Basler_acA2500-14um__23891378__20220725_122103953_0231.tiff,634,1117,178,177
44,Basler_acA2500-14um__23891378__20220725_122103953_0236.tiff,634,1117,175,174
45,Basler_acA2500-14um__23891378__20220725_122103953_0241.tiff,634,1117,170,169
46,Basler_acA2500-14um__23891378__20220725_122103953_0246.tiff,634,1117,167,166
47,Basler_acA2500-14um__23891378__20220725_122103953_0251.tiff,634,1116,164,163
48,Basler_acA2500-14um__23891378__20220725_122103953_0256.tiff,634,1117,161,160
49,Basler_acA2500-14um__23891378__20220725_122103953_0261.tiff,634,1117,158,157
50,Basler_acA2500-14um__23891378__20220725_122103953_0266.tiff,634,1117,155,154
51,Basler_acA2500-14um__23891378__20220725_122103953_0271.tiff,634,1116,152,151
52,Basler_acA2500-14um__23891378__20220725_122103953_0276.tiff,634,1116,149,148
53,Basler_acA2500-14um__23891378__20220725_122103953_0281.tiff,634,1116,146,145
54,Basler_acA2500-14um__23891378__20220725_122103953_0286.tiff,634,1116,144,143
55,Basler_acA2500-14um__23891378__20220725_122103953_0291.tiff,634,1116,141,140
56,Basler_acA2500-14um__23891378__20220725_122103953_0296.tiff,634,1116,139,138
57,Basler_acA2500-14um__23891378__20220725_122103953_0301.tiff,634,1116,137,136
58,Basler_acA2500-14um__23891378__20220725_122103953_0306.tiff,634,1116,135,134
59,Basler_acA2500-14um__23891378__20220725_122103953_0311.tiff,634,1116,132,132
60,Basler_acA2500-14um__23891378__20220725_122103953_0316.tiff,634,1116,131,130
61,Basler_acA2500-14um__23891378__20220725_122103953_0321.tiff,634,1116,129,129
62,Basler_acA2500-14um__23891378__20220725_122103953_0326.tiff,634,1116,127,127
63,Basler_acA2500-14um__23891378__20220725_122103953_0331.tiff,634,1116,125,125
64,Basler_acA2500-14um__23891378__20220725_122103953_0336.tiff,634,1116,124,123
65,Basler_acA2500-14um__23891378__20220725_122103953_0341.tiff,634,1116,122,121
66,Basler_acA2500-14um__23891378__20220725_122103953_0346.tiff,634,1116,121,120
67,Basler_acA2500-14um__23891378__20220725_122103953_0351.tiff,634,1116,119,118
68,Basler_acA2500-14um__23891378__20220725_122103953_0356.tiff,634,1116,117,117
69,Basler_acA2500-14um__23891378__20220725_122103953_0361.tiff,634,1116,116,115
70,Basler_acA2500-14um__23891378__20220725_122103953_0366.tiff,634,1116,114,113
71,Basler_acA2500-14um__23891378__20220725_122103953_0371.tiff,634,1116,113,112
72,Basler_acA2500-14um__23891378__20220725_122103953_0376.tiff,634,1115,112,110
73,Basler_acA2500-14um__23891378__20220725_122103953_0381.tiff,634,1116,111,109
74,Basler_acA2500-14um__23891378__20220725_122103953_0386.tiff,634,1116,111,108
75,Basler_acA2500-14um__23891378__20220725_122103953_0391.tiff,634,1116,110,107
76,Basler_acA2500-14um__23891378__20220725_122103953_0396.tiff,634,1116,109,106
77,Basler_acA2500-14um__23891378__20220725_122103953_0401.tiff,634,1116,109,105
78,Basler_acA2500-14um__23891378__20220725_122103953_0406.tiff,634,1116,108,104
79,Basler_acA2500-14um__23891378__20220725_122103953_0411.tiff,634,1115,107,104
80,Basler_acA2500-14um__23891378__20220725_122103953_0416.tiff,634,1115,107,103
81,Basler_acA2500-14um__23891378__20220725_122103953_0421.tiff,634,1115,106,103
82,Basler_acA2500-14um__23891378__20220725_122103953_0426.tiff,634,1115,106,102
83,Basler_acA2500-14um__23891378__20220725_122103953_0431.tiff,634,1115,105,101
84,Basler_acA2500-14um__23891378__20220725_122103953_0436.tiff,634,1116,104,101
85,Basler_acA2500-14um__23891378__20220725_122103953_0441.tiff,634,1116,103,100
86,Basler_acA2500-14um__23891378__20220725_122103953_0446.tiff,634,1116,103,99
87,Basler_acA2500-14um__23891378__20220725_122103953_0451.tiff,634,1116,103,99
88,Basler_acA2500-14um__23891378__20220725_122103953_0456.tiff,634,1116,102,99
