,file,reference_row,dl_width,dl_height_abs,dl_height_midpoint
0,Basler_acA2500-14um__23891378__20220725_134143131_0016.tiff,611,997,548,548
1,Basler_acA2500-14um__23891378__20220725_134143131_0019.tiff,611,997,545,544
2,Basler_acA2500-14um__23891378__20220725_134143131_0024.tiff,611,995,536,536
3,Basler_acA2500-14um__23891378__20220725_134143131_0029.tiff,611,993,528,527
4,Basler_acA2500-14um__23891378__20220725_134143131_0034.tiff,611,991,519,519
5,Basler_acA2500-14um__23891378__20220725_134143131_0039.tiff,611,989,511,510
6,Basler_acA2500-14um__23891378__20220725_134143131_0044.tiff,611,986,502,502
7,Basler_acA2500-14um__23891378__20220725_134143131_0049.tiff,611,983,495,494
8,Basler_acA2500-14um__23891378__20220725_134143131_0054.tiff,611,980,486,486
9,Basler_acA2500-14um__23891378__20220725_134143131_0059.tiff,611,978,479,479
10,Basler_acA2500-14um__23891378__20220725_134143131_0064.tiff,611,974,472,472
11,Basler_acA2500-14um__23891378__20220725_134143131_0069.tiff,611,973,466,466
12,Basler_acA2500-14um__23891378__20220725_134143131_0074.tiff,611,972,458,458
13,Basler_acA2500-14um__23891378__20220725_134143131_0079.tiff,611,970,452,452
14,Basler_acA2500-14um__23891378__20220725_134143131_0084.tiff,611,970,446,445
15,Basler_acA2500-14um__23891378__20220725_134143131_0089.tiff,611,968,438,438
16,Basler_acA2500-14um__23891378__20220725_134143131_0094.tiff,611,968,432,431
17,Basler_acA2500-14um__23891378__20220725_134143131_0099.tiff,611,967,424,424
18,Basler_acA2500-14um__23891378__20220725_134143131_0104.tiff,611,967,417,417
19,Basler_acA2500-14um__23891378__20220725_134143131_0109.tiff,611,966,409,409
20,Basler_acA2500-14um__23891378__20220725_134143131_0114.tiff,611,966,397,397
21,Basler_acA2500-14um__23891378__20220725_134143131_0119.tiff,611,966,385,385
22,Basler_acA2500-14um__23891378__20220725_134143131_0124.tiff,611,966,375,374
23,Basler_acA2500-14um__23891378__20220725_134143131_0129.tiff,611,965,360,360
24,Basler_acA2500-14um__23891378__20220725_134143131_0134.tiff,611,965,344,344
25,Basler_acA2500-14um__23891378__20220725_134143131_0139.tiff,611,964,319,319
26,Basler_acA2500-14um__23891378__20220725_134143131_0144.tiff,611,965,305,304
27,Basler_acA2500-14um__23891378__20220725_134143131_0149.tiff,611,964,296,294
28,Basler_acA2500-14um__23891378__20220725_134143131_0154.tiff,611,964,285,282
29,Basler_acA2500-14um__23891378__20220725_134143131_0159.tiff,611,964,276,272
30,Basler_acA2500-14um__23891378__20220725_134143131_0164.tiff,611,964,269,263
31,Basler_acA2500-14um__23891378__20220725_134143131_0169.tiff,611,965,262,256
32,Basler_acA2500-14um__23891378__20220725_134143131_0174.tiff,611,964,256,249
33,Basler_acA2500-14um__23891378__20220725_134143131_0179.tiff,611,962,250,242
34,Basler_acA2500-14um__23891378__20220725_134143131_0184.tiff,611,963,244,236
35,Basler_acA2500-14um__23891378__20220725_134143131_0189.tiff,611,962,238,230
36,Basler_acA2500-14um__23891378__20220725_134143131_0194.tiff,611,963,234,226
37,Basler_acA2500-14um__23891378__20220725_134143131_0199.tiff,611,961,229,222
38,Basler_acA2500-14um__23891378__20220725_134143131_0204.tiff,611,961,224,218
39,Basler_acA2500-14um__23891378__20220725_134143131_0209.tiff,611,961,219,214
40,Basler_acA2500-14um__23891378__20220725_134143131_0214.tiff,611,960,215,210
41,Basler_acA2500-14um__23891378__20220725_134143131_0219.tiff,611,960,210,207
42,Basler_acA2500-14um__23891378__20220725_134143131_0224.tiff,611,959,207,203
43,Basler_acA2500-14um__23891378__20220725_134143131_0229.tiff,611,957,204,201
44,Basler_acA2500-14um__23891378__20220725_134143131_0234.tiff,611,957,200,198
45,Basler_acA2500-14um__23891378__20220725_134143131_0239.tiff,611,956,197,195
46,Basler_acA2500-14um__23891378__20220725_134143131_0244.tiff,611,956,194,192
47,Basler_acA2500-14um__23891378__20220725_134143131_0249.tiff,611,956,191,189
48,Basler_acA2500-14um__23891378__20220725_134143131_0254.tiff,611,954,188,186
49,Basler_acA2500-14um__23891378__20220725_134143131_0259.tiff,611,953,185,184
50,Basler_acA2500-14um__23891378__20220725_134143131_0264.tiff,611,955,182,181
51,Basler_acA2500-14um__23891378__20220725_134143131_0269.tiff,611,955,180,179
52,Basler_acA2500-14um__23891378__20220725_134143131_0274.tiff,611,953,177,177
53,Basler_acA2500-14um__23891378__20220725_134143131_0279.tiff,611,953,175,175
54,Basler_acA2500-14um__23891378__20220725_134143131_0284.tiff,611,953,173,172
55,Basler_acA2500-14um__23891378__20220725_134143131_0289.tiff,611,952,171,170
56,Basler_acA2500-14um__23891378__20220725_134143131_0294.tiff,611,951,168,168
57,Basler_acA2500-14um__23891378__20220725_134143131_0299.tiff,611,951,167,166
58,Basler_acA2500-14um__23891378__20220725_134143131_0304.tiff,611,949,165,164
59,Basler_acA2500-14um__23891378__20220725_134143131_0309.tiff,611,950,163,162
60,Basler_acA2500-14um__23891378__20220725_134143131_0314.tiff,611,948,161,161
61,Basler_acA2500-14um__23891378__20220725_134143131_0319.tiff,611,948,160,159
62,Basler_acA2500-14um__23891378__20220725_134143131_0324.tiff,611,946,158,157
63,Basler_acA2500-14um__23891378__20220725_134143131_0329.tiff,611,946,156,156
64,Basler_acA2500-14um__23891378__20220725_134143131_0334.tiff,611,945,155,154
65,Basler_acA2500-14um__23891378__20220725_134143131_0339.tiff,611,946,153,153
66,Basler_acA2500-14um__23891378__20220725_134143131_0344.tiff,611,946,152,151
67,Basler_acA2500-14um__23891378__20220725_134143131_0349.tiff,611,943,151,150
68,Basler_acA2500-14um__23891378__20220725_134143131_0354.tiff,611,943,149,148
69,Basler_acA2500-14um__23891378__20220725_134143131_0359.tiff,611,943,148,147
70,Basler_acA2500-14um__23891378__20220725_134143131_0364.tiff,611,942,147,146
71,Basler_acA2500-14um__23891378__20220725_134143131_0369.tiff,611,941,146,145
72,Basler_acA2500-14um__23891378__20220725_134143131_0374.tiff,611,938,145,144
73,Basler_acA2500-14um__23891378__20220725_134143131_0379.tiff,611,939,144,143
74,Basler_acA2500-14um__23891378__20220725_134143131_0384.tiff,611,938,142,141
75,Basler_acA2500-14um__23891378__20220725_134143131_0389.tiff,611,936,142,141
76,Basler_acA2500-14um__23891378__20220725_134143131_0394.tiff,611,936,140,140
