,file,reference_row,dl_width,dl_height_abs,dl_height_midpoint
0,Basler_acA2500-14um__23891378__20220725_135735383_0019.tiff,665,1094,578,578
1,Basler_acA2500-14um__23891378__20220725_135735383_0022.tiff,665,1092,576,576
2,Basler_acA2500-14um__23891378__20220725_135735383_0027.tiff,665,1091,569,568
3,Basler_acA2500-14um__23891378__20220725_135735383_0032.tiff,665,1090,561,561
4,Basler_acA2500-14um__23891378__20220725_135735383_0037.tiff,665,1088,553,552
5,Basler_acA2500-14um__23891378__20220725_135735383_0042.tiff,665,1086,545,545
6,Basler_acA2500-14um__23891378__20220725_135735383_0047.tiff,665,1084,537,537
7,Basler_acA2500-14um__23891378__20220725_135735383_0052.tiff,665,1083,529,529
8,Basler_acA2500-14um__23891378__20220725_135735383_0057.tiff,665,1081,522,522
9,Basler_acA2500-14um__23891378__20220725_135735383_0062.tiff,665,1080,515,514
10,Basler_acA2500-14um__23891378__20220725_135735383_0067.tiff,665,1078,508,508
11,Basler_acA2500-14um__23891378__20220725_135735383_0072.tiff,665,1077,501,501
12,Basler_acA2500-14um__23891378__20220725_135735383_0077.tiff,665,1076,495,495
13,Basler_acA2500-14um__23891378__20220725_135735383_0082.tiff,665,1074,489,489
14,Basler_acA2500-14um__23891378__20220725_135735383_0087.tiff,665,1073,483,483
15,Basler_acA2500-14um__23891378__20220725_135735383_0092.tiff,665,1072,477,477
16,Basler_acA2500-14um__23891378__20220725_135735383_0097.tiff,665,1071,471,471
17,Basler_acA2500-14um__23891378__20220725_135735383_0102.tiff,665,1070,464,464
18,Basler_acA2500-14um__23891378__20220725_135735383_0107.tiff,665,1070,459,459
19,Basler_acA2500-14um__23891378__20220725_135735383_0112.tiff,665,1068,450,450
20,Basler_acA2500-14um__23891378__20220725_135735383_0117.tiff,665,1069,445,445
21,Basler_acA2500-14um__23891378__20220725_135735383_0122.tiff,665,1069,435,435
22,Basler_acA2500-14um__23891378__20220725_135735383_0127.tiff,665,1068,425,425
23,Basler_acA2500-14um__23891378__20220725_135735383_0132.tiff,665,1067,421,421
24,Basler_acA2500-14um__23891378__20220725_135735383_0137.tiff,665,1067,413,413
25,Basler_acA2500-14um__23891378__20220725_135735383_0142.tiff,665,1066,399,399
26,Basler_acA2500-14um__23891378__20220725_135735383_0147.tiff,665,1066,383,383
27,Basler_acA2500-14um__23891378__20220725_135735383_0152.tiff,665,1064,369,369
28,Basler_acA2500-14um__23891378__20220725_135735383_0157.tiff,665,1065,340,339
29,Basler_acA2500-14um__23891378__20220725_135735383_0162.tiff,665,1065,329,326
30,Basler_acA2500-14um__23891378__20220725_135735383_0167.tiff,665,1063,319,316
31,Basler_acA2500-14um__23891378__20220725_135735383_0172.tiff,665,1063,311,308
32,Basler_acA2500-14um__23891378__20220725_135735383_0177.tiff,665,1062,305,301
33,Basler_acA2500-14um__23891378__20220725_135735383_0182.tiff,665,1061,299,296
34,Basler_acA2500-14um__23891378__20220725_135735383_0187.tiff,665,1061,294,291
35,Basler_acA2500-14um__23891378__20220725_135735383_0192.tiff,665,1060,289,285
36,Basler_acA2500-14um__23891378__20220725_135735383_0197.tiff,665,1060,284,280
37,Basler_acA2500-14um__23891378__20220725_135735383_0202.tiff,665,1060,279,275
38,Basler_acA2500-14um__23891378__20220725_135735383_0207.tiff,665,1059,274,270
39,Basler_acA2500-14um__23891378__20220725_135735383_0212.tiff,665,1058,269,266
40,Basler_acA2500-14um__23891378__20220725_135735383_0217.tiff,665,1058,264,261
41,Basler_acA2500-14um__23891378__20220725_135735383_0222.tiff,665,1057,259,257
42,Basler_acA2500-14um__23891378__20220725_135735383_0227.tiff,665,1057,255,252
43,Basler_acA2500-14um__23891378__20220725_135735383_0232.tiff,665,1058,251,249
44,Basler_acA2500-14um__23891378__20220725_135735383_0237.tiff,665,1056,248,246
45,Basler_acA2500-14um__23891378__20220725_135735383_0242.tiff,665,1055,245,243
46,Basler_acA2500-14um__23891378__20220725_135735383_0247.tiff,665,1054,242,240
47,Basler_acA2500-14um__23891378__20220725_135735383_0252.tiff,665,1055,239,237
48,Basler_acA2500-14um__23891378__20220725_135735383_0257.tiff,665,1054,236,234
49,Basler_acA2500-14um__23891378__20220725_135735383_0262.tiff,665,1054,233,231
50,Basler_acA2500-14um__23891378__20220725_135735383_0267.tiff,665,1054,231,229
51,Basler_acA2500-14um__23891378__20220725_135735383_0272.tiff,665,1053,228,226
52,Basler_acA2500-14um__23891378__20220725_135735383_0277.tiff,665,1052,225,223
53,Basler_acA2500-14um__23891378__20220725_135735383_0282.tiff,665,1052,222,221
54,Basler_acA2500-14um__23891378__20220725_135735383_0287.tiff,665,1052,219,218
55,Basler_acA2500-14um__23891378__20220725_135735383_0292.tiff,665,1051,216,216
56,Basler_acA2500-14um__23891378__20220725_135735383_0297.tiff,665,1053,214,213
57,Basler_acA2500-14um__23891378__20220725_135735383_0302.tiff,665,1051,212,211
58,Basler_acA2500-14um__23891378__20220725_135735383_0307.tiff,665,1051,210,209
59,Basler_acA2500-14um__23891378__20220725_135735383_0312.tiff,665,1050,207,206
60,Basler_acA2500-14um__23891378__20220725_135735383_0317.tiff,665,1050,205,204
61,Basler_acA2500-14um__23891378__20220725_135735383_0322.tiff,665,1051,202,201
62,Basler_acA2500-14um__23891378__20220725_135735383_0327.tiff,665,1049,199,199
63,Basler_acA2500-14um__23891378__20220725_135735383_0332.tiff,665,1051,197,196
64,Basler_acA2500-14um__23891378__20220725_135735383_0337.tiff,665,1048,194,194
65,Basler_acA2500-14um__23891378__20220725_135735383_0342.tiff,665,1050,192,192
66,Basler_acA2500-14um__23891378__20220725_135735383_0347.tiff,665,1048,189,189
67,Basler_acA2500-14um__23891378__20220725_135735383_0352.tiff,665,1050,187,187
68,Basler_acA2500-14um__23891378__20220725_135735383_0357.tiff,665,1048,185,185
69,Basler_acA2500-14um__23891378__20220725_135735383_0362.tiff,665,1049,183,183
70,Basler_acA2500-14um__23891378__20220725_135735383_0367.tiff,665,1048,181,180
